;0,01592599;0,6821478;3,263264;0,03579838;0,08988076;3,206307;0,0386759;0,1479871;3,264516;0,02844429;0,5008041;3,278452;-0,1246704;0,4751885;3,280326;-0,2238893;0,6825837;3,159791;-0,2286466;0,976715;3,106646;-0,2189622;1,047528;3,119649;0,1775094;0,3755468;3,235498;0,246134;0,1024961;3,242862;0,2604858;-0,1266646;3,182651;0,2610138;-0,2189677;3,148891;-0,03049722;0,02181774;3,19991;-0,07224533;-0,497963;3,226894;-0,06488101;-0,8845039;3,223439;-0,0730085;-0,9558251;3,165805;0,1051268;0,01717041;3,184003;0,166302;-0,4903473;3,185084;0,1790703;-0,8469939;3,190182;0,2038352;-0,941107;3,136874; 
0,02645497;0,6768155;3,305646;0,04186709;0,0640925;3,216233;0,0457536;0,1215919;3,277266;0,04194253;0,4828704;3,309114;-0,1218462;0,388054;3,303718;-0,1872391;0,1922867;3,105017;-0,2069037;0,03349943;2,84006;-0,2217607;-0,01873038;2,791383;0,2025444;0,3763297;3,275936;0,3152043;0,2002321;3,146544;0,383923;0,07704028;2,891567;0,3957734;0,009268545;2,820848;-0,03031234;-0,008190192;3,208627;-0,07056101;-0,5178596;3,236454;-0,06496254;-0,8861496;3,225541;-0,07323541;-0,9558359;3,170072;0,113544;-0,00616629;3,18929;0,166856;-0,4988979;3,187548;0,1789471;-0,8494867;3,186744;0,2042165;-0,9421608;3,138153; 
0,02637878;0,6765024;3,306015;0,04117914;0,06196412;3,217421;0,04412544;0,1196828;3,278806;0,03895289;0,48438;3,314249;-0,1244147;0,3816471;3,298376;-0,1781362;0,1735739;3,127614;-0,2008759;-0,01732181;2,921854;-0,2025337;-0,09849055;2,86589;0,2024808;0,3763775;3,276865;0,3199121;0,2278738;3,138421;0,3920718;0,1729434;2,924554;0,4213123;0,1255788;2,816051;-0,03127075;-0,01111317;3,208062;-0,07081668;-0,5178561;3,236788;-0,06455047;-0,8842791;3,226787;-0,07294208;-0,9551629;3,169915;0,1135432;-0,008221122;3,191442;0,1672689;-0,4975811;3,189419;0,1792678;-0,8479034;3,188977;0,2041724;-0,9420959;3,138148; 
0,02516269;0,6763622;3,305049;0,04070565;0,06194105;3,217514;0,0434298;0,1201661;3,278859;0,03776355;0,4857568;3,310812;-0,1247796;0,3816213;3,297889;-0,1673154;0,1579223;3,154709;-0,1855283;-0,08266311;2,982046;-0,1942016;-0,1678938;2,933337;0,2023372;0,3782712;3,2781;0,3357864;0,2479315;3,13606;0,4081167;0,2440636;2,915446;0,4455251;0,2035779;2,773259;-0,03214255;-0,01140263;3,207387;-0,07081841;-0,5177357;3,237052;-0,0646022;-0,884574;3,226958;-0,07302828;-0,9555594;3,169806;0,1129475;-0,008207852;3,192993;0,1672642;-0,4975964;3,189985;0,1791183;-0,8474963;3,189238;0,2040725;-0,9414689;3,138354; 
0,02515902;0,6763831;3,305129;0,03957826;0,06172884;3,217718;0,04231786;0,1201855;3,278952;0,03700684;0,4860608;3,309973;-0,1260668;0,3819852;3,297548;-0,1660335;0,1349107;3,163589;-0,1727058;-0,1093572;3,030911;-0,1745714;-0,2041589;3,004241;0,2025269;0,3793219;3,277991;0,3522164;0,3073267;3,108498;0,426763;0,3035392;2,888964;0,465096;0,3085;2,780735;-0,03400289;-0,01217342;3,206979;-0,07071442;-0,5176661;3,237119;-0,06466935;-0,8853534;3,227109;-0,07284471;-0,9559043;3,170097;0,1122374;-0,008640461;3,193682;0,1675147;-0,4979968;3,191697;0,1789412;-0,8483745;3,192079;0,2037282;-0,9412158;3,139661; 
0,02515069;0,6763917;3,305124;0,03915957;0,06272915;3,217668;0,04147815;0,1215854;3,278777;0,03436634;0,4877936;3,30755;-0,1271917;0,3818898;3,296014;-0,1628724;0,1284521;3,175183;-0,1579517;-0,1096065;3,079472;-0,151098;-0,2058696;3,059842;0,2007354;0,3914874;3,280437;0,3527052;0,3368088;3,106039;0,4386789;0,3949664;2,883954;0,492108;0,4185357;2,741588;-0,03418711;-0,01191469;3,20666;-0,07024289;-0,5168811;3,237251;-0,06269883;-0,8854185;3,228703;-0,07260806;-0,9559388;3,16976;0,1122982;-0,006607258;3,194505;0,1676597;-0,4958054;3,192623;0,1785527;-0,8468273;3,192179;0,2032641;-0,9404681;3,139672; 
0,03938898;0,6843579;3,258324;0,0372046;0,09334397;3,213705;0,04309394;0,1472064;3,272657;0,03289599;0,4955253;3,294421;-0,1354635;0,3954447;3,290034;-0,1584398;0,1310679;3,251236;-0,1692476;-0,1271454;3,163879;-0,162393;-0,2234202;3,144247;0,1859363;0,4650785;3,263868;0,3087557;0,6918427;3,186203;0,2616645;0,9628719;3,158387;0,2426588;1,059167;3,15018;-0,03441599;0,01102229;3,207201;-0,07019722;-0,5162199;3,237252;-0,06420198;-0,8866628;3,23304;-0,07312246;-0,9572481;3,173034;0,1101642;0,02656347;3,187918;0,167612;-0,4920382;3,190257;0,178443;-0,8469626;3,190395;0,2040883;-0,9419097;3,137659; 
0,03949085;0,6842409;3,258271;0,03736471;0,09365053;3,21328;0,04286619;0,1484173;3,272016;0,03411691;0,4970227;3,290153;-0,1348546;0,3972857;3,287704;-0,1584613;0,1310915;3,251036;-0,1686725;-0,1274989;3,164298;-0,1767489;-0,1998191;3,159065;0,1861651;0,4650599;3,263884;0,3047727;0,6824696;3,189355;0,2486982;0,9149883;3,151825;0,2404785;1,013265;3,147671;-0,03413747;0,01277046;3,205601;-0,06939708;-0,5102559;3,239167;-0,06479865;-0,8873446;3,232411;-0,0736198;-0,9570317;3,17311;0,1102333;0,02669868;3,187985;0,1676901;-0,4919598;3,190081;0,1785359;-0,8462871;3,190197;0,2041305;-0,9411979;3,138011; 
0,03851577;0,6844665;3,257631;0,03726483;0,09447589;3,212897;0,04272065;0,1497608;3,271487;0,03458957;0,4979911;3,288877;-0,1351577;0,3976585;3,287269;-0,1584659;0,1305586;3,250872;-0,1675398;-0,1287823;3,167234;-0,1773712;-0,2006998;3,159626;0,1861833;0,4650961;3,263842;0,2963273;0,7337193;3,176339;0,2556291;0,9593829;3,145962;0,2384825;1,056589;3,143302;-0,03436295;0,01372226;3,20545;-0,06944113;-0,5057847;3,239011;-0,06534303;-0,8833015;3,228841;-0,07293128;-0,9556969;3,170943;0,1100421;0,02771263;3,187538;0,1677327;-0,4904711;3,189023;0,1784252;-0,8461286;3,190053;0,2039449;-0,9410349;3,137956; 
0,03536054;0,6839766;3,25775;0,0368775;0,09378671;3,212343;0,04234388;0,1495929;3,270957;0,03529263;0,4979907;3,286685;-0,1376662;0,3965947;3,286214;-0,1588495;0,1365339;3,251442;-0,1671111;-0,09926023;3,168894;-0,1692991;-0,1717817;3,163361;0,1829397;0,4623291;3,26329;0,2942778;0,7310705;3,176761;0,2527526;1,02389;3,136103;0,229836;1,092659;3,129748;-0,03491335;0,01321681;3,205013;-0,06958505;-0,505485;3,238901;-0,06561812;-0,8854072;3,229081;-0,07305083;-0,955824;3,170829;0,109658;0,02738197;3,187393;0,16792;-0,4900021;3,188598;0,1786779;-0,8486675;3,189378;0,2042101;-0,9411113;3,137686; 
0,02976011;0,6833481;3,259574;0,03669936;0,09335952;3,212016;0,04174997;0,149405;3,270612;0,03328225;0,4973584;3,285355;-0,1380154;0,3969922;3,285266;-0,1588991;0,1356855;3,250797;-0,1677754;-0,09417748;3,171606;-0,1695552;-0,1663767;3,164697;0,180772;0,4599598;3,263579;0,2982727;0,6906269;3,174567;0,2580316;0,9840467;3,137943;0,2390756;1,052711;3,124176;-0,03483754;0,01313795;3,204556;-0,06912091;-0,5041342;3,239407;-0,0654384;-0,885142;3,228086;-0,07287828;-0,9558663;3,170962;0,1095409;0,02732088;3,18746;0,1677418;-0,4897056;3,188469;0,1788935;-0,8477671;3,188916;0,2042087;-0,9414409;3,137055; 
0,02744812;0,6843938;3,26273;0,03661895;0,09337869;3,211909;0,04148439;0,1496008;3,270417;0,03252929;0,4973313;3,284327;-0,1391316;0,3968996;3,284907;-0,1593886;0,1366967;3,250943;-0,1684522;-0,09109275;3,172609;-0,1695759;-0,1630933;3,16548;0,1803468;0,4599649;3,263588;0,2864111;0,7300941;3,171733;0,2523613;1,024338;3,131112;0,2347415;1,093923;3,121973;-0,03488606;0,01315306;3,204496;-0,06914956;-0,5031847;3,239702;-0,06547346;-0,8855931;3,227048;-0,07369084;-0,9548609;3,168283;0,109508;0,02737531;3,187436;0,167874;-0,4888462;3,188148;0,1788624;-0,8480463;3,188819;0,2042129;-0,9415634;3,1368; 
0,02299589;0,6834049;3,263819;0,03652127;0,09337191;3,211741;0,04106207;0,1497282;3,270171;0,03176936;0,4972818;3,283481;-0,1401252;0,3971022;3,283858;-0,1597303;0,1341086;3,249157;-0,1713905;-0,1260138;3,161108;-0,1715105;-0,2034426;3,15369;0,1793865;0,4590957;3,263674;0,2961601;0,6875505;3,174891;0,2590382;0,9814986;3,134391;0,2426461;1,051358;3,126361;-0,03492803;0,01323572;3,20431;-0,06899701;-0,5040482;3,239892;-0,06535342;-0,8861251;3,229643;-0,0739532;-0,9553776;3,169047;0,1094585;0,02741919;3,187419;0,1678567;-0,4887861;3,187565;0,1791718;-0,8482058;3,188776;0,2042195;-0,9415666;3,136779; 
0,01992649;0,681092;3,260619;0,03593087;0,09293911;3,211261;0,03994292;0,1497273;3,269572;0,02759785;0,4982505;3,281589;-0,1412036;0,3968421;3,282935;-0,1607457;0,1326652;3,248207;-0,1674444;-0,07914674;3,174857;-0,1631779;-0,1509548;3,17657;0,1769108;0,4567203;3,26322;0,2962634;0,6873841;3,174653;0,2604226;0,9815949;3,134284;0,2582913;1,053417;3,130475;-0,03507222;0,01304701;3,204086;-0,06868844;-0,5035114;3,239904;-0,06498468;-0,8844687;3,229465;-0,07404877;-0,9544187;3,167818;0,1091477;0,02739066;3,187291;0,1678388;-0,4887839;3,187522;0,1792523;-0,847796;3,188813;0,2041787;-0,9413899;3,136828; 
0,01819821;0,6814107;3,261249;0,03538924;0,09344029;3,211204;0,03921233;0,1504503;3,269457;0,02698568;0,4989695;3,281451;-0,141939;0,3972393;3,282376;-0,1608309;0,1325986;3,248081;-0,1678145;-0,07916491;3,173562;-0,1638518;-0,1507983;3,174478;0,1766752;0,459375;3,263289;0,296294;0,6870189;3,174202;0,2626713;0,9814705;3,132785;0,2658686;1,053133;3,134269;-0,03575511;0,01343938;3,204391;-0,06876078;-0,5049435;3,240281;-0,06443167;-0,8854113;3,229775;-0,07413356;-0,9547004;3,167628;0,108826;0,0278664;3,187055;0,1677936;-0,4882765;3,187689;0,17911;-0,8484525;3,187984;0,2038869;-0,9415885;3,136788
