;0,1766962;0,7154088;2,336918;0,2018417;0,1391518;2,272534;0,2050573;0,1868199;2,333745;0,197587;0,5238129;2,351863;0,0002268156;0,4301732;2,366749;-0,1950994;0,532391;2,356988;-0,01984647;0,6670638;2,333826;0,03857117;0,7119547;2,330845;0,4147372;0,4548229;2,344565;0,6154587;0,5393181;2,355404;0,4328689;0,6624688;2,320564;0,3793921;0,6981389;2,323787;0,1123153;0,03936305;2,26215;0,1066149;-0,4718572;2,283336;0,09642772;-0,8145691;2,288611;0,0660085;-0,8789104;2,239983;0,2914456;0,04549252;2,245235;0,3250929;-0,465948;2,273028;0,3414932;-0,8102351;2,270396;0,3675506;-0,865976;2,214715; 
0,1843286;0,7211637;2,330764;0,2028352;0,1429568;2,27171;0,2074219;0,1941108;2,332316;0,2028884;0,5250433;2,346972;-0,001378408;0,4340642;2,36639;-0,2007515;0,52;2,362091;-0,0339838;0,6597446;2,329378;0,01345783;0,7019521;2,32131;0,4093472;0,4580542;2,337435;0,6106987;0,5366794;2,34067;0,4343295;0,6653308;2,321267;0,3812574;0,6902139;2,343129;0,1107448;0,04672728;2,260464;0,1061531;-0,4675329;2,277927;0,09564795;-0,8158512;2,285888;0,06510527;-0,8818758;2,239347;0,2946727;0,05447192;2,241462;0,326695;-0,4629298;2,267808;0,3415952;-0,8112733;2,267946;0,3675484;-0,867335;2,214254; 
0,1845544;0,7216702;2,33083;0,2028042;0,1429524;2,271654;0,2074302;0,194154;2,332231;0,2029286;0,5251109;2,346798;-0,001611539;0,434487;2,366473;-0,1994017;0,5238281;2,360606;-0,03272644;0,6629964;2,325662;0,01661862;0,7035891;2,322268;0,4087118;0,4584078;2,337161;0,6101301;0,5361885;2,340437;0,4349753;0,6660272;2,319655;0,3815623;0,6897914;2,34358;0,1106885;0,04692576;2,260378;0,1062041;-0,4675367;2,277926;0,09564005;-0,815904;2,285879;0,0641384;-0,8828136;2,240459;0,2945666;0,05453349;2,241419;0,3267826;-0,4629272;2,267732;0,3416243;-0,8112568;2,267833;0,3674914;-0,8672518;2,214221; 
0,18463;0,721471;2,33089;0,2030381;0,1424344;2,271458;0,2076157;0,1937674;2,332043;0,2031027;0,5246676;2,346636;-0,001664536;0,4344677;2,366542;-0,1995503;0,5228772;2,361223;-0,03208424;0,6610372;2,328538;0,01804579;0,7007952;2,328838;0,4082795;0,4566725;2,336736;0,6089929;0,5356125;2,339988;0,4357036;0,6675552;2,332136;0,3631987;0,7046912;2,361418;0,1108973;0,0467017;2,260282;0,1061708;-0,4675477;2,277837;0,09559877;-0,8165382;2,285728;0,06415989;-0,8827658;2,239568;0,2947653;0,05426612;2,241112;0,3269327;-0,4631592;2,267647;0,3416046;-0,8109792;2,267933;0,3678425;-0,8674043;2,21405; 
0,1846403;0,7214959;2,330889;0,2030358;0,1424305;2,271416;0,2076654;0,1937764;2,331978;0,2032105;0,5246442;2,34657;-0,001885774;0,4347485;2,366736;-0,1999049;0,522299;2,36136;-0,03241247;0,6601221;2,329155;0,01757488;0,7000521;2,329399;0,4077788;0,4569004;2,336523;0,6084138;0,5353653;2,339864;0,4354327;0,6674618;2,327743;0,3623356;0,703914;2,356386;0,1108995;0,04678907;2,260234;0,106158;-0,4674995;2,277694;0,09552451;-0,8165833;2,285735;0,06388321;-0,8831666;2,240349;0,2947166;0,05431291;2,241036;0,3269846;-0,4631659;2,267589;0,3417699;-0,8109557;2,26762;0,3678713;-0,8673075;2,213713; 
0,1845979;0,7212991;2,330643;0,2031399;0,1427365;2,27139;0,2075363;0,1940637;2,331924;0,2032409;0,5246592;2,346451;-0,001923876;0,4347667;2,366713;-0,2010687;0,5189289;2,362091;-0,03469378;0,6577543;2,330039;0,01515267;0,6978536;2,330209;0,4101784;0,4583502;2,338279;0,6112838;0,5355786;2,34002;0,437165;0,6657988;2,326323;0,3639795;0,7021544;2,354845;0,1108794;0,04694835;2,260208;0,1061362;-0,4675157;2,277635;0,09533276;-0,8169273;2,285566;0,06440845;-0,8827364;2,240128;0,2950561;0,05458263;2,240898;0,3270558;-0,4631046;2,267379;0,3416734;-0,8111707;2,267447;0,3679364;-0,8673959;2,213589; 
0,184647;0,7209923;2,330459;0,2031902;0,1431392;2,271463;0,2074079;0,194397;2,331956;0,2034035;0,5246087;2,346365;-0,002025932;0,4348257;2,366795;-0,2014769;0,5174836;2,362721;-0,03564149;0,656591;2,33076;0,01408548;0,696832;2,330871;0,412462;0,4579247;2,339574;0,6131039;0,5361205;2,34015;0,4381005;0,6647415;2,324871;0,364849;0,7010241;2,3533;0,110755;0,04724562;2,260269;0,1060774;-0,4675178;2,27759;0,09536175;-0,8169358;2,28551;0,06474046;-0,8825498;2,239733;0,2951558;0,05469163;2,240841;0,3270797;-0,4629523;2,267236;0,3416549;-0,8112199;2,267498;0,3678611;-0,8673564;2,214096; 
0,1848724;0,7210717;2,330499;0,2033488;0,1437847;2,271525;0,2075479;0,1949074;2,332002;0,2038507;0,524552;2,346466;-0,002036595;0,4349051;2,366809;-0,2012571;0,5174664;2,362764;-0,0356627;0,6565061;2,331048;0,01400632;0,6968123;2,331053;0,4140858;0,4635843;2,341138;0,6162324;0,5375033;2,340597;0,4398173;0,6637443;2,324319;0,3665409;0,6999848;2,352721;0,1106996;0,04765127;2,260242;0,1061541;-0,4674129;2,277511;0,09542261;-0,8167156;2,285519;0,06359518;-0,8833454;2,240693;0,295417;0,05540492;2,240707;0,3271315;-0,4628922;2,267129;0,3415859;-0,8114663;2,267003;0,3678168;-0,8674269;2,214066; 
0,1850161;0,7210556;2,330683;0,2031177;0,1437067;2,271439;0,2074093;0,1948909;2,33188;0,203704;0,5245444;2,346303;-0,002252219;0,4351619;2,367066;-0,201354;0,5174846;2,362732;-0,03686635;0,6571562;2,328674;0,01260308;0,6977014;2,32857;0,4121684;0,4594659;2,339783;0,6128474;0,5362967;2,340186;0,4449833;0,6728811;2,314723;0,3714894;0,70887;2,342867;0,1103011;0,04773524;2,260164;0,1062231;-0,4680385;2,277539;0,09545969;-0,816879;2,285513;0,06403995;-0,882872;2,239973;0,2953102;0,05538165;2,240641;0,3272083;-0,4623292;2,266786;0,3416044;-0,8113531;2,266946;0,3677563;-0,8669786;2,213654; 
0,185202;0,7211065;2,330619;0,2031645;0,1438703;2,27154;0,2072494;0,1950796;2,33202;0,2030745;0,5249833;2,346903;-0,002100455;0,434358;2,367092;-0,20119;0,5159769;2,363126;-0,03760146;0,6563463;2,329171;0,011804;0,6969639;2,329023;0,414904;0,46275;2,341688;0,6163077;0,5375298;2,340566;0,4402892;0,6634759;2,322671;0,3667992;0,6994629;2,350814;0,1103198;0,04775184;2,260165;0,1061524;-0,4678382;2,277468;0,0954718;-0,8168328;2,285524;0,06411049;-0,8828581;2,239916;0,2956215;0,05556481;2,240632;0,3272523;-0,462314;2,266707;0,3416032;-0,8115085;2,266756;0,3677279;-0,8669429;2,213575; 
0,1853343;0,7211623;2,330463;0,2035248;0,1445139;2,271636;0,2076182;0,195689;2,332056;0,2036903;0,5251137;2,346716;-0,00223354;0,4344633;2,367298;-0,2011107;0,5160016;2,363168;-0,03738473;0,6558542;2,329375;0,01196057;0,6965394;2,32918;0,4154411;0,464573;2,34227;0,6172399;0,5377411;2,34065;0,4409848;0,6629176;2,322275;0,3674987;0,6989027;2,350416;0,110484;0,04813793;2,260159;0,106135;-0,4678647;2,277443;0,09538802;-0,8168107;2,285562;0,0637385;-0,8830873;2,240198;0,2959969;0,0560713;2,240725;0,3273106;-0,4622789;2,266656;0,341529;-0,8112462;2,266704;0,3675904;-0,8669016;2,213478; 
0,1852321;0,7210085;2,330023;0,2034903;0,1442427;2,271661;0,2077138;0,1955338;2,332033;0,2036874;0,5250637;2,346668;-0,002227777;0,4343985;2,367312;-0,2008744;0,5159011;2,363087;-0,0370535;0,6553578;2,329892;0,01224035;0,6961007;2,329659;0,4137753;0,4634715;2,34108;0,6151293;0,5368531;2,340333;0,4377064;0,6596729;2,335606;0,3642236;0,6956563;2,363746;0,1105084;0,04807448;2,260182;0,1061475;-0,4678308;2,277391;0,09536109;-0,8169824;2,28541;0,06405102;-0,8827739;2,239815;0,2959364;0,05596887;2,240744;0,3274154;-0,4619155;2,266523;0,3415303;-0,8111864;2,266655;0,3675302;-0,8667957;2,213432; 
0,1850513;0,7209841;2,329935;0,2033856;0,1439355;2,271709;0,2077003;0,195351;2,332073;0,2035598;0,5253336;2,347114;-0,002409941;0,4341535;2,367688;-0,2011593;0,5149115;2,363073;-0,03993715;0,6565045;2,326394;0,009245481;0,6973758;2,32608;0,4115535;0,4583411;2,339821;0,6110743;0,5356816;2,339812;0,4365764;0,6625696;2,327244;0,3630973;0,6985512;2,355382;0,1104922;0,04802531;2,260118;0,1061493;-0,4674041;2,277302;0,09556743;-0,8168411;2,285434;0,06398501;-0,8829521;2,239824;0,2958145;0,05578836;2,240856;0,3273708;-0,4617892;2,266445;0,3415032;-0,8111483;2,26667;0,3675352;-0,866799;2,213419; 
0,1849322;0,7213957;2,330163;0,2034487;0,1445872;2,272045;0,2077127;0,1958351;2,332282;0,2035363;0,5252799;2,34706;-0,003046976;0,4339344;2,36831;-0,2014836;0,5150153;2,363012;-0,04083927;0,6567627;2,325499;0,008313417;0,6976649;2,325158;0,413732;0,4648347;2,341781;0,6151745;0,5368813;2,340233;0,4389371;0,6609243;2,324588;0,3654616;0,6969041;2,352725;0,1104134;0,04821916;2,260401;0,106156;-0,4674304;2,277319;0,09575785;-0,8167747;2,285532;0,06418637;-0,8828354;2,239601;0,2961358;0,05627381;2,241014;0,3274186;-0,4618368;2,266426;0,3415191;-0,8111553;2,266829;0,3674971;-0,8668267;2,213527; 
0,1845986;0,7208334;2,329647;0,203622;0,1447077;2,272154;0,2078155;0,1959643;2,332368;0,2035508;0,5252755;2,347069;-0,003038523;0,4338887;2,368344;-0,2014154;0,5144602;2,363137;-0,04100987;0,6560259;2,325089;0,008121707;0,6969489;2,324741;0,4141816;0,4655106;2,342157;0,6156161;0,5369958;2,340261;0,4395061;0,660664;2,33235;0,3660339;0,6966422;2,360486;0,1105779;0,04823605;2,260515;0,106171;-0,4672813;2,277304;0,09570815;-0,8166105;2,285593;0,06405136;-0,8824596;2,238753;0,2964505;0,05645585;2,241079;0,3274347;-0,4618506;2,266389;0,3415552;-0,8112193;2,266921;0,3674952;-0,866841;2,213494; 
0,184619;0,7210906;2,330481;0,2038288;0,1451018;2,272377;0,2079437;0,1962714;2,332505;0,2035126;0,5252206;2,347029;-0,003260401;0,4336174;2,368587;-0,2011134;0,5150632;2,362511;-0,03939345;0,6552597;2,327644;0,009706169;0,696216;2,327273;0,4147357;0,4679272;2,342858;0,6162671;0,538621;2,34036;0,4396478;0,6612812;2,327647;0,3661793;0,6972576;2,355782;0,1107193;0,04833319;2,260623;0,1062186;-0,4673517;2,277332;0,09570968;-0,8166915;2,28549;0,06391796;-0,8822541;2,238379;0,2969171;0,05697054;2,241386;0,327475;-0,461723;2,266346;0,3415401;-0,811237;2,266861;0,3674949;-0,8668817;2,21343; 
0,184579;0,7210786;2,330502;0,2035114;0,1444298;2,27244;0,207819;0,1958557;2,332535;0,2033952;0,5251769;2,347006;-0,003504925;0,4334367;2,36886;-0,2014383;0,5140364;2,362974;-0,04074848;0,6548672;2,326802;0,008339345;0,6958326;2,326421;0,4108177;0,4605692;2,34052;0,6100496;0,5364132;2,339379;0,4369877;0,6636638;2,324322;0,3635228;0,6996385;2,352454;0,1105473;0,0481109;2,260732;0,1062214;-0,467361;2,277311;0,09571877;-0,8166916;2,285463;0,06416542;-0,8821988;2,237988;0,2965719;0,05640111;2,241465;0,3274707;-0,4617106;2,266321;0,3413261;-0,8106588;2,266695;0,3673318;-0,8665839;2,213356; 
0,1845061;0,720815;2,330527;0,203362;0,1442649;2,272405;0,2078047;0,1957638;2,332473;0,2033944;0,525165;2,346953;-0,003961887;0,43304;2,369456;-0,2025625;0,5112933;2,363927;-0,04270548;0,6530129;2,329581;0,006367818;0,6939909;2,329192;0,4096511;0,4578583;2,339856;0,6078108;0,535744;2,339087;0,4360741;0,664407;2,323202;0,3626127;0,70038;2,351334;0,1103845;0,04807433;2,260618;0,1061772;-0,4673448;2,277303;0,09562658;-0,8167015;2,285388;0,06402666;-0,8821793;2,237746;0,2963291;0,05623361;2,241626;0,3274534;-0,461735;2,266283;0,3413149;-0,8106278;2,266659;0,367414;-0,8665873;2,213364; 
0,1850193;0,716935;2,330515;0,20331;0,1439601;2,27252;0,2078374;0,1955588;2,332571;0,2035642;0,5251651;2,347158;-0,003934623;0,4332393;2,369376;-0,2024931;0,5109222;2,364082;-0,0429931;0,6527306;2,329915;0,006073274;0,6937122;2,329522;0,4086594;0,4580494;2,339428;0,6066817;0,5355449;2,339026;0,4358236;0,6649853;2,32218;0,3623656;0,7009566;2,350311;0,1104009;0,04805006;2,260649;0,1061859;-0,4672635;2,277286;0,09572566;-0,8166817;2,28539;0,0642896;-0,8822739;2,237378;0,2960683;0,05608534;2,241812;0,3275251;-0,4619111;2,266273;0,3413237;-0,810733;2,266594;0,3674176;-0,8666858;2,213277; 
0,1843749;0,7170584;2,330395;0,2032224;0,1438095;2,272552;0,2078129;0,1954751;2,332573;0,203564;0,5251634;2,347131;-0,004074466;0,4331968;2,369603;-0,2025511;0,5104659;2,364391;-0,04391293;0,6527427;2,329078;0,00514625;0,6937283;2,328681;0,4083146;0,4579661;2,339291;0,6061539;0,5353068;2,338957;0,4357476;0,6649663;2,321474;0,362293;0,700936;2,349603;0,1103757;0,04800276;2,260662;0,1061634;-0,4672604;2,277238;0,09558837;-0,8170924;2,285229;0,06404645;-0,8830357;2,238507;0,2958619;0,05600758;2,241925;0,3275077;-0,4619284;2,266247;0,3411913;-0,8105435;2,266709;0,3674447;-0,8667546;2,213025; 
0,1843456;0,7176594;2,330807;0,2030098;0,1435313;2,2727;0,2076702;0,1953243;2,332688;0,2035526;0,5252018;2,347171;-0,00434615;0,4335701;2,369915;-0,2030552;0,5096501;2,364649;-0,0459588;0,653213;2,328735;0,003092736;0,6942034;2,328334;0,407691;0,4568141;2,339077;0,6049191;0,5350377;2,338957;0,4351381;0,6650881;2,330429;0,3616866;0,7010561;2,358557;0,1102366;0,04795707;2,260757;0,1061542;-0,467236;2,277222;0,09556656;-0,8170848;2,285179;0,06467452;-0,8826409;2,2382;0,2954672;0,0556489;2,242234;0,3275107;-0,4619313;2,266216;0,3411257;-0,8102239;2,266683;0,3673851;-0,8666753;2,212711; 
0,1834571;0,7189762;2,331464;0,2036753;0,1445162;2,273234;0,2079232;0,1960443;2,333124;0,203758;0,5250996;2,347224;-0,00440674;0,4334097;2,370091;-0,2029618;0,5091918;2,365109;-0,04694675;0,6535845;2,329077;0,002098568;0,6945777;2,328672;0,4117491;0,4612795;2,34223;0,610099;0,5368793;2,339549;0,436999;0,6621507;2,329787;0,3635509;0,6981171;2,357914;0,1105547;0,04828802;2,261001;0,106174;-0,4672328;2,2772;0,09564527;-0,8170086;2,285367;0,06408741;-0,883945;2,239902;0,2964436;0,05651421;2,242809;0,3274825;-0,4619601;2,266197;0,3411583;-0,8101665;2,266766;0,3673943;-0,8665322;2,21292
