;-0,1213971;0,7259577;2,943339;-0,08482907;0,1246763;2,892385;-0,08624107;0,1846026;2,952578;-0,1040986;0,5453884;2,958144;-0,2763172;0,406112;2,948638;-0,2917328;0,136734;2,905167;-0,3011521;-0,08675671;2,810097;-0,2921023;-0,1989786;2,766489;0,0834289;0,4855329;2,952906;0,3411956;0,5949937;2,944504;0,5743117;0,6956059;2,944491;0,6622775;0,7483991;2,941749;-0,1616444;0,03521884;2,879239;-0,1615344;-0,4943321;2,900221;-0,1811994;-0,8660882;2,880838;-0,1951752;-0,9233322;2,840565;-0,0009324391;0,05177556;2,873957;0,01613355;-0,494339;2,903119;0,04874288;-0,8468434;2,904613;0,06347174;-0,902018;2,846317; 
-0,1212524;0,7260504;2,942981;-0,08464445;0,1252984;2,892385;-0,08638441;0,1850938;2,952511;-0,1039728;0,5453579;2,957914;-0,2764228;0,4067457;2,946622;-0,291539;0,1377026;2,904927;-0,3011025;-0,08667785;2,810089;-0,2919658;-0,199031;2,767024;0,08337064;0,485667;2,952764;0,3409379;0,5946984;2,944345;0,5697514;0,6936902;2,94225;0,6437073;0,7433916;2,946167;-0,1613086;0,0362536;2,879102;-0,1615007;-0,4941631;2,90029;-0,1808181;-0,8657667;2,880499;-0,1951459;-0,9220896;2,844434;-0,0008022757;0,05212504;2,874181;0,0155943;-0,4941353;2,903098;0,04917244;-0,8464937;2,904925;0,06333204;-0,9018775;2,846278; 
-0,1213165;0,7254794;2,942905;-0,08466002;0,1252939;2,892343;-0,08642662;0,1851187;2,952428;-0,1041014;0,5443429;2,9572;-0,2766579;0,4068456;2,9465;-0,2912236;0,1383652;2,904589;-0,3010921;-0,08705357;2,809824;-0,2922174;-0,1993849;2,766865;0,08321096;0,4856753;2,952572;0,3400919;0,5944071;2,944465;0,5711706;0,6945536;2,941846;0,6450177;0,7442518;2,946486;-0,1613436;0,03626567;2,8791;-0,1614797;-0,4944486;2,900255;-0,1813757;-0,86601;2,880178;-0,1942942;-0,9228059;2,844089;-0,000782477;0,05205252;2,874112;0,01585855;-0,4939744;2,903182;0,04931224;-0,8464607;2,904912;0,06341147;-0,9019008;2,846274; 
-0,1087653;0,7196927;3,039697;-0,0781204;0,1559508;2,939335;-0,07745393;0,2078212;3,004363;-0,0956154;0,5557075;3,042584;-0,2508945;0,4643813;3,000789;-0,260366;0,1992197;2,957954;-0,2145932;-0,002217695;2,836316;-0,2086852;-0,1148312;2,794208;0,06374634;0,4918957;2,986573;0,06051888;0,6443268;2,724126;0,07719909;0,8327582;2,488987;0,07505922;0,8997147;2,430436;-0,149811;0,08628209;2,920369;-0,1608512;-0,4934082;2,900316;-0,1817878;-0,8658825;2,87986;-0,1973409;-0,9231861;2,843081;-0,0005108645;0,09037341;2,918542;0,01722828;-0,4925319;2,906178;0,04935011;-0,8465487;2,90493;0,06342374;-0,902255;2,846705; 
-0,1087763;0,7196909;3,039624;-0,07813127;0,1558409;2,939266;-0,0776893;0,2075266;3,004316;-0,09554929;0,5551246;3,043655;-0,2503189;0,4641685;3,001831;-0,2597904;0,1990068;2,959012;-0,1212937;0,04380332;2,799601;-0,115385;-0,06882429;2,757488;0,06265818;0,4907015;2,988931;0,06067014;0,6442999;2,724088;0,07219605;0,7914194;2,527352;0,07403819;0,858672;2,464104;-0,1497805;0,08627151;2,920235;-0,1608447;-0,4923041;2,900452;-0,1817486;-0,8648806;2,880646;-0,1984267;-0,9233952;2,840774;-0,0005682861;0,09033454;2,918475;0,01760477;-0,4921507;2,908097;0,04923832;-0,8465737;2,904837;0,06311603;-0,9020331;2,847334; 
-0,1083261;0,7197974;3,039393;-0,07814204;0,155481;2,939194;-0,07736065;0,2071612;3,004266;-0,09530128;0,5547857;3,043962;-0,2514312;0,4629021;3,003645;-0,2609027;0,1977405;2,960841;-0,1228319;0,04293862;2,800064;-0,1169224;-0,06970422;2,757946;0,06108263;0,4898545;2,989026;0,06068147;0,6440921;2,724082;0,07253569;0,7916263;2,527869;0,07392604;0,8586151;2,463796;-0,149815;0,08604138;2,920159;-0,1606388;-0,4934919;2,901047;-0,1811875;-0,8672928;2,879566;-0,1988325;-0,9278818;2,834039;-0,0006228115;0,09003616;2,918335;0,01840937;-0,4912121;2,909034;0,04958442;-0,8467;2,90482;0,06303143;-0,9021413;2,847522; 
-0,1080696;0,7205968;3,039302;-0,07813658;0,155221;2,939044;-0,07833876;0,2071175;3,00421;-0,09487254;0,5559923;3,043435;-0,2501557;0,4680249;3,001986;-0,2596273;0,2028632;2,959194;-0,1197761;0,04189232;2,798241;-0,1138697;-0,07069327;2,756144;0,05697978;0,488291;2,991859;0,06078009;0,6444134;2,723351;0,07535978;0,8061215;2,51659;0,07445046;0,8579361;2,464888;-0,149536;0,08621592;2,919946;-0,1603032;-0,4925115;2,901167;-0,18125;-0,8671643;2,879558;-0,1992325;-0,9278744;2,834331;-0,001088342;0,08981465;2,918537;0,01879171;-0,4904903;2,910073;0,05002149;-0,8459793;2,90464;0,06271406;-0,9020734;2,847723; 
-0,1076144;0,7199572;3,038781;-0,07858057;0,1524518;2,93811;-0,07839204;0,204992;3,003698;-0,09435343;0,5556506;3,044216;-0,2499453;0,4684587;3,003832;-0,2594168;0,203297;2,961042;-0,2214527;0,000419721;2,839021;-0,2155558;-0,1119843;2,796992;0,05440059;0,4867517;2,992589;0,06078818;0,6444569;2,723091;0,07729057;0,8278033;2,492717;0,07478378;0,8579592;2,464607;-0,1479583;0,08430728;2,919184;-0,1604415;-0,4925118;2,901204;-0,1804526;-0,8674624;2,879491;-0,1996163;-0,9278324;2,833978;-0,004971565;0,08766069;2,917189;0,01936673;-0,4903179;2,910789;0,04986322;-0,8462059;2,904639;0,06292397;-0,902539;2,847707; 
-0,1072461;0,7190156;3,037033;-0,07747549;0,151672;2,937812;-0,07750872;0,2043016;3,003293;-0,09401142;0,5552312;3,043453;-0,251898;0,4673898;3,005385;-0,200846;0,1605815;2,933089;-0,1650002;-0,03912225;2,804294;-0,159113;-0,1513409;2,762335;0,05205157;0,4862968;2,994694;0,06101418;0,6445144;2,722423;0,07695121;0,8291692;2,490826;0,0749109;0,8577541;2,464849;-0,1469207;0,0842277;2,918893;-0,1604019;-0,4924896;2,901165;-0,1808658;-0,8686751;2,878175;-0,1993261;-0,9279766;2,833885;-0,003079616;0,08602545;2,91729;0,01935739;-0,4899546;2,911895;0,04922061;-0,8460831;2,90484;0,06201301;-0,9019902;2,848785; 
-0,1074224;0,7188446;3,036222;-0,07741494;0,1516988;2,937772;-0,07775383;0,2042967;3,003222;-0,09325596;0,5547211;3,042999;-0,2518476;0,4669568;3,005581;-0,199789;0,1604414;2,932605;-0,1639183;-0,03940129;2,803731;-0,158041;-0,1514318;2,761842;0,05442087;0,4863785;2,99708;0,0609595;0,6445261;2,722026;0,0768312;0,8300301;2,489051;0,07409906;0,858103;2,463909;-0,1462816;0,08415457;2,918669;-0,1597396;-0,4901917;2,900975;-0,1807207;-0,8665261;2,878851;-0,1987442;-0,9271505;2,835247;-0,003253506;0,08601707;2,91727;0,01956369;-0,4900305;2,912399;0,04953338;-0,8459281;2,90494;0,06180576;-0,9018866;2,848275; 
