;0,297305;0,7344954;2,804719;0,2671229;0,1376887;2,742445;0,2692424;0,1953749;2,803124;0,2706518;0,557529;2,81882;0,1104085;0,4157838;2,806874;0,03325087;0,1558072;2,806316;0,04364791;-0,04758912;2,733252;0,02954313;-0,1468871;2,710625;0,4566172;0,5027857;2,815636;0,5718832;0,6878864;2,789214;0,4355375;0,8489241;2,754194;0,4167255;0,9212317;2,740309;0,1864527;0,05417073;2,733813;0,1560696;-0,4947549;2,764661;0,1526513;-0,8598053;2,737662;0,1209293;-0,9174523;2,650657;0,3477316;0,06052189;2,715039;0,389527;-0,4890914;2,72286;0,4061786;-0,8497541;2,706643;0,4087459;-0,9138258;2,61598; 
0,2626082;0,7265315;2,798388;0,2563191;0,1648983;2,741045;0,2599657;0,2173116;2,802421;0,2623884;0,5581354;2,825219;0,07308716;0,4998478;2,832544;-0,05941427;0,6839052;2,794046;0,07099195;0,8440073;2,736368;0,1144607;0,8973747;2,7218;0,4496409;0,482734;2,810041;0,5997521;0,6706269;2,792727;0,4750344;0,8399962;2,761203;0,4029273;0,913058;2,752028;0,1705709;0,08284879;2,72724;0,1561271;-0,4873369;2,760932;0,1506539;-0,8597385;2,736872;0,1218012;-0,9179715;2,652239;0,3386577;0,08353754;2,713825;0,3891318;-0,4835961;2,715772;0,4050332;-0,8489917;2,703142;0,4082559;-0,9126221;2,616193; 
0,2658238;0,7186096;2,799129;0,2555203;0,164187;2,7406;0,2594723;0,216799;2,802003;0,2623286;0,5579016;2,824908;0,0738338;0,5000582;2,832202;-0,05956052;0,6836842;2,792845;0,07018007;0,8443962;2,735791;0,1134269;0,8979669;2,72143;0,4480493;0,4797768;2,807995;0,5999312;0,6704358;2,792685;0,4739777;0,8387647;2,760876;0,409191;0,9033692;2,753116;0,1704202;0,08271217;2,726961;0,1560946;-0,48722;2,760856;0,1506064;-0,8595421;2,736468;0,1218893;-0,9181223;2,652215;0,3365971;0,08251585;2,71359;0,3890673;-0,4828741;2,715578;0,405046;-0,8489156;2,703195;0,4080806;-0,9124838;2,616588; 
-1,183909;0,3709289;3,053749;-1,300707;0,1576954;3,121146;-1,301652;0,1754259;3,120749;-1,296909;0,264024;3,116117;-1,410291;0,219789;3,043011;-1,367238;0,162378;2,93319;-1,247495;0,2582391;2,974718;-1,17983;0,3390755;2,994844;-1,256942;0,2268061;3,164976;-1,262152;0,112747;3,116465;-1,229557;0,2527884;3,181453;-1,162915;0,3209856;3,020845;-1,336552;0,1185683;3,105436;-1,524659;0,2221873;2,995117;-1,721541;0,1706901;2,923748;-1,656366;0,1656912;2,951112;-1,267545;0,1217261;3,135066;-1,173723;0,3182093;3,017252;-1,439677;0,2136949;3,002407;-1,40531;0,1884643;2,957918; 
-1,191691;0,364202;3,055088;-1,297748;0,1593526;3,119021;-1,299083;0,17648;3,118247;-1,295572;0,2632378;3,112685;-1,412886;0,2197292;3,038465;-1,312047;0,2521732;2,992551;-1,186511;0,3332934;2,994861;-1,148624;0,3420655;2,99246;-1,25581;0,2287016;3,160665;-1,251213;0,1198028;3,127569;-1,22109;0,2509748;3,054859;-1,19337;0,2666128;3,032383;-1,334297;0,1172254;3,100804;-1,508608;0,2190822;2,968848;-1,71145;0,1754544;2,932571;-1,650472;0,1677012;2,956311;-1,259106;0,1208003;3,143103;-1,176776;0,3149331;3,026986;-1,440735;0,2155613;3,000032;-1,409222;0,1920094;2,958375; 
-1,188582;0,3657101;3,048485;-1,258625;0,1337501;3,167872;-1,265054;0,1554233;3,157268;-1,294101;0,2629492;3,111113;-1,412198;0,2177678;3,039023;-1,288877;0,2702991;3,022122;-1,181107;0,3181374;3,003351;-1,146223;0,3302638;3,015586;-1,254136;0,2235811;3,158906;-1,247578;0,1109006;3,128985;-1,190066;0,2388573;3,057785;-1,199723;0,2654081;3,031037;-1,2846;0,09268363;3,158274;-1,562832;0,1105033;3,041663;-1,488848;0,2762062;2,927769;-1,513588;0,2229486;2,961736;-1,213254;0,0943803;3,213532;-1,21514;0,3630984;3,029489;-1,442383;0,2001243;3,031611;-1,411296;0,1722902;2,989913; 
-1,189739;0,3635372;3,044415;-1,34597;0,1434419;3,097564;-1,33844;0,1639886;3,100053;-1,292925;0,2629561;3,108023;-1,3951;0,2089969;3,041684;-1,278163;0,268941;3,019452;-1,178649;0,3265556;2,998734;-1,141424;0,3352975;3,005802;-1,253441;0,2271839;3,155996;-1,243833;0,116064;3,133029;-1,195332;0,2413734;3,056353;-1,164158;0,3505787;2,977183;-1,393105;0,1013291;3,070085;-1,662685;0,0899085;2,990792;-1,4487;0,1884233;3,017349;-1,508972;0,1618808;3,00713;-1,333039;0,1161583;3,117196;-1,245096;0,394558;2,976271;-1,454643;0,2196659;2,994502;-1,422767;0,1912481;2,955324; 
-1,188036;0,3638468;3,043246;-1,286759;0,1666716;3,114324;-1,287811;0,1820654;3,114466;-1,289186;0,2620101;3,108537;-1,408076;0,2019915;3,035951;-1,348303;0,2443269;2,937355;-1,221313;0,3111041;2,980488;-1,189415;0,333958;2,979254;-1,253024;0,2190314;3,177681;-1,242021;0,1145346;3,124575;-1,191153;0,2430194;3,054552;-1,167413;0,330388;3,000135;-1,328142;0,1089074;3,075024;-1,414535;0,2725972;2,927446;-1,620007;0,2481231;2,913771;-1,58183;0,2077139;2,950906;-1,253796;0,1172211;3,152297;-1,173723;0,3182093;3,013799;-1,431708;0,2094942;3,00033;-1,396489;0,1863435;2,960292; 
0,2716599;0,7236732;2,796496;0,2551632;0,1633159;2,740824;0,259041;0,2162906;2,802182;0,26085;0,5575408;2,824983;0,07735195;0,4998417;2,833113;-0,06255358;0,6776738;2,788965;0,06323222;0,8421111;2,736764;0,1051608;0,8969235;2,724016;0,4510596;0,4804421;2,808148;0,6008574;0,6689888;2,791934;0,493243;0,8494836;2,765127;0,420975;0,922648;2,756314;0,1718647;0,08130796;2,727355;0,1562129;-0,4856969;2,759969;0,1502441;-0,8590826;2,736164;0,1223643;-0,9185039;2,65245;0,3358877;0,08179903;2,713793;0,3898007;-0,4806594;2,714128;0,405461;-0,8466561;2,704242;0,4074767;-0,9111926;2,619529; 
0,2696415;0,7262892;2,797793;0,2550947;0,1632395;2,740822;0,259043;0,2162495;2,802171;0,2607246;0,5576148;2,825039;0,07744066;0,499826;2,833096;-0,06320978;0,6772478;2,788186;0,06027889;0,8437067;2,737677;0,1014418;0,899193;2,725491;0,4498278;0,477998;2,806983;0,6017749;0,6679851;2,791694;0,4939389;0,8482885;2,765229;0,4579935;0,9083896;2,761059;0,171865;0,08130593;2,727333;0,1563539;-0,4858451;2,759701;0,1498754;-0,858862;2,735705;0,1220102;-0,918049;2,651556;0,3357404;0,08175875;2,713858;0,3898305;-0,4804516;2,713863;0,4053404;-0,845796;2,704237;0,4076591;-0,9111843;2,619031; 
0,2696675;0,7263825;2,79815;0,2550388;0,1632483;2,740791;0,2589898;0,2162803;2,802134;0,26056;0,5577654;2,825096;0,07791844;0,5002509;2,833012;-0,06360833;0,6768115;2,78793;0,06145693;0,8422164;2,73841;0,1031454;0,8973513;2,726552;0,4496142;0,476586;2,806228;0,6014941;0,6672715;2,791467;0,4943994;0,8481421;2,768461;0,4715354;0,9205495;2,763133;0,1718529;0,08140779;2,727313;0,1563602;-0,4858939;2,759633;0,1493849;-0,8581964;2,735556;0,1221521;-0,9178702;2,651405;0,3356159;0,08176253;2,713797;0,3898873;-0,4800677;2,71354;0,4051252;-0,8460132;2,704085;0,4076466;-0,9111258;2,619177; 
0,2704074;0,7250547;2,799507;0,2553373;0,1628072;2,740799;0,2591608;0,2159558;2,80217;0,2604451;0,5576189;2,82535;0,0783131;0,4998865;2,833133;-0,06386721;0,6765816;2,787928;0,06102925;0,8421286;2,738913;0,1026614;0,8973109;2,727224;0,4500213;0,4786777;2,806901;0,6015137;0,6672704;2,791444;0,4947803;0,8483156;2,769413;0,4728118;0,9209116;2,764181;0,1727817;0,0807984;2,727358;0,156358;-0,4858963;2,759629;0,14927;-0,8581403;2,735445;0,121871;-0,918093;2,651514;0,3357427;0,08151807;2,713716;0,3898745;-0,4802231;2,713367;0,4053617;-0,8458265;2,703868;0,4078166;-0,9110978;2,618829; 
0,2712391;0,7252404;2,800124;0,2552974;0,1621858;2,740602;0,2591974;0,2156189;2,802091;0,260251;0,558336;2,826103;0,07915348;0,4988383;2,83305;-0,06445264;0,6763521;2,787602;0,05993748;0,8424006;2,739542;0,1014009;0,89775;2,72817;0,4490846;0,4768996;2,806055;0,6015044;0,6669475;2,791323;0,49459;0,8477345;2,767671;0,4732103;0,9204018;2,76235;0,1729779;0,08064497;2,72721;0,1562929;-0,4854036;2,758967;0,1492088;-0,8581592;2,735418;0,1218526;-0,9181663;2,651304;0,3354318;0,08102886;2,713457;0,3898078;-0,4804479;2,713267;0,4050954;-0,8459682;2,704058;0,4079452;-0,9111719;2,618727; 
0,2717252;0,7231563;2,802909;0,2553334;0,1620671;2,740576;0,2592289;0,2154746;2,802079;0,2608122;0,5584314;2,826626;0,08001192;0,4980823;2,832942;-0,06484243;0,6761783;2,78778;0,05995908;0,8418427;2,739767;0,1015596;0,8970641;2,72841;0,4498764;0,4786372;2,806704;0,6019227;0,6662006;2,790997;0,4954852;0,8472354;2,768206;0,4743875;0,9198667;2,762612;0,1730973;0,08043738;2,727053;0,1563638;-0,4849481;2,75864;0,1490034;-0,8581373;2,735398;0,1219419;-0,9180191;2,650817;0,3353876;0,08102603;2,713446;0,3896054;-0,4802283;2,713098;0,4050153;-0,8459272;2,703778;0,4076927;-0,9109253;2,618026; 
0,2773615;0,726233;2,804972;0,2553353;0,1618701;2,740576;0,259267;0,2153443;2,802092;0,260885;0,5587876;2,827086;0,0800202;0,4977744;2,833124;-0,06526228;0,6761457;2,787904;0,05677039;0,8438194;2,740043;0,09744795;0,8997106;2,728736;0,4500569;0,4769636;2,806237;0,6022391;0,6657797;2,791317;0,4973885;0,8477486;2,77026;0,4763602;0,9202615;2,764096;0,1731696;0,08026429;2,727025;0,1558853;-0,4846482;2,75835;0,1490568;-0,8580462;2,735508;0,1219134;-0,9175963;2,650369;0,3352809;0,08076606;2,713374;0,3897967;-0,47931;2,712198;0,4049948;-0,8457982;2,703435;0,4084911;-0,9112428;2,616473; 
