HeadX;HeadY;HeadZ;HipCenterX;HipCenterY;HipCenterZ;SpineX;SpineY;SpineZ;ShoulderCenterX;ShoulderCenterY;ShoulderCenterZ;ShoulderLeftX;ShoulderLeftY;ShoulderLeftZ;ElbowLeftX;ElbowLeftY;ElbowLeftZ;WristLeftX;WristLeftY;WristLeftZ;HandLeftX;HandLeftY;HandLeftZ;ShoulderRightX;ShoulderRightY;ShoulderRightZ;ElbowRightX;ElbowRightY;ElbowRightZ;WristRightX;WristRightY;WristRightZ;HandRightX;HandRightY;HandRightZ;HipLeftX;HipLeftY;HipLeftZ;KneeLeftX;KneeLeftY;KneeLeftZ;AnkleLeftX;AnkleLeftY;AnkleLeftZ;FootLeftX;FootLeftY;FootLeftZ;HipRightX;HipRightY;HipRightZ;KneeRightX;KneeRightY;KneeRightZ;AnkleRightX;AnkleRightY;AnkleRightZ;FootRightX;FootRightY;FootRightZ;IDPOS
0,09773261;0,7722498;2,465372;0,04864892;0,1286325;2,391867;0,04674485;0,1914105;2,458848;0,07321983;0,582469;2,487596;-0,1364136;0,4701006;2,457186;-0,3756322;0,5818073;2,352197;-0,5264673;0,7829014;2,25194;-0,5710838;0,8443389;2,223359;0,2525386;0,3924423;2,480077;0,2783741;0,1957804;2,51267;0,2449274;-0,02161448;2,355518;0,2512022;-0,1050758;2,377504;-0,04203493;0,04833375;2,36372;-0,04322145;-0,4813257;2,438059;-0,03522355;-0,8314683;2,40165;-0,06385408;-0,8918286;2,324171;0,1309389;0,03553721;2,378356;0,163982;-0,4944602;2,399478;0,167676;-0,833747;2,384649;0,1717297;-0,891655;2,303471;1;
0,09797031;0,7718855;2,464708;0,04904792;0,1283967;2,391946;0,04694031;0,1912204;2,458897;0,0727404;0,5821455;2,487451;-0,1364092;0,4701486;2,457157;-0,3754695;0,5817311;2,35221;-0,5255561;0,7827473;2,251993;-0,5694607;0,8422557;2,224146;0,2529413;0,3924457;2,480357;0,2787958;0,1958764;2,512988;0,2451623;-0,02165125;2,355449;0,2509764;-0,1088176;2,37584;-0,04112212;0,04775853;2,363704;-0,04288096;-0,4816597;2,437948;-0,03522122;-0,8313993;2,40166;-0,0634365;-0,8917008;2,324204;0,1313962;0,03517843;2,378479;0,1640784;-0,4945454;2,39956;0,1676754;-0,8337347;2,384657;0,1719654;-0,891833;2,303436;1;
0,08098907;0,746894;2,411113;0,05786896;0,08023762;2,381434;0,05965595;0,1536065;2,446623;0,07070892;0,5690528;2,462575;-0,1082969;0,4122134;2,47462;-0,1683122;0,1642586;2,518741;-0,3151633;0,3654902;2,418784;-0,3620795;0,4222293;2,391736;0,2481636;0,3870904;2,467511;0,2860498;0,1418849;2,518676;0,2464062;-0,02085108;2,352576;0,2528868;-0,1062242;2,375018;-0,02616551;0,006128728;2,373332;-0,0425266;-0,4838364;2,43508;-0,0350783;-0,8314898;2,401663;-0,06255034;-0,8909385;2,324465;0,1360984;0,006091048;2,363896;0,165406;-0,4953407;2,399955;0,1678308;-0,8337298;2,384637;0,1719391;-0,8918644;2,303453;1;
0,08107682;0,7463161;2,411433;0,05788404;0,08050713;2,381727;0,06018443;0,153694;2,446731;0,07071192;0,5681779;2,461325;-0,1082622;0,4120872;2,474698;-0,1680196;0,165976;2,518111;-0,3148706;0,3672076;2,418151;-0,3617421;0,4238926;2,391128;0,2474082;0,3848502;2,464056;0,2899656;0,1678647;2,512479;0,2472005;-0,02001985;2,350453;0,2524282;-0,1069181;2,371543;-0,02607014;0,006188761;2,373592;-0,04192657;-0,485047;2,433394;-0,03476141;-0,8314602;2,401344;-0,0623595;-0,890785;2,324349;0,1361545;0,005769107;2,363948;0,1666074;-0,495824;2,400245;0,1679913;-0,8336548;2,384507;0,1717685;-0,8916355;2,303528;1;
0,08114238;0,7459309;2,411736;0,05776315;0,08072982;2,382146;0,0603128;0,1537071;2,446946;0,07048557;0,5679056;2,460835;-0,1082655;0,4121402;2,474763;-0,1677316;0,1663812;2,517829;-0,3145826;0,3676128;2,417866;-0,3614115;0,4242462;2,390868;0,2471374;0,3843113;2,462937;0,2905903;0,167553;2,512594;0,2475667;-0,01959396;2,34935;0,2520982;-0,1073228;2,369849;-0,02605995;0,006216312;2,374015;-0,04180393;-0,4863423;2,433009;-0,03464894;-0,8313906;2,401423;-0,06064637;-0,88961;2,32542;0,1360699;0,005300935;2,364115;0,1683378;-0,4978262;2,400584;0,1679405;-0,8337201;2,384495;0,1716385;-0,8915892;2,30364;1;
0,08114025;0,745474;2,412027;0,05797149;0,08055059;2,382156;0,06147503;0,1531546;2,446898;0,07056637;0,567629;2,460513;-0,1133024;0,4044143;2,477194;-0,1687154;0,1662588;2,51918;-0,3155664;0,3674904;2,419213;-0,3623762;0,4241008;2,392226;0,2463847;0,3828765;2,461226;0,2909175;0,1687219;2,512296;0,2479412;-0,01933733;2,346838;0,2531863;-0,1184051;2,366931;-0,02572374;0,004961386;2,3742;-0,04160959;-0,4868442;2,433082;-0,03463897;-0,8314678;2,401481;-0,06051444;-0,8895742;2,325361;0,1373552;0,003205437;2,362895;0,1688612;-0,4982817;2,400592;0,1683294;-0,833405;2,384485;0,1716625;-0,8915704;2,303679;1;
0,07979709;0,7453615;2,412184;0,05793425;0,08123737;2,382751;0,06142767;0,1534347;2,447222;0,07059787;0,5677251;2,460367;-0,1119096;0,4061952;2,476686;-0,1685273;0,1671519;2,519323;-0,3153783;0,3683836;2,419354;-0,3621633;0,424964;2,392381;0,2464844;0,3831699;2,460958;0,2900209;0,1743244;2,50943;0,2481438;-0,01936439;2,34665;0,2526179;-0,115685;2,365593;-0,02566418;0,005430152;2,374737;-0,04130328;-0,4872962;2,433127;-0,03474942;-0,8314228;2,40137;-0,06039641;-0,8894591;2,325064;0,1372736;0,003305342;2,363142;0,1696342;-0,4984452;2,400428;0,1687663;-0,8331968;2,384342;0,1716307;-0,8915576;2,303621;1;
0,07977219;0,7446618;2,412623;0,05794777;0,08126409;2,382707;0,06156259;0,153391;2,447151;0,07062452;0,5668037;2,459547;-0,1118753;0,4063413;2,4768;-0,1685224;0,1671495;2,519329;-0,3153734;0,3683811;2,419359;-0,3621294;0,4249263;2,392403;0,2463502;0,3833377;2,460484;0,2899479;0,1751389;2,508879;0,2482592;-0,01925776;2,346518;0,2520769;-0,1134029;2,364755;-0,0256997;0,005409987;2,374759;-0,04103405;-0,488567;2,434052;-0,03492148;-0,8308769;2,401295;-0,06003459;-0,8891306;2,325037;0,1375504;0,002909739;2,362449;0,170213;-0,4991674;2,400425;0,1688426;-0,8330161;2,384429;0,1715696;-0,8916952;2,304237;1;
0,07988575;0,7443734;2,412876;0,05844434;0,08101615;2,382825;0,06252738;0,1530081;2,447267;0,07061499;0,5668143;2,459549;-0,1145382;0,4011357;2,478415;-0,1680965;0,1658885;2,518667;-0,3149475;0,3671201;2,418693;-0,3616766;0,423633;2,391752;0,2456283;0,3827809;2,459617;0,2911107;0,1733335;2,509978;0,2521009;-0,0161643;2,349526;0,2518025;-0,1125101;2,363331;-0,02486376;0,004321776;2,374885;-0,04056609;-0,4886969;2,434554;-0,03500765;-0,830809;2,401272;-0,06007516;-0,8889835;2,324825;0,1384192;0,002254437;2,362427;0,1706021;-0,4993854;2,400519;0,168778;-0,8329909;2,384409;0,1711901;-0,8915756;2,304359;1;
0,08021612;0,7444161;2,413338;0,05858004;0,08105259;2,382878;0,0626895;0,1530135;2,447306;0,07025279;0,5669124;2,459286;-0,1153359;0,4007762;2,478855;-0,1681207;0,1661449;2,518743;-0,3149717;0,3673765;2,418767;-0,3616716;0,4238539;2,391843;0,2459009;0,3821932;2,459371;0,2909608;0,1735912;2,509602;0,2511455;-0,01545679;2,347264;0,2526165;-0,1094607;2,362526;-0,02481685;0,004059822;2,375042;-0,0403609;-0,4897372;2,435051;-0,03478532;-0,8312544;2,401302;-0,06006398;-0,8889412;2,324783;0,1392544;0,001687849;2,362164;0,1711443;-0,4997913;2,400537;0,1690841;-0,8329686;2,384238;0,1710365;-0,8915675;2,304467;1;
