;0,2423169;0,6843665;3,305555;0,1832459;0,1087851;3,240785;0,1976673;0,1635453;3,296154;0,236448;0,5027429;3,308996;0,06552275;0,394826;3,312453;0,002456199;0,1632139;3,331259;-0,02835849;-0,04380627;3,243117;-0,02372826;-0,05267418;3,255522;0,3778547;0,4276836;3,270835;0,5253805;0,6120179;3,123312;0,5204781;0,8970587;3,01423;0,5223379;1,006398;2,986133;0,09650913;0,04848168;3,245955;0,003797233;-0,2398165;2,925312;-0,03324614;-0,5127259;3,158446;-0,07345565;-0,5773965;3,123529;0,256517;0,02593745;3,205109;0,2438429;-0,4612195;3,176717;0,1981262;-0,8653945;3,171198;0,1977149;-0,9406331;3,128839; 
0,2379251;0,6780506;3,308648;0,1904822;0,1047871;3,238633;0,2049386;0,1594758;3,294701;0,2362671;0,4981702;3,310199;0,06973539;0,3973005;3,316322;0,01761086;0,164662;3,313063;-0,02642926;-0,05569233;3,221772;-0,03099181;-0,1263194;3,211823;0,3878837;0,4240851;3,274356;0,5260701;0,6171558;3,136084;0,5250421;0,9046634;3,036667;0,5263387;1,015166;3,006629;0,1056054;0,04567911;3,242617;0,01461135;-0,2450835;2,927908;-0,02650012;-0,5130199;3,15432;-0,05951948;-0,5800483;3,118849;0,2604015;0,02219659;3,204365;0,2532497;-0,4650267;3,174127;0,2038924;-0,8602843;3,174706;0,2037411;-0,9403792;3,128638; 
0,2393216;0,6783162;3,31107;0,1905812;0,1047976;3,238538;0,205155;0,1594166;3,294584;0,236242;0,4977407;3,310257;0,07072084;0,3959817;3,316796;0,01875802;0,1646781;3,311871;-0,02454213;-0,04347099;3,235532;-0,02036593;-0,07208987;3,238342;0,3877933;0,424425;3,27449;0,5256228;0,6179046;3,139824;0,5249456;0,9054675;3,040909;0,5260249;0,9726884;3,022367;0,1057844;0,04562756;3,242726;0,01399229;-0,2402738;2,923916;-0,02536239;-0,5132651;3,153975;-0,05908913;-0,5799542;3,118673;0,2605271;0,02252612;3,203735;0,2534856;-0,4645243;3,174005;0,2037814;-0,8591273;3,175594;0,2045676;-0,9407701;3,128799; 
0,2375475;0,6769386;3,310631;0,1919162;0,1036502;3,239058;0,2059935;0,1584451;3,29528;0,2359388;0,4976574;3,31196;0,07070263;0,3946671;3,316114;0,01937086;0,1643984;3,311939;-0,02430182;-0,04338437;3,234903;-0,01997692;-0,07172743;3,237963;0,3884136;0,4240077;3,27523;0,5267709;0,6184165;3,143254;0,5261826;0,9072208;3,048963;0,5267121;1,01704;3,021357;0,1071546;0,04414517;3,243169;0,01133008;-0,1795104;2,877687;-0,03966792;-0,5384623;3,079023;-0,0511485;-0,5718562;2,988499;0,2624007;0,02119605;3,20399;0,2531855;-0,4640977;3,173826;0,2043228;-0,8582644;3,176609;0,2042322;-0,9409018;3,129256; 
0,2374697;0,6768682;3,310529;0,1921677;0,1033795;3,239021;0,2062927;0,1580875;3,295323;0,2367178;0,4977699;3,312955;0,06984845;0,3934437;3,316301;0,01955039;0,1641134;3,311718;-0,02331519;-0,0442131;3,236196;-0,01879994;-0,07072213;3,239466;0,3887174;0,4238638;3,275763;0,5266997;0,6175781;3,146183;0,5268178;0,9075373;3,05653;0,5285859;0,9758331;3,043238;0,1070946;0,04372973;3,243001;0,01602392;-0,2340499;2,917325;-0,02328552;-0,5116182;3,152148;-0,05804729;-0,5782187;3,118018;0,262883;0,02072934;3,203828;0,2531186;-0,4646718;3,173633;0,202163;-0,8650447;3,171829;0,2039746;-0,9412563;3,128858; 
0,2363357;0,6778682;3,312071;0,1920163;0,1031342;3,239303;0,206279;0,1576621;3,295716;0,2375022;0,4979825;3,314982;0,06990703;0,3933471;3,316667;0,02322794;0,1659605;3,309092;-0,02331443;-0,04275328;3,237948;-0,03255742;-0,1105997;3,225965;0,3888777;0,4238487;3,275994;0,5275295;0,6182689;3,148223;0,5290547;0,9089323;3,061764;0,529205;1,021651;3,034214;0,1070346;0,04367727;3,242962;0,01630054;-0,2346538;2,918068;-0,02163288;-0,5113449;3,151106;-0,05725131;-0,5776835;3,117493;0,2620951;0,02029568;3,204572;0,2531777;-0,4655358;3,173549;0,2027561;-0,859275;3,173124;0,2039954;-0,9413077;3,128355; 
0,2360971;0,6769217;3,312621;0,1929234;0,1024627;3,239593;0,2067329;0,1570746;3,296116;0,2365689;0,4976457;3,316093;0,07017116;0,3920034;3,316655;0,02320988;0,1658533;3,309894;-0,02384275;-0,04277354;3,239184;-0,03808896;-0,1095088;3,226417;0,3890444;0,4237136;3,277321;0,528529;0,617138;3,149663;0,52963;0,9084023;3,066116;0,5299329;1,023592;3,039569;0,1086051;0,04230054;3,243793;0,01616794;-0,2339524;2,91788;-0,02036235;-0,5094233;3,149413;-0,05562825;-0,5762736;3,116591;0,2632006;0,01990291;3,204196;0,253039;-0,4678804;3,173186;0,2030642;-0,8590903;3,173756;0,2039792;-0,9416922;3,128292; 
0,2374423;0,676909;3,314219;0,1930155;0,1022065;3,239784;0,2068302;0,1567667;3,296416;0,2365059;0,4984734;3,31774;0,07023117;0,3917881;3,317609;0,02358606;0,1654224;3,309957;-0,01495132;-0,04436003;3,237491;-0,03396718;-0,1095229;3,223397;0,3898659;0,4241506;3,278491;0,528295;0,6181296;3,153035;0,5300589;0,9092478;3,069412;0,5323115;1,024802;3,045516;0,1086473;0,04210803;3,243566;0,01619103;-0,2334706;2,917439;-0,01772263;-0,512354;3,149237;-0,05212577;-0,5789453;3,115184;0,2632919;0,01949656;3,204826;0,253943;-0,4668402;3,17293;0,2025259;-0,8638244;3,171553;0,2041798;-0,9412421;3,128161; 
0,236775;0,6768588;3,314771;0,1943169;0,1029529;3,240711;0,2082231;0,1570911;3,297667;0,2384862;0,4978612;3,320772;0,07138407;0,3924887;3,318622;0,02383673;0,1655234;3,312372;-0,02134109;-0,04305689;3,240685;-0,04173476;-0,1073249;3,224979;0,3907509;0,4246739;3,28033;0,5289566;0,6187605;3,157623;0,5307494;0,9092407;3,071904;0,5319976;1,024431;3,045994;0,1093366;0,04276879;3,244417;0,01756196;-0,2306127;2,91639;-0,0169878;-0,5114775;3,147355;-0,04993051;-0,5783722;3,112649;0,2647592;0,0205471;3,204927;0,2539502;-0,4669334;3,172919;0,2026558;-0,8648672;3,171161;0,2046065;-0,9411994;3,128573; 
0,2366838;0,6773039;3,314756;0,1946077;0,103068;3,241086;0,2083967;0,1571402;3,298182;0,238646;0,4977863;3,321606;0,07132348;0,392362;3,31899;0,02347117;0,1645696;3,311832;-0,03213761;-0,05671472;3,254256;-0,05412025;-0,1194458;3,235228;0,3913267;0,4258299;3,28197;0,5301999;0,6200603;3,159395;0,5310405;0,9101424;3,072541;0,5319357;1,024363;3,045979;0,1093666;0,04269638;3,244852;0,01795136;-0,2298279;2,916225;-0,01699759;-0,5108829;3,146768;-0,04892532;-0,5777177;3,111154;0,2651613;0,02070079;3,204924;0,2544584;-0,4653984;3,173544;0,2045292;-0,8603706;3,173434;0,2046238;-0,9407707;3,128585; 
0,237479;0,6762078;3,316514;0,19444;0,1018462;3,241673;0,2082812;0,1560657;3,29887;0,2376612;0,4977322;3,323138;0,07138395;0,3919825;3,320255;0,02430518;0,1643072;3,310915;-0,02041183;-0,04415236;3,238866;-0,04236308;-0,1067939;3,219865;0,3909318;0,4256626;3,282478;0,5320548;0,6452497;3,161269;0,5314224;0,9336689;3,068293;0,532182;1,024257;3,046642;0,1093799;0,04181717;3,245109;0,01813835;-0,2292027;2,915464;-0,01657701;-0,5112751;3,145959;-0,048189;-0,5782118;3,110373;0,2649769;0,0199312;3,205373;0,2541877;-0,4665583;3,173728;0,2047166;-0,8576934;3,174854;0,2048144;-0,9415807;3,130311; 
0,2372123;0,6764708;3,319326;0,1949835;0,1012607;3,242337;0,2086547;0,1556482;3,299561;0,2377698;0,4977223;3,323478;0,07258201;0,3924849;3,320737;0,02475276;0,1646015;3,311617;-0,02063565;-0,04346238;3,238932;-0,04255521;-0,1060135;3,219959;0,3911071;0,4255912;3,283682;0,532729;0,6280497;3,165644;0,531629;0,9165467;3,073286;0,5319916;1,024182;3,046627;0,1099573;0,04167137;3,245402;0,01793054;-0,2286814;2,915696;-0,01360475;-0,507179;3,142816;-0,04663178;-0,5745258;3,109461;0,2654656;0,01935661;3,206526;0,2541709;-0,4669389;3,173722;0,206201;-0,8573135;3,176449;0,2051097;-0,9411558;3,12933; 
0,2373285;0,6779371;3,319297;0,1957856;0,1030668;3,244592;0,2095732;0,1573681;3,301991;0,2398037;0,4995306;3,326411;0,07250459;0,3926182;3,320722;0,0238421;0,165465;3,312761;-0,02618776;-0,05049954;3,235632;-0,04807841;-0,1129681;3,216684;0,3923436;0,4269968;3,284572;0,5329653;0,6271313;3,166634;0,5329737;0,9159986;3,076002;0,5320773;1,024072;3,047245;0,1103502;0,04277584;3,24734;0,01855399;-0,2268295;2,917181;-0,01483792;-0,5064271;3,142053;-0,04706672;-0,5736437;3,107816;0,2658985;0,02065003;3,207952;0,2542142;-0,4669758;3,173633;0,2063004;-0,863376;3,173649;0,2054443;-0,9406364;3,128057; 
0,2372374;0,6766922;3,318662;0,1957275;0,1027365;3,244612;0,2091442;0,1569714;3,302038;0,2384383;0,4982359;3,326165;0,07303105;0,3925598;3,320924;0,02382172;0,1677859;3,311213;-0,03347462;-0,03809211;3,24188;-0,05533417;-0,1004719;3,222959;0,3934309;0,4264611;3,286389;0,5338229;0,6227733;3,17131;0,5337987;0,9110106;3,07881;0,5328905;1,023037;3,048312;0,1103244;0,04263683;3,247305;0,01920108;-0,224839;2,915443;-0,0146279;-0,5066245;3,141716;-0,04717777;-0,5732458;3,106749;0,2659785;0,02022441;3,208085;0,254236;-0,4657082;3,173684;0,2080689;-0,8605154;3,175652;0,2054519;-0,9406304;3,128027; 
0,2366572;0,6748838;3,319203;0,1964783;0,1020264;3,244803;0,2097226;0,1563045;3,302361;0,2398253;0,4984829;3,327479;0,07394855;0,3927625;3,321674;0,02218176;0,1659553;3,311893;-0,03473966;-0,03954247;3,24113;-0,05656592;-0,1018273;3,222238;0,3933929;0,4256803;3,28852;0,5335358;0,6213518;3,173231;0,5341178;0,9091163;3,079447;0,5331044;1,01993;3,046777;0,1113568;0,04217914;3,247227;0,01923066;-0,2250381;2,915755;-0,01324318;-0,5015233;3,138488;-0,04609709;-0,5698603;3,107438;0,2663015;0,01997413;3,208331;0,2538059;-0,4666876;3,173489;0,2083078;-0,8586829;3,176454;0,2052685;-0,9398355;3,128095; 
0,2366273;0,6750714;3,31895;0,1964631;0,1018219;3,244845;0,2095939;0,1560051;3,302464;0,2401542;0,4982073;3,328281;0,0740602;0,3925869;3,321667;0,02120806;0,1653374;3,313287;-0,03612098;-0,03970499;3,241614;-0,05791572;-0,1018999;3,222749;0,3937654;0,4252996;3,289473;0,5334024;0,6211547;3,173594;0,5346839;0,9089741;3,080405;0,5337427;1,018357;3,049057;0,1114176;0,04200995;3,246877;0,01924004;-0,224431;2,915108;-0,01315025;-0,5013385;3,138431;-0,045019;-0,5688214;3,10476;0,2660705;0,01967959;3,208777;0,253842;-0,4669262;3,17356;0,2047682;-0,8654957;3,172632;0,2049183;-0,9404306;3,127264; 
0,2383657;0,6745801;3,321855;0,1965178;0,1015482;3,245197;0,2096244;0,1556939;3,302822;0,2399937;0,4977518;3,328562;0,07571133;0,3916961;3,322304;0,02039924;0,1656123;3,312547;-0,03566885;-0,03993984;3,241543;-0,05743277;-0,1020468;3,222704;0,3941409;0,4249116;3,29037;0,5365146;0,6423128;3,169523;0,535426;0,9298378;3,075411;0,5359979;1,01762;3,052759;0,1113456;0,04198511;3,247059;0,01929416;-0,2242597;2,915278;-0,01443314;-0,5020124;3,13698;-0,04595992;-0,5696517;3,103433;0,2664473;0,01942655;3,209409;0,2534733;-0,467766;3,173345;0,2058784;-0,8621501;3,173211;0,2050128;-0,9413036;3,127541; 
0,2382628;0,6736822;3,321324;0,1960216;0,1009837;3,245511;0,2090237;0,1550287;3,303212;0,2388688;0,4970216;3,329452;0,0762166;0,3916612;3,322551;0,01962804;0,1659102;3,312324;-0,0339367;-0,04045482;3,242087;-0,05567114;-0,1024777;3,223275;0,3941345;0,4244287;3,290715;0,5390962;0,6238534;3,176203;0,5363171;0,911068;3,08135;0,5370811;1,017394;3,054809;0,1112704;0,04176948;3,247175;0,01827423;-0,224777;2,91623;-0,01614471;-0,5014865;3,135761;-0,0465371;-0,569521;3,102092;0,2656448;0,01907553;3,209771;0,2533044;-0,4673815;3,173033;0,2057824;-0,8612015;3,173678;0,2051244;-0,9410573;3,127291; 
0,2415618;0,6754969;3,325129;0,1956596;0,1005491;3,245912;0,2085576;0,1546341;3,303706;0,2387664;0,4975332;3,330974;0,07628784;0,3909356;3,32259;0,01584775;0,1646032;3,315025;-0,03272858;-0,04224657;3,242381;-0,05443291;-0,1041835;3,223594;0,3945935;0,4237;3,291841;0,5390375;0,6228352;3,177167;0,5378658;0,9100776;3,082684;0,5384998;1,016682;3,054894;0,1109568;0,04168437;3,247021;0,01839412;-0,2245551;2,91599;-0,01618581;-0,5021553;3,134655;-0,04666257;-0,5697602;3,100331;0,2650895;0,0180972;3,211127;0,2532381;-0,4660593;3,172476;0,205104;-0,8605999;3,173006;0,2050876;-0,9411461;3,127377; 
0,2427134;0,6717771;3,325245;0,1948074;0,0991867;3,246668;0,2078405;0,1533609;3,304515;0,2387474;0,4966909;3,331865;0,07791151;0,3905161;3,322685;0,01452609;0,1630634;3,317402;-0,03468115;-0,04311991;3,24319;-0,05635723;-0,1049761;3,224427;0,3946493;0,4228536;3,292211;0,539134;0,6215974;3,177602;0,5389712;0,9087216;3,082963;0,5395675;1,013991;3,055382;0,110729;0,04139909;3,247204;0,01829671;-0,2253774;2,916893;-0,01656611;-0,5018675;3,132157;-0,04661429;-0,570236;3,099118;0,263449;0,01681277;3,212356;0,2531637;-0,4649566;3,172278;0,2051107;-0,8601716;3,173339;0,2047303;-0,9411147;3,127107
