;0,4457108;0,7392362;2,697351;0,3884353;0,1312053;2,717091;0,4083629;0,1947462;2,765798;0,4473502;0,5519215;2,749852;0,2736188;0,4381639;2,785081;0,1866869;0,1787241;2,842087;0,1545319;0,4013517;2,775756;0,1599591;0,485585;2,756111;0,6226983;0,4211982;2,707736;0,8332366;0,4218341;2,649777;0,8234639;0,6683993;2,616175;0,7997832;0,7690597;2,605729;0,2944992;0,06645179;2,726393;-0,05455592;-0,1725468;2,623116;-0,09632985;-0,5746458;2,609707;-0,1652592;-0,6176313;2,599372;0,4598424;0,03801172;2,69083;0,3913786;-0,46094;2,665022;0,3678745;-0,8398902;2,682695;0,3552129;-0,9060908;2,614825; 
0,4485143;0,7409723;2,709044;0,3915249;0,1310472;2,721295;0,4112168;0,1946206;2,771065;0,4475273;0,5539302;2,757572;0,2749327;0,4386722;2,790877;0,1882634;0,1786967;2,84454;0,1561083;0,4013243;2,77826;0,16152;0,4853169;2,758672;0,6230547;0,4247352;2,711916;0,8330071;0,4233358;2,652484;0,8236169;0,6675404;2,617639;0,7995355;0,7718875;2,609528;0,2990534;0,06589974;2,731035;-0,04981557;-0,1683643;2,618821;-0,09268914;-0,5697571;2,601043;-0,1690311;-0,60806;2,584364;0,4630964;0,03842888;2,693398;0,3923858;-0,4611658;2,669941;0,366707;-0,8411863;2,682826;0,3454075;-0,9058293;2,637332; 
0,4489326;0,7421131;2,710387;0,3918295;0,1311761;2,721745;0,4116118;0,1947081;2,771818;0,4474818;0,5544374;2,758538;0,2749065;0,438489;2,792068;0,1883358;0,1788367;2,84464;0,1561808;0,4014643;2,778364;0,1615914;0,4854392;2,75878;0,6225138;0,4249135;2,712599;0,8323461;0,424068;2,652605;0,823342;0,6678685;2,61844;0,7992446;0,7719179;2,610611;0,2994791;0,06583137;2,731366;-0,0495199;-0,1678622;2,618559;-0,09229724;-0,5691504;2,60043;-0,1648846;-0,6088756;2,58322;0,4635431;0,03910799;2,69399;0,392324;-0,4609937;2,670041;0,366581;-0,840773;2,68325;0,3459601;-0,905771;2,638026; 
0,4491763;0,744374;2,711267;0,3918203;0,1313573;2,722205;0,411665;0,1948147;2,772606;0,4471068;0,5546345;2,759415;0,2746089;0,4390073;2,792759;0,1884476;0,1782927;2,845006;0,1562926;0,4009202;2,778734;0,1617021;0,4848797;2,759154;0,6219715;0,4249513;2,712808;0,8317752;0,4248623;2,652847;0,8231782;0,6677772;2,619234;0,8009014;0,7739643;2,615243;0,299555;0,06587207;2,731949;-0,04913008;-0,167832;2,618384;-0,09218396;-0,568771;2,599869;-0,163084;-0,6103212;2,582726;0,4635479;0,03942227;2,694202;0,3921682;-0,460567;2,670486;0,3667909;-0,8392619;2,683575;0,3487383;-0,9043972;2,637524; 
0,447762;0,7414111;2,714633;0,3917818;0,1311105;2,722402;0,4117209;0,1944641;2,773181;0,4468979;0,5546352;2,760375;0,2744205;0,4391684;2,793272;0,1885333;0,1783499;2,844982;0,1563782;0,4009774;2,778714;0,1617871;0,4849256;2,759137;0,6205783;0,4251739;2,713188;0,8302639;0,425161;2,652699;0,8226674;0,6680314;2,620341;0,7989954;0,7761155;2,6191;0,2996519;0,06557825;2,732274;-0,04904616;-0,1677224;2,618104;-0,09290472;-0,5673033;2,598826;-0,1628976;-0,6112782;2,582186;0,4635102;0,03939041;2,694171;0,3920771;-0,4608014;2,670621;0,3671787;-0,839989;2,683394;0,353104;-0,9051106;2,627388; 
0,4478372;0,7433994;2,715502;0,3915818;0,1317142;2,723068;0,4117022;0,1949979;2,774098;0,4466204;0,5550339;2,760936;0,2737463;0,4390174;2,795117;0,1885025;0,1785315;2,845248;0,1563475;0,4011591;2,778984;0,1617557;0,4850983;2,759409;0,6202132;0,4255766;2,713915;0,829872;0,4243614;2,653529;0,8222892;0,6682649;2,621365;0,7984474;0,777626;2,621324;0,2995137;0,06599312;2,732774;-0,04879329;-0,1675561;2,618105;-0,09220556;-0,5669478;2,598494;-0,1625752;-0,6117731;2,58192;0,4632854;0,0401385;2,694815;0,3921027;-0,4606548;2,670719;0,3670576;-0,8400266;2,683352;0,3526983;-0,9051569;2,626164; 
0,4476945;0,7437195;2,715805;0,3913633;0,1319222;2,723536;0,4116403;0,1950943;2,774891;0,4466056;0,5551814;2,761878;0,2732368;0,439334;2,796175;0,1882779;0,1790677;2,845391;0,1561228;0,4016953;2,779131;0,1615306;0,4856266;2,759558;0,6198229;0,4256227;2,714275;0,8294497;0,424477;2,653949;0,8218203;0,6682253;2,622116;0,7978496;0,7782792;2,622283;0,2992834;0,06609027;2,733185;-0,04872221;-0,1675728;2,618064;-0,09374862;-0,567819;2,59782;-0,1634428;-0,6126415;2,581678;0,4630187;0,04046214;2,695121;0,3919135;-0,4606803;2,670918;0,3673813;-0,8398;2,684051;0,3529896;-0,9049508;2,627391; 
0,4458126;0,7407049;2,718131;0,3906211;0,1321433;2,724171;0,4109173;0,195225;2,775739;0,4455661;0,5549211;2,76228;0,2723581;0,4389485;2,796491;0,1883927;0,1791213;2,845433;0,1562377;0,4017489;2,779178;0,1616449;0,4856716;2,759607;0,6190817;0,425625;2,714556;0,8283162;0,4391493;2,654747;0,8214898;0,6680338;2,622374;0,7968519;0,7774946;2,621974;0,2985057;0,06619395;2,733697;-0,0490132;-0,1678806;2,618153;-0,09397432;-0,5669359;2,597625;-0,1638555;-0,6133009;2,581566;0,4623819;0,04082347;2,695847;0,3919712;-0,4608232;2,671268;0,3675439;-0,8397059;2,683565;0,3537878;-0,9061399;2,622364; 
0,4454936;0,7413389;2,718545;0,3906607;0,1325228;2,724824;0,4109993;0,1954711;2,776629;0,4453694;0,5548667;2,763147;0,2721248;0,4391405;2,79694;0,1882867;0,1795214;2,845619;0,1561316;0,402149;2,779368;0,1615383;0,4860629;2,759799;0,6188703;0,4257762;2,714713;0,8279321;0,4394534;2,654103;0,8207319;0,6683173;2,622655;0,7959983;0,7774877;2,621775;0,2986235;0,06642414;2,734224;-0,04869434;-0,1676535;2,618293;-0,09371316;-0,5655649;2,597654;-0,1621319;-0,6132046;2,581449;0,4623814;0,04133533;2,696404;0,3918644;-0,4608534;2,671407;0,3669987;-0,84105;2,68407;0,3536173;-0,9070566;2,621045; 
0,4438383;0,7391564;2,720372;0,3895721;0,132729;2,725778;0,4098299;0,1954062;2,77794;0,4437342;0,554198;2,765275;0,2718758;0,4393251;2,797201;0,187238;0,1788036;2,846317;0,1550829;0,4014312;2,78007;0,160489;0,4853368;2,760503;0,6182404;0,4255707;2,715216;0,8273976;0,4347337;2,653897;0,8204978;0,6681562;2,622746;0,7956301;0,7775948;2,621503;0,2975276;0,06649695;2,735087;-0,04918024;-0,1679578;2,618257;-0,09364597;-0,5655452;2,597526;-0,1946384;-0,6056362;2,577263;0,461423;0,04177722;2,697052;0,3921411;-0,4599921;2,671831;0,3671977;-0,8410955;2,684114;0,354121;-0,9070044;2,620858; 
0,4430762;0,7390481;2,721227;0,3895598;0,1322758;2,72606;0,4097994;0,1949943;2,778394;0,4430656;0,5540478;2,765688;0,2716143;0,4394631;2,797706;0,1874386;0,1793712;2,846134;0,1552835;0,4019988;2,779893;0,1606891;0,4858959;2,760327;0,617268;0,4252922;2,715572;0,8253191;0,4449286;2,652142;0,820366;0,668091;2,622845;0,7949943;0,7770935;2,620873;0,2977249;0,06625216;2,735401;-0,04894939;-0,1680074;2,618294;-0,09367446;-0,5655982;2,597471;-0,1660086;-0,6165805;2,583018;0,4614138;0,04128437;2,697224;0,3919392;-0,4605037;2,67193;0,366886;-0,8408778;2,684436;0,3541824;-0,9072443;2,620462; 
