;0,3672163;0,5714946;2,591736;0,3485992;0,05162578;2,592747;0,3702271;0,09902854;2,646375;0,4080568;0,40984;2,665873;0,2216261;0,3304396;2,68373;0,1451074;0,07528679;2,681909;0,09695606;-0,141906;2,570522;0,08559281;-0,2077809;2,54651;0,552646;0,3731922;2,608225;0,6393438;0,5907897;2,482581;0,5659853;0,7830026;2,395621;0,5361837;0,8456997;2,410368;0,2603962;-0,01209515;2,60094;0,170762;-0,3323852;2,351912;0,1457642;-0,6613587;2,423759;0,1053197;-0,7335486;2,387113;0,4121365;-0,03292772;2,549344;0,3713952;-0,4971975;2,55106;0,3311493;-0,8332382;2,564142;0,3611104;-0,8955959;2,493961; 
0,3740171;0,5879198;2,592362;0,3495674;0,05388624;2,58495;0,3700313;0,1021714;2,638119;0,4054242;0,4134735;2,652714;0,2217813;0,3331237;2,671361;0,1514642;0,07839146;2,675145;0,1050348;-0,1320226;2,587586;0,0781769;-0,1958378;2,583949;0,5505647;0,3747072;2,600215;0,6434356;0,5930535;2,482405;0,5726519;0,7957844;2,396439;0,5413107;0,8562324;2,409505;0,2630199;-0,009871373;2,592835;0,1602245;-0,3297246;2,342957;0,1239655;-0,6527984;2,423141;0,08677234;-0,7229676;2,381377;0,4129549;-0,0301005;2,543445;0,3692709;-0,4861926;2,544925;0,3291238;-0,8313561;2,563249;0,3563865;-0,8926533;2,499829; 
0,3738555;0,5895011;2,592187;0,3498667;0,05395305;2,583511;0,3700301;0,1023294;2,636887;0,4047721;0,4142896;2,652123;0,2219568;0,3334748;2,668697;0,1510464;0,07784072;2,675238;0,09240509;-0,1224345;2,596837;0,07462271;-0,2127188;2,578396;0,5497569;0,3741646;2,598378;0,6439299;0,5932989;2,48166;0,572667;0,7991558;2,396321;0,54092;0,8592634;2,410138;0,2635375;-0,009802863;2,590988;0,1600011;-0,3300684;2,343093;0,1241124;-0,6532498;2,423487;0,08774036;-0,7247471;2,383432;0,4136844;-0,02969296;2,542036;0,367673;-0,4944804;2,547005;0,3291127;-0,8324477;2,562651;0,3560553;-0,8929449;2,500468; 
0,3739661;0,5927249;2,595686;0,3497993;0,05370276;2,582909;0,3698751;0,1022598;2,636348;0,4044033;0,4150366;2,651696;0,2222703;0,3333369;2,667008;0,1504066;0,07545669;2,674098;0,09053732;-0,1244158;2,595565;0,07357062;-0,2149625;2,577318;0,5499647;0,3739547;2,597047;0,6461992;0,5853579;2,482381;0,5791995;0,7864529;2,398392;0,5450023;0,8551061;2,408643;0,2634485;-0,01048148;2,589756;0,159664;-0,3304373;2,343776;0,1261032;-0,6535294;2,425965;0,08999121;-0,7243437;2,384643;0,4137227;-0,02969521;2,541896;0,3677259;-0,5013999;2,548377;0,3290279;-0,8320835;2,562609;0,3551071;-0,8927047;2,500404; 
0,3740335;0,5925115;2,595769;0,3497381;0,0534912;2,582406;0,3698587;0,1021988;2,635786;0,4050128;0,4155263;2,650712;0,2225326;0,3334452;2,666059;0,1490941;0,07419749;2,673593;0,09412758;-0,1381057;2,586314;0,08332133;-0,207695;2,578481;0,5498028;0,3737756;2,596266;0,6468351;0,5825779;2,482505;0,5760062;0,7953967;2,395598;0,5452335;0,856289;2,408234;0,2634888;-0,01052267;2,589513;0,1596482;-0,3314965;2,344783;0,126843;-0,6592709;2,428077;0,09291214;-0,7300718;2,385077;0,4134221;-0,02990499;2,541481;0,3679565;-0,5055015;2,549014;0,3294067;-0,8319696;2,561788;0,3557505;-0,892967;2,497977; 
0,3747996;0,5946788;2,595729;0,3497107;0,05364339;2,582017;0,3697288;0,1024894;2,635315;0,4055212;0,415959;2,649646;0,2220865;0,3341339;2,66433;0,1476304;0,07322577;2,67332;0,08475639;-0,1231743;2,587514;0,07435605;-0,2139122;2,565643;0,5496849;0,3743551;2,595577;0,6472684;0,5811208;2,482156;0,5832566;0,7819332;2,394859;0,5476056;0,8563932;2,407738;0,2634802;-0,01047227;2,589294;0,1599408;-0,3334766;2,346315;0,1298751;-0,6630704;2,431035;0,09435471;-0,7322856;2,386908;0,4132591;-0,02973574;2,541176;0,3712986;-0,4838653;2,543015;0,3296334;-0,8310881;2,560954;0,3557447;-0,8927566;2,498153; 
0,3745818;0,5958159;2,596977;0,3496784;0,05351102;2,581707;0,3697925;0,1024137;2,634987;0,4058774;0,4161971;2,649365;0,2221749;0,3343475;2,663428;0,1463692;0,07191712;2,672979;0,08487514;-0,1337037;2,582597;0,0746998;-0,2170146;2,558345;0,5495322;0,3729181;2,593953;0,6476362;0,5829694;2,480233;0,5841388;0,779331;2,394831;0,5485413;0,855083;2,40657;0,2634897;-0,0104726;2,588762;0,1611948;-0,3350384;2,347818;0,1322814;-0,6637419;2,431485;0,09750437;-0,7341825;2,38889;0,4131545;-0,0298129;2,541108;0,3713015;-0,4838665;2,543;0,3290491;-0,8318916;2,561754;0,3554812;-0,8925931;2,498176; 
0,375038;0,5971731;2,598998;0,3495939;0,05357529;2,581527;0,3696321;0,1025691;2,634807;0,4057783;0,4169323;2,649247;0,2216937;0,3341157;2,662705;0,1455939;0,07178929;2,672771;0,08570399;-0,1450352;2,571105;0,07125087;-0,217287;2,552123;0,5497221;0,3729987;2,593698;0,6484163;0,5842951;2,479349;0,5841283;0,7803259;2,39371;0,5495364;0,8544181;2,405932;0,2632673;-0,01043952;2,588364;0,1627328;-0,3364326;2,348835;0,1337429;-0,6624839;2,432331;0,09930288;-0,7335808;2,390713;0,4131396;-0,02981566;2,541071;0,3713743;-0,4838123;2,543037;0,3291566;-0,8321933;2,561502;0,3552243;-0,8928105;2,498445; 
0,3763944;0,5988615;2,600766;0,349592;0,05349309;2,581058;0,3696432;0,1025113;2,634361;0,4060299;0,4170561;2,649031;0,2216774;0,334207;2,66229;0,1451492;0,07230668;2,672784;0,07723718;-0,1187003;2,577684;0,06584653;-0,2070248;2,547848;0,549982;0,3729856;2,593459;0,6492419;0,5828342;2,479923;0,5850227;0,7788048;2,394029;0,5504415;0,8544767;2,405225;0,2632608;-0,01051853;2,587886;0,1640163;-0,3382803;2,350098;0,1377208;-0,6583876;2,435061;0,10627;-0,7316176;2,394946;0,4130132;-0,03001126;2,540582;0,3708514;-0,5124179;2,552465;0,3298174;-0,8324339;2,561147;0,3551687;-0,8929184;2,499029; 
0,3767373;0,5992717;2,601002;0,349399;0,05341266;2,580608;0,3693165;0,1025454;2,633941;0,4061914;0,4174705;2,648511;0,2223287;0,3340976;2,660457;0,1436121;0,07521029;2,672011;0,08129261;-0,1447572;2,55388;0,07127107;-0,2130319;2,544127;0,5502617;0,3730308;2,593206;0,6495824;0,5840436;2,479189;0,5848265;0,7799597;2,393594;0,5512778;0,8543456;2,404358;0,2628351;-0,01049385;2,587036;0,1647093;-0,3381159;2,350137;0,1386603;-0,6586689;2,43598;0,1071354;-0,732158;2,39655;0,4129331;-0,03005229;2,540509;0,3707139;-0,5128759;2,552648;0,330157;-0,8326558;2,56141;0,3551418;-0,8930439;2,499699; 
0,3768718;0,5991455;2,60085;0,3493007;0,0533167;2,580559;0,3692083;0,1025228;2,633911;0,4064682;0,4176814;2,648446;0,2225526;0,3341973;2,659657;0,1422839;0,07641599;2,671524;0,0826693;-0,1127959;2,566431;0,072257;-0,2033115;2,543459;0,5507739;0,3732213;2,592926;0,6500237;0,5820106;2,479895;0,5861631;0,7780889;2,393929;0,5524393;0,8551812;2,403763;0,2627213;-0,01060874;2,587079;0,1654408;-0,3382485;2,3506;0,1407888;-0,6596133;2,436417;0,1084878;-0,7332839;2,398127;0,4125894;-0,03030648;2,540386;0,373697;-0,488932;2,547579;0,3303613;-0,8324956;2,561507;0,3561065;-0,8942673;2,498757; 
