;0,1480002;0,7941777;3,205348;0,1402606;0,1701327;3,062514;0,1340561;0,2264288;3,13019;0,1358911;0,5997615;3,172379;-0,02711855;0,4519339;3,130415;-0,1061287;0,2080574;3,05875;-0,1216348;-0,005606169;2,932604;-0,1178023;-0,07955717;2,903841;0,3023413;0,5235926;3,183385;0,437911;0,7860036;3,181613;0,3980412;0,566694;3,083091;0,3856087;0,4776712;3,024169;0,06589296;0,09172627;3,039206;-0,01042308;-0,1465394;2,644112;-0,01900236;-0,5470926;2,690807;-0,01596035;-0,6322251;2,641212;0,2171744;0,101722;3,044289;0,1462123;-0,4538565;2,973992;0,1043265;-0,8582606;2,961012;0,1262761;-0,9293528;2,93614; 
0,1480426;0,7931854;3,205433;0,1406705;0,169717;3,062531;0,1345331;0,2259339;3,130219;0,1358856;0,5988858;3,17238;-0,02543095;0,4513505;3,131142;-0,1059592;0,2079634;3,059171;-0,1220469;-0,003399306;2,935244;-0,1179654;-0,07733077;2,906531;0,3024445;0,5223574;3,183254;0,4413795;0,7913734;3,183028;0,3989329;0,5727151;3,08406;0,386504;0,4837188;3,025156;0,06661841;0,09150656;3,039544;-0,01033328;-0,1466837;2,644637;-0,01888313;-0,5473281;2,690489;-0,01596323;-0,6321698;2,641209;0,2173108;0,1016511;3,044148;0,1461695;-0,4539922;2,973691;0,1044407;-0,8583075;2,960996;0,126568;-0,9297152;2,937245; 
0,1464344;0,7933171;3,210033;0,1407547;0,1697835;3,062742;0,1347382;0,2259544;3,130486;0,1360414;0,5988469;3,172905;-0,02535695;0,4520382;3,131923;-0,1057554;0,2078494;3,059633;-0,1217412;-0,003567632;2,935602;-0,1175644;-0,07747859;2,906915;0,3023057;0,522009;3,183266;0,4414532;0,7913513;3,183068;0,3995357;0,5723797;3,084638;0,3871105;0,4834099;3,025751;0,06671702;0,09188594;3,039807;-0,01301672;-0,1453895;2,645001;-0,01895064;-0,5474966;2,690479;-0,01580371;-0,6321079;2,64128;0,2173269;0,1016977;3,044267;0,1461512;-0,45398;2,973516;0,1044843;-0,8582351;2,961011;0,1286533;-0,9292223;2,938041; 
0,146516;0,7933885;3,210223;0,1407696;0,1697758;3,062879;0,13487;0,2259672;3,130649;0,136084;0,5990412;3,173143;-0,02548704;0,4519092;3,132708;-0,105561;0,2078773;3,060173;-0,1216295;-0,003474609;2,935508;-0,1173896;-0,07734894;2,906801;0,3022522;0,5212628;3,183282;0,441282;0,7898547;3,183184;0,3948648;0,5704326;3,088379;0,3824432;0,4814891;3,02951;0,0666819;0,0919141;3,040113;-0,01248264;-0,1457126;2,645509;-0,01879819;-0,5481707;2,690199;-0,01584847;-0,6321601;2,641164;0,2173257;0,1017111;3,044273;0,1463536;-0,4536711;2,973292;0,1043372;-0,8580725;2,960922;0,1290834;-0,9286749;2,937427; 
0,1475769;0,7916477;3,211807;0,140852;0,1700565;3,063131;0,1350728;0,2260151;3,130784;0,1362701;0,5974091;3,173022;-0,02641945;0,4519223;3,134267;-0,1055409;0,2077671;3,060218;-0,1214278;-0,00336513;2,935354;-0,1171159;-0,07720227;2,906628;0,3026185;0,5207335;3,18401;0,4412832;0,7898211;3,183148;0,3960387;0,5704827;3,087435;0,3836209;0,4815658;3,028583;0,06661075;0,09208075;3,040596;-0,01171783;-0,1470696;2,646876;-0,01863959;-0,5483163;2,689939;-0,01609811;-0,6324723;2,640719;0,2174447;0,1019215;3,044225;0,1463731;-0,453577;2,973154;0,1046416;-0,8567047;2,961262;0,1281174;-0,9279541;2,938462
