;0,440551;0,751312;2,712171;0,3593531;0,1417626;2,731398;0,378451;0,2054825;2,781241;0,4322601;0,564566;2,766918;0,2601351;0,4509661;2,787023;0,1599957;0,2104368;2,804983;0,05941882;0,02422276;2,717045;0,0327534;-0,05044759;2,691283;0,6100792;0,45378;2,734775;0,8222735;0,4515434;2,635023;0,9964993;0,4940556;2,486513;1,035798;0,4892315;2,471746;0,2644526;0,07928842;2,73904;-0,03811863;-0,2370493;2,752699;-0,3276352;-0,5417507;2,695954;-0,3880166;-0,6186736;2,635583;0,4275637;0,04745455;2,706171;0,3656355;-0,4556815;2,696796;0,3341157;-0,835453;2,696848;0,3181875;-0,8990334;2,642817; 
0,4493366;0,7527304;2,710103;0,3610997;0,1439275;2,728991;0,3800704;0,2078493;2,778215;0,4386149;0,5654333;2,76167;0,2639496;0,4517314;2,783255;0,1562981;0,2041746;2,793265;0,05238158;0,01771408;2,712713;0,03415569;-0,04185091;2,6923;0,6144702;0,4523945;2,736196;0,8346109;0,4447333;2,622449;1,012589;0,4920813;2,481689;1,02871;0,4752412;2,483072;0,2659478;0,08248252;2,73595;-0,03849782;-0,2435781;2,746326;-0,3281692;-0,5505016;2,680509;-0,3838443;-0,6267292;2,614806;0,428167;0,04845535;2,704266;0,3667364;-0,4599052;2,700902;0,3342518;-0,8337396;2,698108;0,3181379;-0,8981628;2,640005; 
0,4492862;0,7535965;2,709118;0,3610777;0,1439819;2,72875;0,3800202;0,2079606;2,777821;0,4385217;0,5654538;2,761087;0,2638449;0,4516567;2,782978;0,1561385;0,2038613;2,792543;0,05232068;0,01728499;2,712298;0,03389471;-0,04261393;2,691736;0,6146805;0,4522398;2,736022;0,8334693;0,4448568;2,623204;1,011451;0,4914959;2,48226;1,030782;0,4737728;2,482392;0,2658516;0,08244199;2,735857;-0,03882588;-0,2438914;2,746023;-0,3288794;-0,5505521;2,678834;-0,3842216;-0,6267185;2,612739;0,4281902;0,04848824;2,703897;0,366191;-0,4603047;2,701534;0,3341012;-0,8345342;2,698144;0,3203555;-0,9014202;2,633999; 
0,4496429;0,7540907;2,708148;0,3610635;0,1439721;2,728632;0,3799832;0,2080131;2,777565;0,4388819;0,5656131;2,760731;0,2641178;0,4520443;2,782653;0,1561632;0,204025;2,792361;0,0524127;0,01756077;2,711838;0,0337943;-0,04268323;2,69118;0,614769;0,452223;2,736021;0,8332158;0,4446908;2,623453;1,011106;0,4913554;2,482466;1,030445;0,4744635;2,482375;0,2657726;0,08249662;2,735719;-0,03890258;-0,2439482;2,745874;-0,3293945;-0,5504151;2,678251;-0,3844298;-0,6268499;2,612171;0,4281512;0,04846321;2,703833;0,3656155;-0,4605929;2,701902;0,3335351;-0,8350568;2,698187;0,3201621;-0,9015494;2,634014; 
0,4498807;0,7548933;2,707441;0,3610521;0,1439831;2,728561;0,3799509;0,2080968;2,77731;0,4390615;0,5656881;2,760273;0,2641521;0,4527425;2,782622;0,1558318;0,2039251;2,791476;0,05235024;0,01722704;2,711363;0,03373144;-0,0429573;2,690685;0,6152086;0,4523556;2,736042;0,8278909;0,446189;2,626107;1,007031;0,4908105;2,486239;1,028121;0,47526;2,484427;0,2657564;0,08250988;2,735657;-0,03953327;-0,2447602;2,745609;-0,3299106;-0,5515934;2,67797;-0,3847766;-0,627441;2,611038;0,4280558;0,04840193;2,703803;0,3656317;-0,4605591;2,701873;0,3330212;-0,8355227;2,698174;0,3206888;-0,9022185;2,633425; 
0,4500901;0,7555834;2,706763;0,3609588;0,1441743;2,728482;0,3798301;0,2083372;2,777069;0,4388143;0,5659733;2,76009;0,264194;0,4527729;2,782586;0,1558358;0,2039293;2,791457;0,0523878;0,01724365;2,711359;0,03371673;-0,04303097;2,690648;0,6152627;0,4523307;2,736036;0,8359387;0,4446062;2,621177;1,013602;0,4942077;2,481135;1,033033;0,4847982;2,47762;0,2656947;0,08267777;2,735596;-0,03985954;-0,2453057;2,745292;-0,3291815;-0,5534228;2,677824;-0,3848688;-0,6277289;2,609807;0,4279082;0,04861527;2,703779;0,3655198;-0,4606735;2,701821;0,3330666;-0,8354257;2,698005;0,3206072;-0,9021562;2,633394; 
0,4502535;0,7552821;2,706189;0,3610857;0,1443332;2,728307;0,3799968;0,2085044;2,776782;0,4392061;0,5661662;2,760056;0,2643837;0,4525826;2,78239;0,155845;0,2039726;2,791368;0,05255543;0,01736045;2,710949;0,03370639;-0,0432179;2,690159;0,6154828;0,4523306;2,735844;0,8333485;0,4440373;2,623043;1,010996;0,4934149;2,482964;1,033872;0,4871348;2,476699;0,2657693;0,08288184;2,735391;-0,03937644;-0,2450841;2,74521;-0,3290883;-0,5530812;2,677576;-0,3847123;-0,6274319;2,609525;0,4279682;0,04872844;2,703643;0,3653919;-0,4608444;2,70166;0,3330784;-0,8353906;2,698067;0,3181077;-0,9006903;2,638012; 
0,4503494;0,7550741;2,705952;0,3610633;0,1443688;2,72816;0,3799874;0,2085587;2,776545;0,4392972;0,5662829;2,759971;0,26445;0,4527852;2,782414;0,155777;0,2038726;2,791204;0,05267239;0,01712018;2,711028;0,03332419;-0,04432327;2,689907;0,6154879;0,4523711;2,735861;0,8323692;0,4445632;2,623457;1,010247;0,4929986;2,483409;1,034183;0,488586;2,475355;0,2657179;0,08297615;2,73512;-0,03941298;-0,2451761;2,745197;-0,3292948;-0,5532828;2,677596;-0,384241;-0,6282193;2,609618;0,4279137;0,04877492;2,70357;0,3654041;-0,4607898;2,701655;0,3330485;-0,8354209;2,698054;0,3162887;-0,9009826;2,642693; 
0,4504461;0,755147;2,705874;0,3610821;0,1444639;2,728084;0,380051;0,2086799;2,776315;0,4394233;0,5662479;2,759591;0,2644587;0,4531463;2,782568;0,1558574;0,204214;2,791285;0,05282884;0,01739326;2,711378;0,0332601;-0,04443412;2,690099;0,6156844;0,4519599;2,735564;0,8259056;0,4416925;2,628691;1,002905;0,4909894;2,487849;1,034968;0,4891511;2,474217;0,2656904;0,08315761;2,735022;-0,03937409;-0,2454094;2,745351;-0,3273036;-0,5557024;2,678735;-0,3835231;-0,6289972;2,609973;0,4279132;0,04878647;2,703557;0,3656948;-0,4599592;2,701423;0,3337947;-0,8339801;2,699578;0,3168533;-0,8995088;2,643723; 
0,451055;0,7542135;2,706272;0,3614955;0,1441597;2,72772;0,3803278;0,208473;2,775906;0,4393953;0,5662819;2,759444;0,264587;0,4527605;2,782213;0,15586;0,2048465;2,791286;0,05319344;0,01785126;2,711504;0,03340149;-0,04431986;2,69009;0,6157572;0,4519622;2,735475;0,8256727;0,4417524;2,628621;1,002753;0,49102;2,487983;1,035248;0,4895132;2,473094;0,2662741;0,08295258;2,734493;-0,03915517;-0,2455298;2,745518;-0,3272502;-0,555946;2,679333;-0,3833663;-0,6289365;2,610108;0,4283826;0,04833215;2,703355;0,3656347;-0,459529;2,70153;0,3338161;-0,8337651;2,699533;0,3172395;-0,8999882;2,64203; 
0,4510947;0,7544977;2,706299;0,3614491;0,144163;2,727605;0,3802417;0,2085484;2,775674;0,4391878;0,5665962;2,75913;0,2651694;0,4534626;2,781996;0,1555996;0,2047839;2,791012;0,0532283;0,01766422;2,711244;0,03323768;-0,04482126;2,689715;0,6158173;0,4519964;2,735415;0,8329154;0,4421914;2,622636;1,010047;0,4937893;2,483065;1,029094;0,4835533;2,483088;0,2662504;0,08297782;2,734412;-0,0388105;-0,2454997;2,745574;-0,3255001;-0,5574473;2,67954;-0,3828561;-0,629257;2,610031;0,4283381;0,04835861;2,703286;0,3654549;-0,4604689;2,701746;0,3338912;-0,8336103;2,699219;0,318661;-0,9010668;2,6398; 
