;0,1841598;0,7474917;2,439301;0,1617457;0,116157;2,33996;0,1501928;0,1762582;2,401109;0,1504268;0,5449808;2,430351;0,00164092;0,4202093;2,414763;-0,08829425;0,1697973;2,332078;-0,09376242;-0,03260804;2,188292;-0,09468506;-0,1323536;2,155255;0,3407287;0,4196113;2,479919;0,413092;0,138936;2,459926;0,4559195;-0,08516638;2,420434;0,4463518;-0,1718502;2,422979;0,0844636;0,04968873;2,309578;0,06090063;-0,3361779;2,051534;0,05279171;-0,6377555;1,864214;0,06751236;-0,6639394;1,768655;0,2431233;0,03049906;2,33228;0,1646014;-0,5188668;2,256181;0,1902119;-0,7968715;2,347445;0,1713526;-0,775975;2,246399; 
0,1988094;0,7403158;2,37427;0,142771;0,1013443;2,317665;0,1416309;0,1655069;2,377306;0,1650878;0,5423559;2,38887;-0,001048894;0,4228072;2,398692;-0,109419;0,1490336;2,343817;-0,1784157;-0,06601931;2,274772;-0,2103933;-0,1647258;2,268973;0,3445427;0,4123869;2,432894;0,4266248;0,1480546;2,410441;0,5040208;-0,06528701;2,360139;0,5198594;-0,1384419;2,340638;0,05929605;0,03298314;2,298577;0,01702122;-0,3798441;2,122515;0,007355986;-0,6911589;1,952578;0,01341007;-0,738478;1,891748;0,2164316;0,01605661;2,306008;0,1284428;-0,4766994;2,261026;0,1378423;-0,8214755;2,272439;0,1738595;-0,8941382;2,235083; 
0,2002925;0,7403306;2,373159;0,1420101;0,1013326;2,317337;0,1409958;0,1656351;2,376801;0,1653732;0,5424602;2,387485;-0,0009394755;0,4229524;2,396873;-0,1155383;0,1464805;2,348957;-0,1931704;-0,0736861;2,301701;-0,2297191;-0,1669877;2,307305;0,3452073;0,4115492;2,43086;0,4262448;0,1461599;2,406967;0,4996642;-0,06764784;2,35125;0,5204945;-0,145488;2,333016;0,05842526;0,03313225;2,29833;0,01796912;-0,3776398;2,125083;0,01098146;-0,6959028;1,957564;0,0211215;-0,7429283;1,897083;0,2156643;0,01579395;2,305972;0,1257918;-0,4723558;2,255781;0,1426114;-0,8136498;2,279216;0,1770356;-0,8885252;2,24193; 
0,2011266;0,7405103;2,372762;0,141784;0,1012709;2,317165;0,1408076;0,1657698;2,376451;0,1662205;0,5420921;2,385281;-0,001109929;0,423372;2,394722;-0,1189775;0,1440695;2,350533;-0,2134258;-0,0808043;2,331144;-0,2364831;-0,1595059;2,339772;0,3457619;0,4092853;2,428222;0,424242;0,1434324;2,402443;0,4930323;-0,07075121;2,340888;0,5171839;-0,1522428;2,321234;0,05801348;0,03317598;2,298064;0,02094037;-0,375994;2,130191;0,01815325;-0,6979446;1,962395;0,03236043;-0,7485613;1,905779;0,2154287;0,01544477;2,30613;0,1234335;-0,4674973;2,251573;0,1445962;-0,8073025;2,2795;0,1770474;-0,8882437;2,239666; 
0,2015575;0,7404604;2,371682;0,1417331;0,1012259;2,317077;0,1409196;0,1658245;2,376237;0,1672056;0,5418407;2,383982;-0,001494952;0,4231519;2,393118;-0,1189258;0,1443876;2,350818;-0,2112424;-0,07409397;2,337469;-0,2402802;-0,1468403;2,361763;0,3459089;0,4056194;2,425231;0,4200214;0,1399768;2,396398;0,4827636;-0,07558502;2,332524;0,5059723;-0,1559996;2,303753;0,05787939;0,0331808;2,297901;0,02275519;-0,3749835;2,131844;0,02650469;-0,6980779;1,968786;0,03579968;-0,729207;1,883892;0,2153565;0,01514645;2,306277;0,1124534;-0,4385983;2,229513;0,1568335;-0,7935242;2,294862;0,1767429;-0,8816122;2,24222; 
0,2011149;0,7402509;2,370329;0,1417214;0,1012176;2,317063;0,1408472;0,1659222;2,376101;0,1671664;0,5415344;2,382696;-0,002299425;0,4230973;2,391535;-0,1183706;0,1463455;2,350583;-0,1932206;-0,07020529;2,315891;-0,2431588;-0,1552611;2,352934;0,3451759;0,4054888;2,423975;0,4138134;0,1364004;2,389018;0,470822;-0,07956237;2,320047;0,492494;-0,1610951;2,289669;0,05788573;0,03320676;2,297893;0,02402105;-0,3739522;2,132834;0,03852246;-0,7011503;1,975039;0,052554;-0,7514978;1,918131;0,2153437;0,01496138;2,306488;0,1107506;-0,4359202;2,226506;0,1624259;-0,7800008;2,304058;0,1801276;-0,8664718;2,248042; 
0,2010807;0,7405174;2,369963;0,1418497;0,1012579;2,317126;0,1409022;0,1660315;2,376082;0,1683032;0,5415556;2,382314;-0,002676832;0,4228643;2,389249;-0,1180535;0,1487602;2,349601;-0,1891836;-0,06862366;2,310494;-0,2248371;-0,1242931;2,345585;0,3446768;0,4058792;2,422873;0,4100831;0,1329896;2,381725;0,455686;-0,08326717;2,303818;0,4748448;-0,1632279;2,27592;0,05810154;0,03335252;2,29791;0,0257185;-0,3730918;2,133851;0,04419637;-0,702323;1,976147;0,06129831;-0,7513058;1,918883;0,2154819;0,01491848;2,307032;0,1056135;-0,4386182;2,215315;0,1632846;-0,7808939;2,304546;0,1807081;-0,8670803;2,247998; 
0,2016957;0,7403033;2,369245;0,1422224;0,1012505;2,317301;0,1408869;0,1660968;2,376077;0,1681138;0,54147;2,381816;-0,003322477;0,4226175;2,386949;-0,1155204;0,1497503;2,342443;-0,1702032;-0,06673943;2,272806;-0,1939832;-0,1296589;2,300276;0,3439959;0,4066164;2,42231;0,4055505;0,1346381;2,376106;0,433342;-0,08171898;2,288867;0,4555609;-0,1650365;2,262144;0,05896705;0,03345484;2,297768;0,02876951;-0,3708138;2,136055;0,05428037;-0,7027627;1,97762;0,07603103;-0,7479962;1,918865;0,2163999;0,01457617;2,308769;0,1007175;-0,4390653;2,20672;0,1446119;-0,8379039;2,261234;0,1614354;-0,9293854;2,213502; 
0,1997132;0,7400288;2,3677;0,1425085;0,1004839;2,317389;0,140925;0,1656291;2,375923;0,1672776;0,5409542;2,380302;-0,003467584;0,421658;2,383956;-0,1120558;0,144827;2,32895;-0,1441374;-0,07300159;2,247932;-0,1719119;-0,1452817;2,263265;0,3408965;0,4057339;2,419815;0,4012444;0,1331815;2,371442;0,4198464;-0,08249995;2,279332;0,4297197;-0,1678699;2,238785;0,05982825;0,03279964;2,297438;0,03133171;-0,3679039;2,138701;0,06847098;-0,7026066;1,975391;0,08027488;-0,7464337;1,912853;0,2166261;0,01370632;2,310197;0,1008025;-0,4392042;2,206149;0,1583984;-0,8276003;2,295539;0,1760468;-0,9206882;2,251346; 
0,1968453;0,7387227;2,365477;0,142523;0,09983841;2,317506;0,1404466;0,1650439;2,375812;0,1660598;0,5396445;2,379256;-0,005077661;0,41895;2,380853;-0,1062381;0,1380743;2,310774;-0,1299835;-0,1009211;2,211319;-0,1395689;-0,1778423;2,219255;0,3403387;0,4055476;2,419946;0,3968705;0,1301178;2,367107;0,402192;-0,08383314;2,268347;0,4073482;-0,1650965;2,224554;0,0600495;0,03183644;2,296882;0,04534296;-0,3684434;2,15108;0,0746636;-0,7007289;1,974491;0,08504066;-0,7382274;1,907301;0,2167735;0,01256624;2,311742;0,1013151;-0,441152;2,202526;0,1598305;-0,8275595;2,298249;0,1775541;-0,9205388;2,253824; 
0,1930302;0,7375188;2,362399;0,1427477;0,09939325;2,317511;0,1402737;0,1646724;2,375616;0,1648908;0,5384613;2,377872;-0,00475252;0,4186043;2,379255;-0,1020088;0,1407724;2,300482;-0,1142518;-0,09469863;2,169309;-0,1145305;-0,1746959;2,156198;0,3401194;0,4053145;2,420223;0,3912328;0,1301546;2,363629;0,3874205;-0,08086161;2,257629;0,3865766;-0,1579594;2,215703;0,06082184;0,03118681;2,296196;0,04747191;-0,3695609;2,151943;0,0836568;-0,6934339;1,973769;0,09413922;-0,7356613;1,903066;0,2171338;0,01196486;2,312788;0,1022658;-0,4421507;2,198726;0,1747379;-0,7971733;2,316881;0,1918094;-0,8820504;2,258208; 
