;0,1627476;0,8752277;2,087547;0,1276842;0,2532758;2,042673;0,1331939;0,310942;2,107102;0,1561129;0,6805406;2,138753;-0,01536004;0,557963;2,125829;-0,1003871;0,3032832;2,101566;-0,1397314;0,07237718;1,985829;-0,1562393;-0,01516202;1,937545;0,3651967;0,6048154;2,129949;0,5508031;0,7180287;2,039196;0,7625337;0,8471769;1,953474;0,8243051;0,8848553;1,932656;0,03933007;0,1702572;2,027441;-0,1401804;-0,3414311;2,022281;-0,279486;-0,7164809;2,161171;-0,3416465;-0,8095419;2,125406;0,2059139;0,1692779;2,015156;0,1595159;-0,3521993;2,056674;0,1190828;-0,7414933;2,060175;0,1215846;-0,8200082;2,02194; 
0,1788425;0,8723724;2,088624;0,1350891;0,2529405;2,047237;0,1434098;0,3104634;2,111538;0,1698059;0,6785939;2,142063;-0,007807883;0,5584056;2,1355;-0,09352747;0,2975454;2,111696;-0,1355191;0,07160288;1,996468;-0,1555819;-0,002042814;1,949069;0,3744079;0,6001429;2,126436;0,5596434;0,7083679;2,02771;0,7704942;0,8315589;1,933069;0,832078;0,8675396;1,909623;0,04552525;0,1698062;2,034958;-0,1370586;-0,3292028;2,028711;-0,2685334;-0,7043403;2,17733;-0,3340579;-0,7975171;2,149329;0,211467;0,1681109;2,016822;0,1615359;-0,3550851;2,059105;0,1204934;-0,7415257;2,060594;0,1208565;-0,8191505;2,021978; 
0,1795416;0,8716053;2,088695;0,135488;0,2531454;2,047986;0,1440116;0,3105346;2,112275;0,170273;0,6782163;2,142942;-0,007439384;0,5581414;2,137065;-0,09357378;0,2971127;2,112521;-0,1356842;0,07164671;1,996835;-0,1563775;-0,001806251;1,949908;0,3750716;0,5998694;2,126686;0,5600014;0,7080148;2,027151;0,7704511;0,8310843;1,93161;0,831941;0,8670431;1,907892;0,04578125;0,1699854;2,035523;-0,1368951;-0,3287277;2,028707;-0,2673485;-0,7041607;2,177799;-0,3327814;-0,797513;2,150508;0,2118282;0,1681941;2,017447;0,1615355;-0,3550856;2,059105;0,1204898;-0,7415129;2,060615;0,1207524;-0,8191184;2,02209; 
0,1809692;0,870826;2,088738;0,1357356;0,2531979;2,048684;0,1444555;0,3104825;2,113034;0,1708376;0,6780694;2,1442;-0,006718336;0,5579479;2,138299;-0,09374611;0,2967796;2,113522;-0,1366668;0,07217494;1,998787;-0,1567286;-0,001313264;1,951942;0,3755914;0,5995594;2,126974;0,5602725;0,7074273;2,026491;0,7703862;0,8301499;1,92989;0,8317755;0,8660059;1,905864;0,04601649;0,1701662;2,036318;-0,1368909;-0,3283004;2,028661;-0,2654728;-0,704327;2,17821;-0,33087;-0,7979125;2,151985;0,2119508;0,1681958;2,017854;0,1615107;-0,3551031;2,059113;0,1204169;-0,7410958;2,060692;0,1207384;-0,8186647;2,022223; 
0,1820233;0,8703794;2,089265;0,1359759;0,2532288;2,049375;0,1448947;0,3104298;2,113689;0,1710889;0,6776844;2,144809;-0,006504632;0,5575856;2,140023;-0,09379362;0,2961997;2,114612;-0,1371881;0,07200355;1,999499;-0,156968;-0,001441526;1,952503;0,3760701;0,5993559;2,127354;0,5604089;0,7073544;2,026301;0,7700798;0,8301941;1,929073;0,8313376;0,8660831;1,904865;0,04614265;0,1701884;2,036963;-0,1367851;-0,3277975;2,028612;-0,2638718;-0,7044648;2,178233;-0,3285615;-0,7985412;2,152347;0,2122161;0,1681382;2,018464;0,1615216;-0,3550953;2,059103;0,1204418;-0,7411632;2,060597;0,1207338;-0,8187076;2,022203; 
0,1838934;0,8705627;2,091057;0,1357976;0,2531421;2,050046;0,1449338;0,3102923;2,114322;0,1710572;0,6773369;2,145369;-0,006181095;0,5579075;2,141865;-0,09401219;0,2959076;2,116022;-0,1379541;0,07192147;2,001167;-0,1573702;-0,001732278;1,953207;0,3763677;0,5984851;2,127568;0,5602034;0,7071805;2,026384;0,7692488;0,8307816;1,929028;0,8303165;0,8668888;1,904786;0,04589438;0,1702686;2,037866;-0,1384801;-0,3404081;2,038056;-0,2661909;-0,7183148;2,184889;-0,3319189;-0,8090377;2,151175;0,2119935;0,1679653;2,018986;0,1612725;-0,354323;2,058791;0,1204498;-0,7411596;2,060576;0,1207152;-0,8186567;2,022212; 
0,1853446;0,8707307;2,093574;0,1358647;0,2531667;2,050864;0,1450987;0,3101973;2,115143;0,170987;0,6768296;2,146362;-0,005955832;0,5578387;2,143209;-0,09453925;0,2954407;2,117602;-0,1386558;0,07161444;2,003286;-0,1583111;-0,002452374;1,955076;0,3767371;0,5979791;2,128024;0,5602576;0,7068243;2,026371;0,7688915;0,8305643;1,928504;0,8298619;0,8667256;1,904102;0,04596985;0,1703799;2,038659;-0,1385249;-0,3437411;2,040261;-0,2649075;-0,7229227;2,185601;-0,3319271;-0,8123323;2,151191;0,212048;0,1679031;2,019668;0,1612324;-0,3543155;2,05876;0,1203885;-0,7410247;2,060573;0,1204644;-0,8184488;2,022187; 
0,1859465;0,8708133;2,095039;0,1357725;0,2532141;2,051633;0,1452354;0,3101686;2,115937;0,1711369;0,6767314;2,147442;-0,006019667;0,5578068;2,145042;-0,09494741;0,2949494;2,119136;-0,1394155;0,07256693;2,006278;-0,160138;-0,0025404;1,957962;0,3769345;0,5975771;2,128405;0,5602641;0,7064455;2,026409;0,7686276;0,83018;1,928173;0,8295422;0,8663535;1,903654;0,04582366;0,1704891;2,039351;-0,1384494;-0,3452884;2,041329;-0,2640297;-0,7249657;2,186471;-0,330972;-0,814091;2,151433;0,2119032;0,1678656;2,020354;0,1610658;-0,354349;2,058693;0,120364;-0,7410074;2,060603;0,1208197;-0,818427;2,022335; 
0,1874459;0,8713983;2,098106;0,1356627;0,2531704;2,052173;0,1451444;0,3100443;2,116484;0,1706433;0,6763089;2,148136;-0,00603301;0,5576816;2,146138;-0,0952273;0,2946778;2,120801;-0,1397018;0,07225602;2,007202;-0,1606169;-0,002870945;1,959003;0,3770252;0,5969553;2,128937;0,560036;0,7059745;2,026469;0,7679765;0,8298444;1,927723;0,8287657;0,8660564;1,903056;0,04576238;0,1705141;2,039914;-0,1365903;-0,3400691;2,03956;-0,2609144;-0,7206861;2,18387;-0,3273074;-0,8115764;2,152791;0,211827;0,167777;2,020795;0,1610522;-0,3542864;2,058671;0,1204546;-0,7409471;2,060674;0,1210349;-0,8183455;2,022489; 
0,1893852;0,8718148;2,100954;0,1356511;0,2531119;2,052728;0,1452622;0,3098817;2,1171;0,1705561;0,6760727;2,149254;-0,006217071;0,5574728;2,14751;-0,09538948;0,2943128;2,122136;-0,1402604;0,07242829;2,008632;-0,1611501;-0,003063429;1,960686;0,3769918;0,5964996;2,129287;0,5599449;0,7054947;2,026737;0,7677605;0,8293018;1,927922;0,8285136;0,8654958;1,903235;0,04574994;0,170489;2,040446;-0,1372325;-0,346577;2,043945;-0,2619283;-0,7280327;2,186441;-0,3287236;-0,8171964;2,151714;0,2118201;0,1677257;2,021166;0,160577;-0,352573;2,058276;0,1203326;-0,7409433;2,060553;0,1210964;-0,8183571;2,022526; 
0,1894579;0,8713244;2,101762;0,1355506;0,2531022;2,053274;0,1453213;0,3097504;2,117647;0,170555;0,6755373;2,150006;-0,006190889;0,5577801;2,149111;-0,09567515;0,2940854;2,123725;-0,1404467;0,07194173;2,009191;-0,1628781;-0,002459574;1,964443;0,3768815;0,596356;2,129756;0,559839;0,7051522;2,02702;0,7675998;0,8286976;1,928016;0,8283322;0,8648123;1,903276;0,04566229;0,1705196;2,041284;-0,1372298;-0,347692;2,044867;-0,260358;-0,7297455;2,187476;-0,3284679;-0,8174948;2,151946;0,2116814;0,1677566;2,021426;0,1600924;-0,351273;2,057993;0,120298;-0,7409178;2,060534;0,1211681;-0,8182885;2,022539; 
