;0,3399574;0,7711769;2,39822;0,2588863;0,1338305;2,396808;0,2670757;0,2052399;2,453516;0,3056872;0,6019227;2,445158;0,1352935;0,442341;2,413443;0,02958206;0,1801359;2,382169;0,04404099;-0,05154198;2,297245;0,04059724;-0,1399059;2,298114;0,5184188;0,4564491;2,417228;0,7354256;0,5758793;2,324156;0,8004793;0,7689165;2,21168;0,8217718;0,854266;2,200748;0,1633338;0,06129821;2,384594;-0,1367812;-0,3316393;2,459146;-0,3723715;-0,6099387;2,382978;-0,4431916;-0,6589677;2,309061;0,33628;0,03533273;2,385897;0,2713778;-0,4284137;2,406352;0,2407486;-0,7972512;2,388386;0,224457;-0,8782212;2,316362; 
0,3386193;0,7714838;2,400053;0,2579413;0,1340156;2,397221;0,2660196;0,2051513;2,454496;0,3051337;0,601929;2,44688;0,1354405;0,4425896;2,413873;0,02940479;0,1780614;2,382555;0,0440653;-0,05039624;2,29753;0,04022299;-0,1386194;2,298475;0,517867;0,4563873;2,417832;0,7328805;0,5755684;2,324971;0,7993455;0,7679315;2,212098;0,8204921;0,8543201;2,200638;0,1617483;0,06271244;2,385844;-0,1362619;-0,3318036;2,459479;-0,3723759;-0,6099709;2,382945;-0,4427365;-0,6588516;2,308813;0,3355782;0,03533928;2,385687;0,271549;-0,4285874;2,406688;0,2411644;-0,795745;2,38909;0,2246242;-0,8785024;2,316607; 
0,337945;0,7716885;2,400945;0,2582223;0,1327844;2,397864;0,2662361;0,2040549;2,455574;0,3049845;0,6023781;2,448555;0,1350778;0,4414765;2,414728;0,02953243;0,1780949;2,382849;0,04244715;-0,04769626;2,298256;0,03788365;-0,1356161;2,299341;0,517487;0,4565178;2,418176;0,7324093;0,5758277;2,324862;0,7979095;0,7686027;2,212134;0,8189125;0,8541729;2,200371;0,1621439;0,06178448;2,386428;-0,1366476;-0,3321954;2,4596;-0,3721205;-0,6098692;2,383009;-0,4422801;-0,6583235;2,308273;0,3361796;0,03400193;2,386027;0,2714444;-0,4287806;2,407034;0,2411117;-0,7943975;2,389099;0,2247662;-0,8782504;2,316854
