;0,2217054;0,8543393;2,570768;0,1370934;0,2441621;2,597512;0,1489592;0,3077694;2,651851;0,202514;0,6617709;2,631617;0,02170092;0,5638357;2,646271;-0,09961581;0,3302547;2,719264;-0,1718676;0,1008715;2,681459;-0,1979254;-0,005146541;2,666567;0,4044707;0,5658475;2,643629;0,6566509;0,6015118;2,583607;0,8532106;0,7341677;2,487679;0,9771348;0,8363543;2,460361;0,03934432;0,1729313;2,590471;-0,2331539;-0,3388052;2,576947;-0,4303932;-0,7085721;2,671794;-0,4906449;-0,7790022;2,633998;0,2066286;0,1467975;2,585913;0,130198;-0,4314557;2,613513;0,09936225;-0,8171369;2,597961;0,1178957;-0,8943909;2,540358; 
0,222794;0,8554104;2,575164;0,1355939;0,246197;2,604981;0,1486163;0,3100061;2,654896;0,2085547;0,6619158;2,637198;0,02201409;0,5694633;2,649958;-0,104086;0,3429237;2,715497;-0,1918156;0,09933527;2,664124;-0,2242096;-0,001675092;2,633928;0,4045946;0,5670583;2,643457;0,6715835;0,5991058;2,569778;0,8523462;0,7357748;2,478376;0,9413542;0,8300004;2,449671;0,0376078;0,1756372;2,597679;-0,2306757;-0,3400835;2,584791;-0,432566;-0,7090461;2,680905;-0,489283;-0,7812893;2,640406;0,2037086;0,1482006;2,594124;0,1319827;-0,4302213;2,61669;0,09892186;-0,8172822;2,598627;0,1176748;-0,8936151;2,542001; 
0,2241241;0,8557707;2,577385;0,1356279;0,246305;2,605533;0,1488722;0,3099277;2,655661;0,2105548;0,6621489;2,639443;0,02249835;0,569706;2,650638;-0,1041462;0,3434161;2,715155;-0,1916801;0,0989595;2,663507;-0,223657;-0,002427757;2,633796;0,4047262;0,5669394;2,643602;0,66271;0,5946714;2,573103;0,8525724;0,7354937;2,477695;0,9402785;0,8254124;2,448143;0,0375611;0,1759489;2,597923;-0,230723;-0,3401148;2,584873;-0,4325104;-0,7093273;2,680938;-0,4896089;-0,7821422;2,641969;0,203543;0,1482034;2,594753;0,13191;-0,4303892;2,616938;0,09914441;-0,8177427;2,599137;0,1178899;-0,8937789;2,542557; 
0,2248643;0,8562302;2,578826;0,1355917;0,2463988;2,606194;0,1489239;0,3099971;2,656329;0,2107242;0,6620198;2,63988;0,02267634;0,5696387;2,651353;-0,1041547;0,3435675;2,714838;-0,1917882;0,0976714;2,662011;-0,2230392;-0,004292324;2,633216;0,404999;0,5667095;2,64398;0,6606947;0,5933791;2,573699;0,8532039;0,7353364;2,477538;0,9411396;0,824514;2,448464;0,0375284;0,176006;2,598341;-0,2306818;-0,3400626;2,584914;-0,4321019;-0,709474;2,681523;-0,4893966;-0,7826297;2,643442;0,2033536;0,1483121;2,59554;0,1318704;-0,4305437;2,617072;0,09863469;-0,8197696;2,598507;0,1177839;-0,8938409;2,542525; 
0,2252332;0,8561811;2,579594;0,1354362;0,2463069;2,606808;0,1488077;0,3098891;2,656929;0,2108238;0,6617265;2,640325;0,02282009;0,569663;2,651781;-0,1042196;0,3437024;2,714778;-0,1919188;0,09733734;2,661688;-0,2235392;-0,004581064;2,632841;0,4053014;0,5665441;2,644479;0,6598192;0,5931991;2,574031;0,853539;0,735052;2,477427;0,9461763;0,8236883;2,449735;0,03716584;0,175946;2,599168;-0,2307073;-0,3400509;2,584932;-0,432093;-0,709918;2,680772;-0,489622;-0,7830991;2,643051;0,2032329;0,1481914;2,59591;0,131868;-0,4305255;2,617167;0,09832954;-0,8192093;2,597982;0,1174928;-0,893894;2,542463; 
0,2253261;0,8560192;2,579784;0,1353433;0,2466147;2,607655;0,148798;0,310138;2,657614;0,2108478;0,6615403;2,640616;0,02275934;0,5700067;2,652851;-0,1042574;0,3437234;2,714964;-0,19263;0,0961348;2,660605;-0,2238956;-0,006022364;2,632291;0,4055954;0,566393;2,645084;0,6591433;0,592904;2,574751;0,8942292;0,7602438;2,460033;0,9452169;0,8206975;2,448895;0,03701752;0,1764056;2,599998;-0,2310561;-0,3402195;2,584997;-0,4316473;-0,7102464;2,682139;-0,4893666;-0,7827523;2,643353;0,2030525;0,1482155;2,596788;0,1317618;-0,4306031;2,617332;0,09857268;-0,8191811;2,598053;0,1174966;-0,8941924;2,542484; 
0,2252655;0,8557557;2,579829;0,1353569;0,2466236;2,608338;0,1488394;0,3101536;2,658244;0,2109596;0,6614455;2,641181;0,02280756;0,5699933;2,653416;-0,1042443;0,3437095;2,714953;-0,1919212;0,09689015;2,660704;-0,2232161;-0,005568586;2,633224;0,4056056;0,566242;2,645588;0,6587899;0,5924502;2,575378;0,8566497;0,73105;2,478026;0,9449963;0,8199362;2,448892;0,03697023;0,1765164;2,60046;-0,2312306;-0,3398893;2,584995;-0,4307992;-0,7103439;2,682965;-0,4889181;-0,7823005;2,643675;0,2030881;0,1481347;2,597644;0,131597;-0,4307434;2,617454;0,09913118;-0,8177422;2,598202;0,1179413;-0,8945362;2,541851; 
0,2251731;0,8558705;2,580127;0,1356649;0,2463167;2,608916;0,14909;0,3099655;2,658639;0,2110625;0,6613577;2,641293;0,0228224;0,5699281;2,653739;-0,1041908;0,3439996;2,71514;-0,1918516;0,09707668;2,6608;-0,2232021;-0,005798601;2,634686;0,4056726;0,5661119;2,646094;0,6636585;0,5931616;2,575807;0,8567656;0,7309567;2,478217;0,9441666;0,8184543;2,449801;0,03723022;0,1759504;2,601675;-0,2312638;-0,3397579;2,584946;-0,4313667;-0,7100686;2,682945;-0,4890518;-0,7822844;2,643411;0,2034851;0,1479309;2,597937;0,1316368;-0,43068;2,617598;0,09924163;-0,8179516;2,59821;0,1179557;-0,8945146;2,541834; 
0,2253525;0,856182;2,581458;0,1356835;0,2463762;2,609738;0,1490642;0,310032;2,659396;0,2109622;0,6613271;2,642112;0,02286115;0,5698723;2,654003;-0,1041811;0,3439986;2,715142;-0,1916532;0,09685179;2,661552;-0,2229117;-0,006120645;2,635403;0,4058235;0,5661052;2,64658;0,6627114;0,5929037;2,577032;0,8571238;0,7309867;2,478751;0,9469318;0,8186674;2,451741;0,03720844;0,1759901;2,602485;-0,2315025;-0,3399927;2,585209;-0,4326061;-0,7112994;2,679142;-0,4908564;-0,7843903;2,642078;0,2035655;0,1479759;2,59858;0,1315921;-0,4307116;2,617625;0,09941776;-0,8183364;2,598245;0,1192449;-0,8956167;2,540156; 
0,2253669;0,8556448;2,581133;0,1355622;0,2463714;2,610356;0,1489407;0,3100268;2,659886;0,2110591;0,6611007;2,642556;0,02279477;0,5699943;2,654536;-0,1038214;0,3445928;2,715534;-0,1914369;0,09777159;2,6623;-0,2226899;-0,005323991;2,636319;0,4058916;0,5661792;2,64746;0,6621413;0,593136;2,577762;0,85782;0,7318353;2,479132;0,9468208;0,8187;2,451842;0,03698496;0,1760954;2,603173;-0,2315188;-0,3399793;2,585191;-0,4331154;-0,7111725;2,679189;-0,49105;-0,7839897;2,641058;0,2034191;0,1478586;2,599126;0,1315644;-0,4307721;2,617652;0,09924974;-0,8182173;2,598205;0,1191523;-0,8957477;2,540068; 
0,2253684;0,8554666;2,581319;0,1356271;0,2464849;2,610891;0,1488051;0,3101497;2,660412;0,2110165;0,6611603;2,643357;0,02274263;0,5699425;2,654937;-0,1038048;0,3449361;2,715715;-0,1914437;0,09775071;2,662351;-0,2182302;0,02505415;2,635695;0,4063062;0,5666404;2,649437;0,6613913;0,5933486;2,578978;0,8585549;0,7324854;2,479619;0,9547557;0,8241122;2,450655;0,03695291;0,1761432;2,60359;-0,2315713;-0,3400553;2,585219;-0,435141;-0,710713;2,678109;-0,4920324;-0,7843738;2,639983;0,2035901;0,1479259;2,599565;0,1315608;-0,430852;2,617899;0,09919298;-0,8185651;2,598251;0,1191767;-0,8956777;2,540176; 
