;0,2217054;0,8543393;2,570768;0,1370934;0,2441621;2,597512;0,1489592;0,3077694;2,651851;0,202514;0,6617709;2,631617;0,02170092;0,5638357;2,646271;-0,09961581;0,3302547;2,719264;-0,1718676;0,1008715;2,681459;-0,1979254;-0,005146541;2,666567;0,4044707;0,5658475;2,643629;0,6566509;0,6015118;2,583607;0,8532106;0,7341677;2,487679;0,9771348;0,8363543;2,460361;0,03934432;0,1729313;2,590471;-0,2331539;-0,3388052;2,576947;-0,4303932;-0,7085721;2,671794;-0,4906449;-0,7790022;2,633998;0,2066286;0,1467975;2,585913;0,130198;-0,4314557;2,613513;0,09936225;-0,8171369;2,597961;0,1178957;-0,8943909;2,540358; 
0,2297211;0,8525248;2,581141;0,1362818;0,2458926;2,614002;0,1487052;0,3092629;2,665364;0,2120935;0,6613167;2,649992;0,02445576;0,5700221;2,655758;-0,1067189;0,3449311;2,708568;-0,1972812;0,09392089;2,64778;-0,2305852;-0,002365846;2,608084;0,407807;0,5664227;2,656654;0,6570078;0,5892333;2,587591;0,8524275;0,7182614;2,507185;0,9572237;0,821024;2,467169;0,03788075;0,175504;2,606517;-0,2325379;-0,3413847;2,581897;-0,4410419;-0,71615;2,658176;-0,49424;-0,7921339;2,618859;0,2040665;0,1476241;2,602216;0,1312772;-0,4316184;2,620209;0,09993429;-0,8175075;2,599791;0,118715;-0,8961816;2,542017; 
0,2300406;0,8525082;2,581044;0,1362589;0,2458398;2,614051;0,1485992;0,3092329;2,665535;0,2119458;0,6612667;2,649902;0,02477285;0,5701415;2,655384;-0,1073243;0,3448866;2,707104;-0,1971943;0,09424406;2,646765;-0,2307878;-0,002762928;2,606931;0,4077458;0,5661899;2,656829;0,6570207;0,5891681;2,587963;0,8524091;0,7183742;2,507229;0,9593378;0,8220974;2,470077;0,03789062;0,1754938;2,606496;-0,2329453;-0,3427229;2,581287;-0,4410813;-0,7177162;2,658051;-0,4944997;-0,7929734;2,61762;0,2040122;0,1475804;2,602496;0,1312773;-0,4318189;2,620537;0,09920909;-0,8175657;2,599721;0,1186656;-0,8960893;2,542103; 
0,2301649;0,8522745;2,580783;0,1362998;0,2457664;2,614078;0,1485305;0,3092727;2,665547;0,2112765;0,6605636;2,648837;0,02465238;0,5699987;2,654767;-0,1069874;0,3455333;2,704694;-0,1969552;0,094436;2,645988;-0,2309113;-0,002479224;2,60673;0,4076702;0,566117;2,656832;0,6569263;0,5890133;2,588797;0,8524105;0,7183822;2,50724;0,9599804;0,8222755;2,47071;0,03806919;0,1754218;2,606397;-0,2330977;-0,3433576;2,581144;-0,4414392;-0,7188976;2,656106;-0,4950117;-0,7938491;2,61529;0,2041048;0,1473167;2,602953;0,1309734;-0,4319378;2,620737;0,09948765;-0,8181231;2,599892;0,1187322;-0,8960299;2,542221; 
0,2300768;0,8521841;2,580579;0,136263;0,2457647;2,614116;0,1484442;0,3092945;2,665551;0,2110549;0,6603802;2,648615;0,02459429;0,5698319;2,654412;-0,1072096;0,3452002;2,703481;-0,1977237;0,09424855;2,644031;-0,2311295;-0,003227304;2,605283;0,4076103;0,5660816;2,656821;0,6566167;0,5888387;2,58925;0,8613802;0,7259467;2,503934;0,9616119;0,8226577;2,472572;0,03805932;0,1754427;2,606315;-0,2332569;-0,3439997;2,580988;-0,4418459;-0,7196749;2,655539;-0,495331;-0,7931605;2,611987;0,2039551;0,1472919;2,603444;0,1310453;-0,4321378;2,621119;0,09939402;-0,8180633;2,599675;0,1186133;-0,895747;2,542201; 
0,2308365;0,8520581;2,579937;0,1361773;0,2457622;2,614142;0,1481859;0,309437;2,665402;0,2096282;0,66007;2,647415;0,02461443;0,5698164;2,65376;-0,1081241;0,3445664;2,702262;-0,1976555;0,09426862;2,643767;-0,231087;-0,003730511;2,604398;0,4076035;0,5660693;2,656817;0,6568913;0,5889766;2,589553;0,8596268;0,7252858;2,504557;0,9609172;0,8224589;2,472874;0,03798968;0,175454;2,606271;-0,2332463;-0,34405;2,580975;-0,442507;-0,7199007;2,654088;-0,4962711;-0,7924246;2,60924;0,2039449;0,147249;2,603735;0,1308799;-0,4323559;2,621376;0,09934779;-0,8183815;2,599985;0,1185819;-0,895569;2,542388; 
0,2304758;0,8510385;2,578028;0,1362395;0,2456559;2,614202;0,148119;0,3094305;2,665241;0,2092735;0,6598032;2,646969;0,02446591;0,569703;2,65313;-0,1079084;0,3447368;2,701046;-0,1973918;0,09430496;2,64173;-0,2195478;0,02450054;2,603924;0,4075557;0,5661324;2,65684;0,6569242;0,5891252;2,589656;0,8576558;0,7241429;2,505056;0,9600843;0,821506;2,473917;0,03808717;0,1753503;2,606283;-0,2330962;-0,3438324;2,580897;-0,4424838;-0,7198702;2,653651;-0,4959202;-0,7925698;2,608661;0,2042055;0,14701;2,604033;0,1308427;-0,4321794;2,621425;0,09914377;-0,8184183;2,600083;0,1180891;-0,89496;2,542841; 
0,2304088;0,8508856;2,577814;0,1361181;0,2457264;2,614347;0,1479471;0,309576;2,665044;0,2087601;0,6593065;2,646188;0,02401846;0,5697759;2,652696;-0,1079213;0,344539;2,700664;-0,1974841;0,09455063;2,640956;-0,219818;0,0246779;2,603461;0,4075408;0,56614;2,65683;0,6558633;0,589654;2,589733;0,8959322;0,7562342;2,486421;0,9599366;0,8213639;2,473838;0,03802049;0,1754376;2,606308;-0,2330945;-0,3435816;2,581047;-0,4425088;-0,719851;2,653464;-0,4964267;-0,7919757;2,608079;0,2039678;0,1468537;2,604738;0,1307283;-0,4324154;2,621681;0,09964207;-0,8178419;2,600569;0,117984;-0,8946759;2,543184; 
0,2313184;0,8511281;2,577324;0,1357179;0,2455641;2,614461;0,1470488;0,309767;2,664426;0,2030103;0,658745;2,642904;0,02390095;0,5697205;2,652251;-0,1082883;0,3441553;2,700322;-0,1975346;0,09465607;2,64096;-0,2282212;-7,242337E-05;2,605123;0,4073223;0,56617;2,65672;0,655553;0,5898449;2,589734;0,8503652;0,7218406;2,502373;0,9605953;0,8208571;2,472209;0,03797437;0,1753711;2,606411;-0,2331611;-0,3435291;2,581245;-0,4427952;-0,7199441;2,653239;-0,4969009;-0,7919639;2,607866;0,2037481;0,1466373;2,60506;0,1305618;-0,4327041;2,622089;0,09909588;-0,8179742;2,600581;0,1179564;-0,8946039;2,543178; 
0,2306516;0,8509359;2,576599;0,13559;0,2455864;2,614484;0,1468685;0,3098574;2,66384;0,2029426;0,6586092;2,642579;0,02357368;0,5697629;2,651705;-0,1081076;0,344395;2,699926;-0,1974632;0,09482227;2,640918;-0,2291251;-0,001792284;2,605185;0,4069398;0,5660459;2,656261;0,6551737;0,5898519;2,589555;0,8503507;0,7218962;2,502226;0,9613802;0,8209552;2,471155;0,0379172;0,1753738;2,606419;-0,2332837;-0,3430943;2,581605;-0,4425959;-0,7199782;2,65309;-0,4983608;-0,7912798;2,608549;0,2036223;0,1466795;2,605207;0,130533;-0,4326766;2,622134;0,09907041;-0,8173698;2,600811;0,1178153;-0,8944006;2,543182; 
0,2303309;0,8506831;2,575919;0,1352952;0,2456628;2,614697;0,1466186;0,3099717;2,663404;0,2029541;0,6585371;2,642457;0,02305012;0,5696213;2,651509;-0,1083856;0,344038;2,699804;-0,1977006;0,09445078;2,64063;-0,2206673;0,0203978;2,612708;0,4067941;0,5659947;2,656113;0,6546154;0,5898858;2,589494;0,8533998;0,7239879;2,499504;0,9606661;0,819448;2,467828;0,03755041;0,1754172;2,606662;-0,2334424;-0,3430377;2,582113;-0,4434909;-0,719769;2,653219;-0,4993505;-0,7914013;2,609284;0,20335;0,146672;2,605614;0,1305766;-0,4326281;2,622145;0,09853226;-0,8175212;2,600615;0,1177578;-0,8941647;2,543327; 
0,2297171;0,8500985;2,574089;0,1350009;0,2455598;2,614676;0,1460766;0,3100154;2,662609;0,2008379;0,6583043;2,64102;0,02278863;0,5695558;2,65155;-0,1083859;0,344078;2,699782;-0,1977112;0,09433748;2,640777;-0,2202354;0,01981432;2,613697;0,4063163;0,565767;2,655643;0,6545749;0,5902833;2,589203;0,8558387;0,7265689;2,497198;0,9574262;0,8176728;2,465364;0,03746605;0,1753425;2,606687;-0,2335852;-0,3429942;2,582928;-0,4435013;-0,7193483;2,65631;-0,498519;-0,793511;2,615612;0,2032663;0,1465753;2,605679;0,1305216;-0,4326095;2,622137;0,09855959;-0,8174493;2,600486;0,1178827;-0,8942129;2,542911; 
0,2282474;0,849541;2,572744;0,1348989;0,2454735;2,614702;0,1460743;0,3099887;2,66205;0,2015064;0,6581133;2,641018;0,0225416;0,5694642;2,65148;-0,1084156;0,3440681;2,699792;-0,1977739;0,09446882;2,64109;-0,2202717;0,01970209;2,614615;0,4056948;0,5654141;2,655137;0,6544909;0,5906562;2,588965;0,8565489;0,7272485;2,495663;0,957744;0,8172719;2,463428;0,03728312;0,1752012;2,606791;-0,233639;-0,3429187;2,583673;-0,4428161;-0,7186563;2,66137;-0,4985496;-0,7912723;2,618849;0,2031757;0,1465453;2,605689;0,1304306;-0,4324767;2,622048;0,09808527;-0,8167979;2,600671;0,1178964;-0,8941152;2,542848
