;-0,02915427;0,7202207;3,134864;0,002830408;0,1404508;3,0267;-0,004035743;0,1922132;3,089339;-0,03584468;0,5354996;3,11535;-0,1926552;0,393229;3,103355;-0,2438686;0,1217103;3,099469;-0,2844561;-0,1181284;3,017074;-0,2747408;-0,2134311;2,983265;0,1540833;0,4351186;3,123171;0,306684;0,6436099;3,131746;0,3197857;0,9557645;3,12605;0,3164124;1,059672;3,143024;-0,08099924;0,06787516;3,011067;-0,09677196;0,01977919;2,556601;-0,08772998;-0,2988979;2,652026;-0,1016913;-0,377184;2,603393;0,1012078;0,05945279;3,002305;0,03536227;-0,4944921;2,986166;-0,01290776;-0,8763978;2,961601;-0,009815846;-0,9042698;2,882485; 
-0,02090666;0,7204648;3,12277;-0,01392437;0,116058;3,030433;-0,01573766;0,1761849;3,090716;-0,02794888;0,5351259;3,106527;-0,1900254;0,3921654;3,099007;-0,2363358;0,1205098;3,09421;-0,2734786;-0,1034248;3,015218;-0,2678666;-0,199399;2,979176;0,1570208;0,4338592;3,112849;0,3314833;0,6319153;3,107293;0,3467584;0,8615945;3,075253;0,3296475;0,9622059;3,086483;-0,09508355;0,04625787;3,02008;-0,1005683;-0,2309891;2,661585;-0,1299449;-0,5913562;2,611746;-0,1484016;-0,6442755;2,532811;0,06914255;0,03199971;3,008904;0,03607867;-0,5235468;2,980429;-0,01087363;-0,8784026;2,960004;-0,005085407;-0,9409418;2,915165; 
-0,02030605;0,719875;3,123422;-0,01190644;0,1155017;3,03181;-0,01421802;0,1755683;3,091936;-0,02539391;0,5347809;3,106734;-0,1881881;0,3924519;3,098944;-0,2360478;0,12008;3,093863;-0,2730979;-0,1047949;3,013464;-0,2695239;-0,2012223;2,978239;0,1575924;0,4338967;3,113984;0,3418746;0,618298;3,106965;0,3414779;0,8913457;3,0711;0,3150916;0,9878413;3,072871;-0,09093206;0,04534282;3,021705;-0,1045651;-0,326817;2,657651;-0,1511955;-0,6544828;2,600034;-0,1584255;-0,69818;2,513927;0,07053699;0,03209006;3,010634;0,03706164;-0,5238293;2,981167;-0,008676665;-0,8783872;2,961772;-0,004115011;-0,9414713;2,928277; 
-0,01919772;0,7194072;3,122325;-0,01104917;0,1149856;3,032651;-0,01409341;0,1749083;3,092914;-0,02643571;0,5363257;3,109937;-0,1875136;0,3930708;3,099261;-0,2354241;0,1204438;3,094593;-0,2730817;-0,1043786;3,013009;-0,2702297;-0,2007549;2,977587;0,1601105;0,4326566;3,116418;0,3553377;0,5992563;3,105169;0,343859;0,8282194;3,063799;0,3098609;0,9223934;3,040852;-0,08916297;0,04395308;3,021627;-0,1060018;-0,3731156;2,680059;-0,1495454;-0,7139355;2,584609;-0,1638503;-0,7355019;2,491296;0,07198685;0,0319735;3,012221;0,04078274;-0,5219424;2,983166;-0,008570911;-0,879997;2,962387;-0,003022298;-0,9431015;2,929073; 
-0,01207633;0,7166913;3,120874;-0,007981643;0,1103313;3,033151;-0,01244354;0,1712565;3,093623;-0,02581643;0,5361795;3,110363;-0,1842213;0,3945783;3,099248;-0,2347194;0,1190084;3,094589;-0,2718656;-0,109118;3,008996;-0,2707306;-0,2037743;2,975086;0,1632401;0,4307041;3,120028;0,3722362;0,5283602;3,100863;0,3401722;0,7832403;3,048666;0,2981072;0,8750399;3,029313;-0,08374302;0,03724101;3,018074;-0,1110317;-0,4341682;2,713156;-0,1533266;-0,739554;2,578187;-0,1673493;-0,765525;2,485938;0,07456142;0,02835006;3,015503;0,04549194;-0,5218815;2,984981;-0,007443404;-0,8823426;2,963448;-0,001438288;-0,939966;2,921395; 
-0,01763119;0,7163691;3,121007;-0,007638269;0,1084475;3,032835;-0,01300202;0,1692433;3,09336;-0,02535632;0,535377;3,110332;-0,184228;0,3947921;3,099304;-0,2350714;0,118365;3,094787;-0,2689126;-0,1130792;3,003901;-0,271532;-0,2043896;2,972553;0,1643482;0,4259613;3,125149;0,4190333;0,499426;3,08867;0,3452256;0,7130198;3,027558;0,2896191;0,8119531;3,014378;-0,0830399;0,03384336;3,016113;-0,1240289;-0,4690503;2,762051;-0,1621775;-0,7552359;2,583284;-0,168898;-0,7829206;2,490686;0,07456759;0,0273884;3,01596;0,04705653;-0,5212546;2,984844;-0,006124427;-0,8821895;2,964991;-0,001717984;-0,9381122;2,920483; 
-0,01751433;0,7161985;3,120859;-0,006927229;0,1062805;3,03296;-0,01337883;0,1668912;3,093488;-0,02546217;0,5335922;3,110467;-0,184229;0,3949196;3,099277;-0,2347506;0,1164298;3,09418;-0,268815;-0,113107;3,003823;-0,2714831;-0,2056697;2,97044;0,1663602;0,4227303;3,130652;0,3952788;0,4454774;3,084389;0,3289084;0,6762283;3,009982;0,2781418;0,7289602;3,000615;-0,08128916;0,0280464;3,013472;-0,1347325;-0,4850417;2,804365;-0,1716837;-0,7831041;2,609792;-0,1729682;-0,8036838;2,515098;0,07518139;0,0262781;3,017721;0,05191459;-0,521539;2,985101;-0,001802274;-0,8850739;2,967165;0,003499923;-0,9380871;2,919284; 
-0,01430164;0,7171481;3,118532;-0,007173785;0,1013716;3,032221;-0,01468248;0,1632261;3,09292;-0,02572668;0,5335546;3,110438;-0,1842901;0,3947829;3,098531;-0,2348002;0,1150462;3,09427;-0,2700101;-0,1163051;2,998731;-0,2705294;-0,2063257;2,962785;0,1655637;0,4089905;3,133008;0,3905124;0,360797;3,087297;0,3301452;0,5622547;2,978273;0,279502;0,6207838;2,948347;-0,08130557;0,02349677;3,011062;-0,1399898;-0,4915065;2,815721;-0,1751269;-0,8031044;2,655226;-0,175188;-0,8361101;2,564064;0,07466722;0,02245143;3,019123;0,05925356;-0,5191563;2,986559;0,003463324;-0,882812;2,971543;0,003833963;-0,9349616;2,919597; 
-0,01287147;0,7203323;3,120758;-0,006905936;0,1007306;3,032333;-0,01471477;0,1623452;3,093105;-0,02630964;0,5328327;3,111309;-0,1856145;0,3935633;3,09804;-0,2349277;0,1151201;3,093383;-0,267606;-0,1105576;3,002706;-0,2696543;-0,2047247;2,961142;0,1628848;0,4072366;3,133578;0,366102;0,2981082;3,101292;0,3401172;0,4591082;2,924077;0,2905434;0,5409372;2,886008;-0,08063834;0,0225537;3,010221;-0,1414782;-0,4857873;2,82588;-0,1701364;-0,8110633;2,704525;-0,1754185;-0,8453567;2,613935;0,07488713;0,02220205;3,020113;0,07136606;-0,5156063;2,991271;0,005413526;-0,8827472;2,971853;0,004614851;-0,9345557;2,919329; 
-0,01468904;0,7209231;3,120156;-0,00680149;0,1006314;3,032369;-0,01510854;0,1623838;3,093086;-0,03089319;0,5332515;3,109788;-0,1865224;0,3938737;3,097347;-0,236587;0,1129589;3,087321;-0,267219;-0,1106324;3,000921;-0,2694082;-0,2046853;2,961005;0,159674;0,4069556;3,134907;0,3155648;0,2379943;3,126446;0,3353213;0,3571844;2,883875;0,3094176;0,422133;2,853872;-0,08001158;0,02251804;3,010238;-0,1397357;-0,48377;2,834054;-0,1660241;-0,826565;2,752208;-0,1833704;-0,8694244;2,666935;0,07521727;0,02244837;3,020726;0,07666671;-0,5124206;2,993361;0,005875127;-0,8819343;2,972978;0,01008904;-0,9359206;2,925986; 
-0,02295513;0,712661;3,115981;-0,006826145;0,09858228;3,032358;-0,01518959;0,1605479;3,092952;-0,03070558;0,532728;3,109352;-0,1883604;0,3937702;3,097859;-0,237507;0,112696;3,086843;-0,2662766;-0,1103351;2,997533;-0,2673875;-0,2015725;2,958739;0,1563609;0,4060002;3,134776;0,2728942;0,2082423;3,12985;0,3418439;0,2418382;2,837406;0,3402436;0,3023781;2,791524;-0,07993837;0,01974285;3,011081;-0,1335312;-0,4881373;2,845222;-0,1634468;-0,847411;2,796577;-0,178709;-0,8886195;2,710071;0,07508446;0,0221426;3,020716;0,07839585;-0,5130365;2,995266;0,006615692;-0,8815847;2,972801;0,009583341;-0,9305629;2,920499; 
-0,02871633;0,7114987;3,114152;-0,007229286;0,09549966;3,031544;-0,0151053;0,1575763;3,09212;-0,03084313;0,5311086;3,108382;-0,1898206;0,3942058;3,097952;-0,2396074;0,1158099;3,086099;-0,2643356;-0,1038516;2,998726;-0,2653557;-0,1950048;2,957603;0,1488579;0,4010613;3,128942;0,2521098;0,1975443;3,134615;0,3212951;0,09870172;2,905087;0,3472542;0,05103695;2,808633;-0,07999074;0,01722998;3,011228;-0,1282614;-0,5099224;2,862049;-0,1666058;-0,8538569;2,833627;-0,180767;-0,9201581;2,764225;0,07440631;0,02107902;3,019964;0,07959309;-0,5162163;2,994547;0,007140666;-0,8828679;2,973313;0,009649726;-0,9308822;2,920108; 
-0,0272804;0,7113656;3,113855;-0,008189574;0,09372222;3,030844;-0,01596139;0,1558293;3,091421;-0,03099401;0,5300419;3,107795;-0,1900758;0,3953707;3,098051;-0,2399075;0,1178931;3,086622;-0,2635512;-0,1018779;2,998587;-0,259979;-0,188245;2,954715;0,1473532;0,4006217;3,12812;0,2377501;0,1573125;3,126909;0,3114153;0,001194211;2,891985;0,3338386;-0,05464764;2,832594;-0,08040278;0,01661157;3,011152;-0,1261628;-0,5089207;2,870931;-0,1561815;-0,8789719;2,90003;-0,1705447;-0,9317528;2,827468;0,07262706;0,01980939;3,018974;0,07943389;-0,5169737;2,993845;0,007797512;-0,8827617;2,973238;0,009442289;-0,9309871;2,920208; 
-0,02734035;0,7115709;3,112708;-0,009006714;0,09210357;3,030252;-0,01611869;0,1545772;3,090839;-0,03065742;0,529698;3,106893;-0,1902946;0,3959226;3,09852;-0,2400294;0,120667;3,087258;-0,2630468;-0,09726771;2,996032;-0,2591121;-0,1836435;2,953202;0,1452834;0,4001776;3,125099;0,234413;0,1456011;3,123187;0,2791952;-0,06577212;2,936875;0,3046774;-0,1394269;2,869548;-0,08097221;0,01547705;3,011415;-0,1250982;-0,5144144;2,888193;-0,1504343;-0,8783275;2,924579;-0,1499714;-0,937462;2,86567;0,07090724;0,01879058;3,017874;0,08050787;-0,5128791;2,99093;0,008151665;-0,8827036;2,97264;0,007135447;-0,9338173;2,922315; 
-0,02785782;0,7113131;3,111724;-0,01047757;0,08952984;3,028504;-0,01525276;0,1526368;3,089543;-0,03064901;0,5297334;3,106647;-0,1916349;0,3975575;3,09923;-0,2404388;0,1207491;3,086969;-0,2626854;-0,09534129;2,995401;-0,258852;-0,1827298;2,952826;0,1354306;0,3984747;3,111389;0,2107496;0,1152141;3,099662;0,2573963;-0,1082309;2,968065;0,2741785;-0,1932387;2,91228;-0,08148815;0,01465884;3,011358;-0,1228486;-0,5169048;2,902796;-0,1423286;-0,8808787;2,948406;-0,1473416;-0,9398196;2,878411;0,06735834;0,01638353;3,013871;0,07916516;-0,5139558;2,990069;0,008771016;-0,8827893;2,972459;0,007824413;-0,9337038;2,921953
