;-0,02915427;0,7202207;3,134864;0,002830408;0,1404508;3,0267;-0,004035743;0,1922132;3,089339;-0,03584468;0,5354996;3,11535;-0,1926552;0,393229;3,103355;-0,2438686;0,1217103;3,099469;-0,2844561;-0,1181284;3,017074;-0,2747408;-0,2134311;2,983265;0,1540833;0,4351186;3,123171;0,306684;0,6436099;3,131746;0,3197857;0,9557645;3,12605;0,3164124;1,059672;3,143024;-0,08099924;0,06787516;3,011067;-0,09677196;0,01977919;2,556601;-0,08772998;-0,2988979;2,652026;-0,1016913;-0,377184;2,603393;0,1012078;0,05945279;3,002305;0,03536227;-0,4944921;2,986166;-0,01290776;-0,8763978;2,961601;-0,009815846;-0,9042698;2,882485; 
-0,04307766;0,7153282;3,129404;0,0001141155;0,1358391;3,02077;-0,00539965;0,1890544;3,083735;-0,03774331;0,5316727;3,10895;-0,1971788;0,3893275;3,102172;-0,2431817;0,1186502;3,09817;-0,2766098;-0,1186319;3,01808;-0,2659948;-0,2158519;2,988532;0,1488259;0,4342819;3,109841;0,3019544;0,644217;3,116664;0,3154716;0,9545305;3,097859;0,3122224;1,052369;3,127093;-0,08258669;0,06255295;3,008447;-0,1006199;0,005553488;2,555606;-0,09815621;-0,3197495;2,644996;-0,1027992;-0,3834047;2,604812;0,09583924;0,05715834;2,993885;0,03185594;-0,493937;2,980807;-0,01470962;-0,877192;2,960319;-0,01440006;-0,9051924;2,881141; 
-0,04271734;0,7169394;3,128173;0,0004338338;0,1361124;3,019925;-0,005183678;0,1891569;3,08291;-0,03781644;0,5316499;3,108624;-0,1972632;0,3893566;3,102146;-0,2431774;0,11794;3,097059;-0,2761904;-0,1181769;3,018087;-0,2665618;-0,2152651;2,987789;0,1489156;0,434099;3,109722;0,3021404;0,644175;3,116396;0,3142372;0,9563574;3,096287;0,3116734;1,053566;3,127604;-0,08217275;0,06283145;3,007689;-0,1013574;0,004841119;2,555066;-0,09727781;-0,3209832;2,647228;-0,1028651;-0,3831826;2,605504;0,09667569;0,05737783;2,992399;0,03065059;-0,4963246;2,979187;-0,01504776;-0,8782502;2,960783;-0,005627985;-0,9433075;2,929302; 
-0,0443416;0,7165537;3,126838;-0,001456648;0,1365322;3,019938;-0,00664018;0,1893485;3,082662;-0,03831738;0,5301321;3,107059;-0,1972345;0,3891235;3,102203;-0,2433068;0,1176983;3,097955;-0,2755058;-0,1156546;3,019384;-0,2666585;-0,2127434;2,988859;0,1489631;0,4341635;3,10952;0,3021677;0,6459775;3,11442;0,3162167;0,9516077;3,092514;0,3128674;1,04878;3,12386;-0,08556666;0,06384704;3,009035;-0,1004978;0,004921984;2,5564;-0,09344824;-0,3213902;2,647785;-0,1034542;-0,3831725;2,604462;0,09525375;0,05727577;2,991924;0,0307784;-0,4968572;2,978991;-0,01546695;-0,8784479;2,960486;-0,004369768;-0,945575;2,915722; 
-0,04130268;0,7157711;3,125894;-0,002049022;0,1368778;3,019711;-0,007178501;0,1896413;3,082353;-0,03841176;0,530261;3,106718;-0,1972385;0,3892047;3,102177;-0,2432356;0,1176513;3,097982;-0,2746395;-0,1150064;3,020223;-0,2670246;-0,2119926;2,989056;0,1492655;0,4342906;3,109515;0,3026161;0,6450636;3,113678;0,3157094;0,9571768;3,092773;0,3114123;1,055317;3,120805;-0,08698274;0,06496117;3,008618;-0,1003875;0,00367374;2,556288;-0,09226768;-0,3188444;2,649516;-0,1039275;-0,3847847;2,604553;0,0951184;0,05716602;2,991818;0,03075442;-0,496799;2,978792;-0,01548658;-0,8785011;2,9604;-0,004204009;-0,9453233;2,916033; 
-0,04006037;0,7176402;3,126482;-0,002681161;0,1374405;3,019655;-0,007661958;0,1901704;3,08226;-0,03864922;0,5307146;3,106738;-0,1977206;0,3894954;3,102213;-0,2431414;0,1175406;3,097632;-0,2744689;-0,1148755;3,020017;-0,2668614;-0,2117895;2,988631;0,1495592;0,4333196;3,108412;0,302375;0,6447639;3,113725;0,3157554;0,9515491;3,092054;0,3114506;1,05029;3,11788;-0,08775716;0,06570591;3,008564;-0,1002112;0,003089294;2,556425;-0,09961072;-0,3333044;2,645019;-0,1061667;-0,3884548;2,600239;0,09487092;0,05722129;2,991701;0,03059722;-0,4971938;2,977959;-0,01548546;-0,8786497;2,96037;-0,004036771;-0,945655;2,915582; 
-0,03961723;0,7163715;3,12698;-0,003508409;0,1377157;3,019457;-0,008337465;0,1905324;3,081872;-0,03932983;0,5298978;3,104457;-0,1984539;0,3895035;3,102475;-0,2429397;0,1177677;3,09819;-0,2743118;-0,1140483;3,020787;-0,2665797;-0,2109043;2,989259;0,1495791;0,432636;3,107423;0,3020184;0,6435248;3,113318;0,3157423;0,9485253;3,090334;0,3115585;1,04709;3,116838;-0,08921126;0,06666064;3,008821;-0,09983789;0,0008428767;2,557126;-0,09850493;-0,330984;2,646066;-0,1063712;-0,3872969;2,600418;0,09435774;0,05662174;2,991402;0,03063804;-0,4975158;2,977754;-0,01561068;-0,8790502;2,960293;-0,0005210151;-0,9473687;2,90735; 
-0,03925201;0,7164848;3,12683;-0,004246925;0,1379593;3,019399;-0,008902397;0,1907023;3,081766;-0,03934524;0,5299157;3,104431;-0,1985324;0,3894505;3,102262;-0,2421501;0,1187573;3,098478;-0,2742624;-0,1134784;3,020205;-0,2664;-0,2101006;2,98775;0,1495501;0,4326218;3,107019;0,3015479;0,6432854;3,110681;0,3152097;0,9544649;3,090822;0,3085901;1,048797;3,104839;-0,09027422;0,06718203;3,009149;-0,09992689;1,651794E-05;2,557661;-0,1003491;-0,3270765;2,648357;-0,1065166;-0,3869051;2,601033;0,09371775;0,05651145;2,990992;0,03079989;-0,4976653;2,977589;-0,01536719;-0,8794374;2,959859;-0,001746756;-0,9480931;2,912871; 
-0,04183698;0,7162747;3,126254;-0,005138971;0,137854;3,018927;-0,009671057;0,1905662;3,08131;-0,03943386;0,5299391;3,104388;-0,1985442;0,3894515;3,102262;-0,2420395;0,1187069;3,098402;-0,2736919;-0,1137628;3,018589;-0,2661281;-0,2109521;2,987562;0,1495187;0,4325629;3,106935;0,2985736;0,6393945;3,111333;0,3140019;0,9513693;3,090805;0,3090251;1,054239;3,106184;-0,09109964;0,06689923;3,009194;-0,100091;-0,0007760078;2,557799;-0,1017948;-0,3264616;2,647626;-0,1069545;-0,3851945;2,602834;0,09245046;0,05641834;2,989378;0,03132924;-0,4972575;2,977163;-0,01551268;-0,8798365;2,959554;-0,01570698;-0,9078977;2,880424; 
-0,04100089;0,7159098;3,125281;-0,003289273;0,1383717;3,017861;-0,008355081;0,1910174;3,080371;-0,03995559;0,5306621;3,103792;-0,198952;0,3894303;3,103393;-0,241369;0,1195423;3,098181;-0,2734437;-0,1103241;3,018945;-0,2654437;-0,2073068;2,987105;0,1494888;0,4325685;3,106803;0,3001281;0,6394279;3,110073;0,3136224;0,9514976;3,090787;0,3098406;1,051094;3,11423;-0,08675241;0,06635318;3,007531;-0,1012822;-0,0008803979;2,556252;-0,09843829;-0,3201219;2,647676;-0,1070883;-0,3853368;2,602797;0,09493005;0,05782417;2,988259;0,03167776;-0,4981508;2,976991;-0,01553028;-0,8796067;2,95962;-0,00721204;-0,9441285;2,930315; 
-0,03871473;0,7169636;3,124715;-0,003524107;0,138554;3,017853;-0,008633619;0,191305;3,080295;-0,03913447;0,5316022;3,103063;-0,1987789;0,3896248;3,10228;-0,2411362;0,1195665;3,098219;-0,2731609;-0,1098271;3,019041;-0,2652626;-0,2071559;2,987988;0,1499823;0,4326795;3,106717;0,3004942;0,6395385;3,109641;0,3118838;0,9517115;3,093572;0,3100041;1,061892;3,113473;-0,08760184;0,06682667;3,007549;-0,1008788;-0,0008322224;2,556326;-0,1023974;-0,3221755;2,65149;-0,1073199;-0,3823988;2,608915;0,09461286;0,05770867;2,988476;0,03172299;-0,4981605;2,976742;-0,01574637;-0,8788823;2,959423;-0,007353378;-0,94121;2,922642; 
