;0,4660519;0,7454206;2,738016;0,3599037;0,1667754;2,736118;0,3689137;0,2279594;2,786292;0,4313205;0,5689126;2,773279;0,2646605;0,4620548;2,761628;0,1455435;0,2103746;2,719404;0,1001938;0,005257294;2,634893;0,08507727;-0,06311515;2,611459;0,613301;0,5116172;2,787805;0,7410278;0,7137902;2,727849;0,8200724;0,9221126;2,631707;0,8419967;1,00899;2,60675;0,271731;0,1075928;2,709218;0,0008976161;-0,2561488;2,727731;-0,2412343;-0,5816414;2,653878;-0,2353449;-0,6165955;2,564307;0,4231834;0,07225202;2,73241;0,3459003;-0,4677414;2,693151;0,3303314;-0,8412413;2,691542;0,3179191;-0,9063602;2,613031; 
0,4542545;0,7488887;2,727374;0,3646857;0,1681247;2,726812;0,3734027;0,2280112;2,781393;0,4206615;0,5705089;2,771161;0,2746306;0,4706488;2,770219;0,1669151;0,2140616;2,768828;0,1109423;0,007235419;2,678863;0,09228469;-0,06170665;2,653599;0,6130456;0,5142055;2,779618;0,755736;0,6922664;2,697258;0,8385898;0,915877;2,594292;0,8648493;1,00679;2,564425;0,2831829;0,102611;2,718336;-0,003369447;-0,2558742;2,751658;-0,273073;-0,5626098;2,678543;-0,2713841;-0,5968172;2,588447;0,4299203;0,08116446;2,715083;0,3523369;-0,4555579;2,683012;0,3301599;-0,8419024;2,691184;0,316849;-0,9034812;2,638809; 
0,4601111;0,7553941;2,727869;0,3693715;0,1672905;2,727013;0,3788752;0,2279479;2,781612;0,4300658;0,574127;2,76956;0,2759982;0,4656868;2,769817;0,1669762;0,2141391;2,768748;0,1126731;0,007177376;2,677815;0,09457207;-0,06180986;2,652226;0,6135258;0,5136252;2,778423;0,7557999;0,6923552;2,697199;0,8383232;0,9166125;2,593471;0,8647153;1,006664;2,563954;0,285623;0,1019726;2,719795;-0,00372681;-0,255552;2,751624;-0,2759069;-0,5600067;2,676268;-0,2745184;-0,5943816;2,586225;0,4340468;0,08078117;2,713788;0,3568944;-0,4604617;2,685356;0,3322419;-0,8407232;2,69123;0,31945;-0,9035679;2,626746; 
0,4614347;0,7548795;2,726735;0,3732008;0,1674906;2,727109;0,3822284;0,2279409;2,781808;0,4302447;0,5738728;2,769516;0,2779875;0,4674003;2,771671;0,1668639;0,2127296;2,768358;0,112502;0,004755455;2,677074;0,09438138;-0,06456928;2,651366;0,6154137;0,513081;2,777545;0,756104;0,6926203;2,696921;0,8383151;0,9167181;2,593161;0,8647251;1,006663;2,563983;0,2893102;0,1023019;2,720755;-0,004000876;-0,2548797;2,751312;-0,2808825;-0,5554718;2,677051;-0,2801231;-0,5898303;2,586989;0,4386406;0,08107243;2,71277;0,3576236;-0,4595105;2,686065;0,3345832;-0,8363456;2,692687;0,3179788;-0,898487;2,634882; 
0,4630641;0,756063;2,726081;0,3748329;0,1669221;2,727128;0,3845989;0,2273959;2,782032;0,4330747;0,5742229;2,770112;0,2814526;0,4693686;2,773159;0,1670848;0,2126826;2,768497;0,112504;0,00445299;2,676193;0,09431035;-0,06495687;2,650145;0,6164533;0,5109801;2,775942;0,7568415;0,6927513;2,696536;0,8381647;0,9160517;2,591949;0,8632625;1,004866;2,561182;0,2907658;0,1022683;2,72101;-0,006256357;-0,2522422;2,751208;-0,2821486;-0,5536759;2,675077;-0,2820631;-0,5879792;2,584991;0,4394335;0,08100295;2,712565;0,3589395;-0,4582329;2,686083;0,335794;-0,8358401;2,692507;0,3186234;-0,8980399;2,634875; 
0,4662742;0,7582543;2,724567;0,3778796;0,1678089;2,727234;0,3881226;0,2283954;2,78224;0,4367874;0,5752902;2,770028;0,2829296;0,470506;2,773734;0,1669666;0,2126538;2,768497;0,1107295;0,001463109;2,66878;0,09198377;-0,06893379;2,640259;0,6196821;0,5122787;2,775541;0,757828;0,6920139;2,695835;0,8385222;0,9161006;2,591464;0,8633668;1,00486;2,56119;0,2930417;0,1031223;2,721265;-0,007544705;-0,250842;2,750445;-0,2870456;-0,5489959;2,673344;-0,2872116;-0,5833067;2,583257;0,442061;0,08162671;2,712437;0,3594101;-0,4580826;2,686404;0,3372505;-0,8358016;2,693832;0,3190746;-0,8977322;2,635016; 
0,467543;0,7588913;2,725189;0,3797133;0,1680309;2,727292;0,3900308;0,2286644;2,782324;0,4379439;0,5754759;2,769628;0,2834087;0,4707488;2,774063;0,1668445;0,2126098;2,768672;0,1112439;0,002491142;2,667471;0,09271032;-0,06754841;2,638454;0,6209382;0,5123057;2,774906;0,7586291;0,6913003;2,69532;0,8392594;0,9164685;2,58975;0,8636745;1,00449;2,560745;0,2944891;0,1031781;2,721555;-0,008615842;-0,2502915;2,74956;-0,2885788;-0,5481524;2,671965;-0,2889743;-0,5824875;2,581891;0,4441773;0,08192071;2,712351;0,3600178;-0,4576222;2,686765;0,3375503;-0,834462;2,693954;0,3189276;-0,8955892;2,640062; 
0,4686984;0,7595598;2,725627;0,3807513;0,1679671;2,727498;0,3912818;0,2286953;2,782537;0,4403892;0,575193;2,76882;0,2841567;0,4710245;2,774331;0,1669044;0,2134486;2,770331;0,1117247;0,003900359;2,66569;0,09333151;-0,06594905;2,635525;0,6218566;0,5118191;2,774932;0,7593338;0,6911226;2,694855;0,8402703;0,9152222;2,588185;0,8641661;1,002322;2,55753;0,2953263;0,1033153;2,721868;-0,009905914;-0,2497561;2,748404;-0,2898652;-0,5477285;2,670224;-0,2902722;-0,5821325;2,580175;0,4449446;0,0817735;2,712627;0,3606857;-0,4580778;2,686852;0,3375331;-0,8342752;2,693686;0,3201994;-0,8965442;2,633847; 
0,4693171;0,7589648;2,725775;0,381242;0,167759;2,727589;0,3918795;0,2283879;2,782743;0,4410575;0,5746328;2,769168;0,2855053;0,4713519;2,774452;0,1670954;0,215659;2,773689;0,1115067;0,00297758;2,662987;0,09297711;-0,06791624;2,630802;0,6227635;0,5104399;2,774507;0,760196;0,6904698;2,69439;0,8433275;0,9165403;2,585566;0,8719177;1,003623;2,556952;0,295852;0,1033365;2,722027;-0,01048984;-0,2485491;2,747446;-0,2902173;-0,5469883;2,669482;-0,2907135;-0,5813661;2,579427;0,4452539;0,08163741;2,71261;0,360893;-0,4580052;2,686986;0,3381766;-0,8347406;2,69298;0,3209023;-0,8951939;2,638863; 
0,4703768;0,7552369;2,726071;0,3814616;0,167548;2,727657;0,3922055;0,2279675;2,782932;0,4413047;0,5734069;2,769842;0,2859917;0,4717311;2,77475;0,1668212;0,215335;2,775005;0,1101361;0,005258359;2,664121;0,09124103;-0,06476717;2,631873;0,6232432;0,5095453;2,774184;0,7613586;0,6878454;2,694882;0,8440663;0,9162194;2,584753;0,8717293;1,002575;2,556921;0,295998;0,1032528;2,722115;-0,01111677;-0,2485386;2,747046;-0,2911186;-0,5468531;2,668586;-0,2917465;-0,5811722;2,578512;0,445479;0,08144425;2,712536;0,3611398;-0,4572631;2,687052;0,3386559;-0,8344687;2,692102;0,3205703;-0,8958321;2,638137; 
0,4729318;0,7513945;2,726615;0,3815173;0,1674524;2,727823;0,3924005;0,2276697;2,7832;0,4421838;0,5718055;2,770313;0,2863859;0,4714114;2,77511;0,1654829;0,216721;2,779358;0,1075959;0,004742553;2,66414;0,08830027;-0,06591692;2,630446;0,6235633;0,5093678;2,774204;0,7620026;0,687407;2,694918;0,84505;0,9156136;2,584011;0,8713844;1,001041;2,555803;0,2960045;0,1032524;2,722342;-0,01400909;-0,2503279;2,74487;-0,2931516;-0,549083;2,66308;-0,293885;-0,5833578;2,572999;0,4454337;0,08131647;2,712621;0,361044;-0,4549128;2,68683;0,3386572;-0,8344418;2,692086;0,3211929;-0,8958019;2,640383; 
0,4761161;0,7559832;2,725482;0,3816716;0,1674418;2,72799;0,3927349;0,2275787;2,78348;0,4430579;0,5718118;2,770868;0,2872615;0,4713621;2,775399;0,1638627;0,2142477;2,782398;0,1014474;0,00439976;2,664829;0,0806423;-0,06554954;2,63035;0,624615;0,5091003;2,773999;0,7637221;0,6878651;2,692764;0,8461329;0,9162703;2,583592;0,8763117;1,004398;2,555692;0,2960994;0,1032868;2,722712;-0,01412896;-0,249808;2,744485;-0,2930764;-0,5489538;2,662636;-0,2939383;-0,5831971;2,57254;0,4454578;0,08131309;2,712607;0,3611966;-0,4552671;2,686963;0,3387511;-0,8349052;2,692186;0,320675;-0,8993572;2,631305; 
0,4768894;0,7486789;2,725331;0,3815097;0,1670726;2,728431;0,3926476;0,2270444;2,783951;0,4435613;0,5699382;2,771121;0,2871982;0,4709853;2,775374;0,1630968;0,2149594;2,78457;0,09817331;0,003335097;2,672549;0,07653213;-0,06720635;2,639919;0,6249333;0,5076033;2,773935;0,7639455;0,6864521;2,693199;0,8416448;0,8899905;2,598024;0,8752515;0,9899276;2,565975;0,2955508;0,1030381;2,723039;-0,04355662;-0,288247;2,740003;-0,3239374;-0,5834892;2,656642;-0,3873801;-0,6439219;2,593077;0,445285;0,08063389;2,713407;0,362;-0,4557002;2,686903;0,3386833;-0,8347753;2,691911;0,3208494;-0,8993794;2,630776; 
0,4775964;0,7483711;2,726041;0,3815253;0,167083;2,728475;0,3927656;0,2269694;2,78406;0,4440303;0,5695704;2,771389;0,2873089;0,4707123;2,775645;0,1612244;0,2149082;2,787435;0,08992755;0,007722242;2,679239;0,06616193;-0,06133974;2,647882;0,625781;0,5067786;2,773757;0,7642478;0,6866103;2,692991;0,8461992;0,9033417;2,590898;0,8739485;1,001391;2,557026;0,2954969;0,1030512;2,723168;-0,04753252;-0,2920297;2,739458;-0,3227324;-0,5832728;2,654774;-0,3859195;-0,6464791;2,589193;0,4452639;0,08062159;2,713374;0,3622548;-0,454753;2,687047;0,3389704;-0,8345549;2,692247;0,323437;-0,8958336;2,640121; 
0,4779664;0,7474364;2,725797;0,381593;0,1671051;2,728567;0,3928584;0,2269853;2,784178;0,4443765;0,5695137;2,771309;0,2875026;0,4704779;2,775981;0,1606227;0,215733;2,790634;0,08495422;0,00772385;2,680462;0,05973137;-0,06161254;2,648446;0,6265615;0,5069915;2,774239;0,764633;0,6866333;2,69316;0,8462866;0,9079951;2,589019;0,8727025;1,001268;2,557285;0,2955033;0,1030309;2,723292;-0,04986264;-0,2959281;2,738525;-0,3216638;-0,5832566;2,65401;-0,3844906;-0,6448864;2,58658;0,4452671;0,0806193;2,713408;0,3627135;-0,4555445;2,687333;0,3388529;-0,8347559;2,692099;0,3226627;-0,8985188;2,626201; 
0,4781953;0,7467276;2,725526;0,3817681;0,1670147;2,728736;0,3931279;0,2268305;2,784396;0,4449781;0,5691769;2,771447;0,2876441;0,4702548;2,776002;0,1618468;0,216873;2,793268;0,07966584;0,006328893;2,683311;0,05227219;-0,06385249;2,651365;0,6268185;0,5068616;2,774228;0,7647298;0,6864566;2,693649;0,8462414;0,9083167;2,589067;0,8740455;1,002543;2,55719;0,2955926;0,1029542;2,723419;-0,05066536;-0,2966182;2,738583;-0,3205638;-0,5828525;2,652193;-0,3840695;-0,6436887;2,584649;0,4453279;0,08053238;2,713514;0,3626822;-0,45503;2,687284;0,3395327;-0,8349728;2,691791;0,3229031;-0,8986738;2,626785; 
0,4789389;0,7474892;2,724386;0,3820268;0,1671971;2,728805;0,3933664;0,2270135;2,784423;0,4451738;0,5691093;2,770856;0,2880036;0,4697687;2,775982;0,1626761;0,2174444;2,794369;0,07906386;0,00628959;2,684661;0,05119313;-0,06409536;2,652797;0,6287693;0,507275;2,774181;0,7660102;0,6882793;2,693887;0,8461323;0,9096148;2,588655;0,8721873;1,00183;2,556139;0,2957072;0,1029537;2,72352;-0,05087778;-0,2970044;2,738385;-0,3195141;-0,5829803;2,651103;-0,3833152;-0,643099;2,583161;0,4455592;0,08061915;2,713579;0,363004;-0,4548563;2,687511;0,3401783;-0,8338895;2,692326;0,3229016;-0,8986788;2,626775; 
0,4791145;0,7490209;2,72442;0,3820262;0,1670641;2,728811;0,3934236;0,2268936;2,784446;0,4453323;0,5690721;2,770792;0,2883503;0,4689328;2,775933;0,1643703;0,2183483;2,795386;0,09733304;0,006830071;2,701508;0,07498728;-0,06367601;2,67492;0,6289746;0,5071294;2,774092;0,7662953;0,6880578;2,693924;0,846173;0,9109247;2,588652;0,8704702;1,000799;2,55679;0,2956394;0,1028168;2,72357;-0,05100031;-0,2974422;2,738083;-0,3179772;-0,5832126;2,64935;-0,3827983;-0,6428073;2,581869;0,4455069;0,08039201;2,71354;0,3634393;-0,4582309;2,688001;0,3400238;-0,8340412;2,692291;0,3210369;-0,9004728;2,622363; 
0,4796233;0,7491343;2,724139;0,3821594;0,1671752;2,728854;0,3936056;0,2269925;2,7845;0,4454375;0,5691689;2,770771;0,2884141;0,4691749;2,776258;0,1647907;0,2185432;2,795837;0,08108602;0,01235947;2,697718;0,05318445;-0,05636844;2,669715;0,6294863;0,5069683;2,774113;0,7663772;0,6880723;2,693945;0,8459578;0,9115229;2,588619;0,8683023;0,999407;2,557272;0,2956688;0,1028141;2,723583;-0,05104574;-0,2975654;2,738033;-0,3165901;-0,5833702;2,648904;-0,3816437;-0,6418556;2,580611;0,4456476;0,08050543;2,713556;0,363931;-0,4602612;2,688563;0,3397145;-0,8352836;2,691819;0,3251133;-0,9030217;2,609017; 
0,4811071;0,7517653;2,722798;0,3823192;0,1675223;2,728853;0,3937888;0,2275015;2,784474;0,4461854;0,5702788;2,77016;0,2892497;0,4696489;2,776257;0,1730124;0,2277543;2,800304;0,08080119;0,009961806;2,695378;0,05006413;-0,06263569;2,665105;0,6311758;0,5073121;2,774414;0,7665868;0,6884689;2,693909;0,8459467;0,9134787;2,58834;0,8681979;0,9995429;2,557794;0,2957668;0,1032182;2,723645;-0,05165176;-0,298608;2,737408;-0,3158277;-0,5850423;2,647281;-0,3815913;-0,6421831;2,578511;0,4456813;0,08059464;2,713552;0,3640689;-0,459099;2,688978;0,3399042;-0,8352118;2,691885;0,3207067;-0,8946127;2,636557; 
0,4815047;0,7516882;2,722684;0,382469;0,1675361;2,72893;0,3939223;0,2275743;2,784583;0,44719;0,5707766;2,770229;0,2870012;0,4639316;2,774644;0,171389;0,2231425;2,798849;0,08263645;0,008725762;2,694449;0,05305228;-0,0627465;2,664349;0,6314431;0,5069178;2,774326;0,7666826;0,6884659;2,693793;0,8459001;0,9144006;2,588593;0,8670669;0,9988116;2,558028;0,2955795;0,1030143;2,723686;-0,05163275;-0,2988839;2,737031;-0,3151886;-0,5845945;2,647138;-0,3809925;-0,6417127;2,578351;0,4461502;0,08042705;2,71375;0,3642076;-0,4599233;2,689157;0,3398273;-0,8353505;2,691791;0,3205044;-0,8982401;2,630206; 
0,4820202;0,7510868;2,722762;0,38277;0,1675309;2,728927;0,3942178;0,2275346;2,784615;0,4474182;0,5707036;2,770376;0,2874605;0,4640997;2,774637;0,1699738;0,2213761;2,798945;0,08619316;0,007250452;2,692015;0,05826629;-0,06412476;2,661071;0,6315866;0,5070283;2,774529;0,7666007;0,6877882;2,693826;0,8460087;0,9139006;2,588447;0,866689;0,9984552;2,557715;0,2958377;0,1029747;2,723586;-0,05155231;-0,2989377;2,736659;-0,3150987;-0,5845814;2,647012;-0,3809366;-0,6417291;2,578264;0,4463859;0,08045644;2,713755;0,3644856;-0,4548555;2,688918;0,3399533;-0,8346012;2,692518;0,3217235;-0,8949462;2,639978
