;-0,004710556;0,8555766;2,589761;0,01392455;0,2446683;2,578289;0,01194322;0,3041366;2,638281;0,0001908267;0,6612425;2,642286;-0,1881237;0,5838531;2,667563;-0,4395206;0,6062764;2,645818;-0,6533961;0,6806923;2,618684;-0,6556354;0,7604554;2,595579;0,2067389;0,5836847;2,664999;0,5032812;0,6387211;2,67996;0,7485018;0,7505378;2,66336;0,8372599;0,8112607;2,663662;-0,06825982;0,1548555;2,565284;-0,02522405;-0,4667512;2,573598;-0,000982155;-0,8579941;2,584967;-0,03316223;-0,9097627;2,531059;0,1019553;0,1590682;2,55786;0,07104029;-0,4725665;2,586867;0,0693826;-0,841832;2,588369;0,1137474;-0,8962452;2,534272; 
-0,004066081;0,85643;2,591416;0,01263415;0,2478649;2,582186;0,01111502;0,3069482;2,641865;2,938204E-05;0,6613895;2,644658;-0,1894982;0,5845282;2,672838;-0,4305195;0,596727;2,638806;-0,64504;0,6677817;2,604247;-0,7028367;0,7120068;2,568305;0,2075804;0,5836111;2,668496;0,4931505;0,6312273;2,673341;0,7042818;0,708285;2,641321;0,7964427;0,7679989;2,641234;-0,07010844;0,1580705;2,569867;-0,02700863;-0,4659034;2,57405;-0,002952267;-0,8569396;2,585622;-0,07074533;-0,9075166;2,532676;0,1006817;0,1616946;2,561928;0,07088451;-0,4699199;2,587049;0,06759688;-0,8442765;2,586849;0,1195776;-0,8965979;2,534405; 
-0,003860459;0,8564705;2,591723;0,01261659;0,2478512;2,582288;0,01108739;0,3069226;2,64196;5,281429E-05;0,661235;2,64475;-0,1895051;0,5844445;2,672749;-0,4274888;0,5946656;2,638194;-0,6981001;0,6980736;2,587437;-0,7558925;0,7422954;2,551497;0,2075951;0,5836005;2,668531;0,4983577;0,6327052;2,673254;0,7095014;0,7093708;2,639662;0,8016558;0,7690786;2,640024;-0,07012924;0,158055;2,569882;-0,02704504;-0,46592;2,574077;-0,002723498;-0,8571239;2,585488;-0,04989051;-0,9091603;2,544977;0,1006684;0,1616933;2,562212;0,07088903;-0,4698826;2,587093;0,06725843;-0,8450324;2,586728;0,1200796;-0,8969762;2,534501; 
-0,003796902;0,8565404;2,591816;0,01263631;0,2479657;2,582473;0,0111261;0,3070299;2,642133;0,0002666626;0,6612463;2,644888;-0,1895303;0,5844349;2,672805;-0,4277008;0,5945728;2,638017;-0,6979094;0,6980033;2,587325;-0,7556973;0,7422217;2,551388;0,2076318;0,5836858;2,668663;0,4992953;0,6331642;2,673142;0,7106176;0,7094279;2,639817;0,8027862;0,769098;2,64019;-0,07016953;0,1581496;2,570158;-0,02719322;-0,4659517;2,574108;-0,002529291;-0,85706;2,585544;-0,04655292;-0,9091433;2,542962;0,1006705;0,1617736;2,562308;0,07078381;-0,469951;2,587155;0,06722761;-0,8450713;2,586673;0,1202015;-0,8969086;2,534502; 
-0,00377423;0,856521;2,591583;0,01267442;0,2478871;2,582524;0,01111826;0,3069856;2,642179;0,0002631561;0,6612942;2,64497;-0,1892085;0,5839792;2,672495;-0,4282833;0,594793;2,637678;-0,6978988;0,6980284;2,587263;-0,7556828;0,7422437;2,551328;0,2076178;0,5836793;2,668691;0,5044233;0,6355073;2,673057;0,7159242;0,7110912;2,638817;0,8081674;0,770631;2,639332;-0,07012248;0,1581191;2,570142;-0,02720209;-0,4659225;2,574121;-0,002328106;-0,8568556;2,585624;-0,03963773;-0,9074107;2,547031;0,1007081;0,1617284;2,562474;0,07070849;-0,4700471;2,587211;0,06712866;-0,8450643;2,586882;0,1201932;-0,8968074;2,53467; 
-0,003754117;0,8565474;2,591428;0,01264537;0,2478332;2,582592;0,01109195;0,3069643;2,642234;0,0002986199;0,6613289;2,645005;-0,1892414;0,5839872;2,672491;-0,4287699;0,594897;2,637114;-0,6979933;0,6980684;2,587086;-0,755773;0,7422805;2,551153;0,2076447;0,5838267;2,668798;0,5060197;0,6357004;2,672962;0,7181352;0,7094831;2,638277;0,8099617;0,7696444;2,639172;-0,0701648;0,1580894;2,570145;-0,02702403;-0,4675448;2,574861;-0,002868085;-0,8568206;2,586249;-0,04587108;-0,9099357;2,546474;0,1006542;0,1615698;2,562715;0,07060041;-0,4702981;2,587409;0,0665419;-0,8458096;2,587031;0,1218178;-0,8975992;2,533622; 
-0,003761905;0,8566828;2,591394;0,01263472;0,2478722;2,582751;0,01107015;0,3070313;2,642384;0,0001880617;0,6614443;2,645101;-0,1892806;0,5840414;2,672536;-0,4299455;0,5953218;2,636317;-0,6979127;0,6981478;2,587055;-0,7556879;0,7423564;2,551125;0,207587;0,5838348;2,668791;0,4886982;0,6301951;2,674905;0,7010002;0,7033717;2,64002;0,7928089;0,763549;2,640522;-0,07016682;0,1581359;2,570308;-0,02701612;-0,4674254;2,574892;-0,003797916;-0,8587898;2,587637;-0,04008799;-0,9085835;2,547154;0,1006794;0,1616424;2,56292;0,07037181;-0,470347;2,587483;0,06619543;-0,8458681;2,586852;0,121785;-0,8970211;2,533962; 
-0,003606032;0,8565891;2,590986;0,01263795;0,2479351;2,582837;0,01105743;0,307102;2,642467;0,0002093892;0,6614843;2,645143;-0,1893225;0,5840548;2,672484;-0,4298438;0,5951037;2,636232;-0,6977178;0,6978656;2,586695;-0,7554892;0,7420713;2,550768;0,207626;0,5837981;2,668873;0,4861743;0,6295085;2,675221;0,6984917;0,7025832;2,64022;0,790315;0,762725;2,640727;-0,07016515;0,1582152;2,570386;-0,02725055;-0,4673227;2,57491;-0,004345936;-0,8586932;2,58782;-0,03278128;-0,9085552;2,541572;0,1006776;0,1616553;2,562989;0,06976264;-0,4783418;2,588925;0,06617113;-0,8458369;2,586872;0,1219471;-0,8970413;2,534044; 
-0,003905283;0,8565646;2,590826;0,01263931;0,2479102;2,582895;0,01106603;0,3070879;2,642518;0,0003188775;0,6614814;2,645184;-0,1893398;0,5840484;2,672481;-0,4298015;0,5949908;2,636118;-0,6627796;0,6860489;2,599;-0,7205473;0,7302519;2,563076;0,2076563;0,5837705;2,668902;0,491897;0,6316381;2,673829;0,7043644;0,7045116;2,63967;0,7962269;0,7645815;2,640122;-0,07019304;0,1581568;2,570412;-0,02736036;-0,4678137;2,575116;-0,004394052;-0,8586068;2,587865;-0,03484444;-0,907806;2,542212;0,1006741;0,1616344;2,563118;0,06984788;-0,4759389;2,588783;0,06618495;-0,8458718;2,586876;0,1220112;-0,8968548;2,53473; 
0,2260518;0,8527601;2,570077;0,1410134;0,2453145;2,594379;0,1530745;0,3081594;2,651035;0,2171266;0,6638712;2,635914;0,02857408;0,564298;2,641615;-0,09628759;0,3401343;2,713104;-0,1724396;0,1035699;2,679258;-0,1978236;0,02471502;2,672753;0,4100649;0,5667956;2,646467;0,6643307;0,5987059;2,584946;0,8480941;0,7226844;2,495543;0,9267475;0,7937883;2,466968;0,04280825;0,1758212;2,58281;-0,2379609;-0,3249453;2,567214;-0,4468203;-0,6854937;2,658672;-0,5062926;-0,7578325;2,624277;0,208758;0,1473006;2,583588;0,1286153;-0,4316434;2,612226;0,09493512;-0,8180792;2,599067;0,1194052;-0,8934695;2,538483; 
0,2262139;0,8530385;2,569955;0,1409683;0,2452694;2,59435;0,1530692;0,3081536;2,650992;0,2169883;0,663992;2,635667;0,02862857;0,5643436;2,641606;-0,09640931;0,3404471;2,71315;-0,1694848;0,1143614;2,679782;-0,1938433;0,03899951;2,673437;0,4099972;0,5666066;2,646112;0,6641982;0,5986583;2,585024;0,856433;0,7291349;2,492099;0,9611076;0,8248215;2,454269;0,04275953;0,1757294;2,582872;-0,2380232;-0,3249933;2,567199;-0,4473311;-0,6864587;2,655742;-0,5068146;-0,7597747;2,623399;0,2087278;0,1473067;2,583538;0,1288207;-0,4316691;2,612356;0,09553915;-0,8175712;2,599464;0,1186534;-0,8938974;2,539467; 
