;0,2746005;0,7302358;2,80481;0,2549126;0,1600013;2,738862;0,2582238;0,2142906;2,800556;0,259919;0,5603464;2,825459;0,08223906;0,4939465;2,829318;-0,0703729;0,6720567;2,777651;0,05001953;0,8403156;2,730939;0,09015034;0,8964019;2,720009;0,4559823;0,4789755;2,807629;0,6069263;0,6614949;2,79619;0,5032883;0,8429439;2,767569;0,469893;0,9072698;2,749953;0,1728509;0,07855823;2,72538;0,1556019;-0,4846039;2,75756;0,1489851;-0,8556264;2,733996;0,1219791;-0,9171506;2,649631;0,3349114;0,07868197;2,711262;0,3883439;-0,47921;2,711238;0,404897;-0,8474643;2,702478;0,4062622;-0,9101523;2,612646; 
0,4562538;0,7372084;2,748174;0,4280667;0,1722146;2,76826;0,4395355;0,2303956;2,819975;0,4463785;0,5600765;2,804208;0,2880349;0,447669;2,856779;0,2271962;0,193489;2,857559;0,389988;0,2512304;2,725406;0,4442519;0,2704775;2,685967;0,6484693;0,4874133;2,798156;0,7991406;0,6519442;2,715288;0,6836452;0,8231097;2,666853;0,6086903;0,8888992;2,65043;0,3449133;0,1070062;2,773672;0,07081214;-0,1374468;2,499212;0,2161661;-0,5288666;2,496787;0,2006474;-0,5669636;2,398827;0,5044231;0,07397085;2,740897;0,4439873;-0,4764054;2,702824;0,4222941;-0,8365455;2,693097;0,4067267;-0,9046333;2,607815; 
0,4561766;0,736242;2,7486;0,4287303;0,1718917;2,767806;0,4403267;0,2298817;2,819666;0,4469984;0,5592816;2,804441;0,2880416;0,4476261;2,856821;0,2272525;0,1938644;2,85763;0,3907055;0,2502582;2,725746;0,4451899;0,2690561;2,686394;0,6478572;0,4866138;2,797472;0,7990826;0,6520209;2,715235;0,683415;0,8231894;2,667396;0,6083807;0,8889285;2,65097;0,3453413;0,1065269;2,773315;0,07128906;-0,1389827;2,500098;0,2150059;-0,5312081;2,497034;0,2766584;-0,593062;2,519939;0,5053738;0,07413562;2,740121;0,4439865;-0,4765461;2,703065;0,4218702;-0,8369217;2,693379;0,4068326;-0,904592;2,607838; 
0,4562088;0,736281;2,748522;0,4289821;0,1720853;2,76773;0,4404406;0,2300872;2,819572;0,4466024;0,5592942;2,803763;0,2884449;0,4482878;2,856602;0,2272483;0,1942684;2,857382;0,3920207;0,2487327;2,726434;0,4469448;0,2668875;2,687392;0,6479117;0,4867505;2,79744;0,7992177;0,6520146;2,715147;0,6836272;0,8233754;2,668015;0,6086374;0,8891176;2,651219;0,3458709;0,1070609;2,773207;0,07140759;-0,1387255;2,500975;0,2150944;-0,5311283;2,497741;0,1994458;-0,5692073;2,399848;0,5057541;0,07431506;2,740362;0,4438783;-0,4765542;2,703253;0,4213503;-0,8368232;2,693217;0,4068348;-0,9045189;2,607536; 
0,4565767;0,7356013;2,747936;0,4291034;0,1716367;2,767685;0,4405653;0,2297153;2,819561;0,446972;0,5592663;2,803812;0,288274;0,4474765;2,856204;0,227055;0,1917212;2,857821;0,389863;0,2545687;2,728329;0,4441323;0,2755179;2,68977;0,6480349;0,4867645;2,797499;0,799258;0,6518406;2,715188;0,6839218;0,8234063;2,668197;0,6088988;0,8891636;2,651423;0,345968;0,1060205;2,773266;0,07118016;-0,1396209;2,50163;0,2109641;-0,5336635;2,496996;0,1954241;-0,5717117;2,399143;0,505715;0,0739874;2,7403;0,4442026;-0,4772313;2,704202;0,4214458;-0,8362572;2,693513;0,406963;-0,9043247;2,607389; 
0,4566576;0,7355689;2,747835;0,4298224;0,1721937;2,767415;0,4414089;0,2301985;2,819325;0,4483144;0,5596893;2,803715;0,2882869;0,4475669;2,856137;0,2272229;0,1922572;2,857489;0,3921301;0,2531286;2,729931;0,4470991;0,2734191;2,692013;0,648148;0,4868417;2,797415;0,7992077;0,6519424;2,715159;0,6848432;0,8240564;2,66763;0,6097475;0,8899213;2,651381;0,3463183;0,1066287;2,772703;0,0711171;-0,139801;2,502534;0,2090484;-0,5346957;2,497048;0,2743723;-0,5883929;2,52839;0,5064865;0,07448528;2,740363;0,4441915;-0,4776947;2,705031;0,4208264;-0,8365435;2,693671;0,4073296;-0,904599;2,606658; 
0,4575845;0,7360517;2,748672;0,4300994;0,1726308;2,767256;0,4415929;0,2306061;2,819089;0,448506;0,5597454;2,803001;0,2900255;0,4485276;2,855486;0,2273346;0,1924843;2,857389;0,3927211;0,2520727;2,729841;0,4478499;0,2719355;2,691923;0,6484102;0,4870515;2,797404;0,7992593;0,6530765;2,715031;0,6838668;0,8248791;2,669426;0,6088911;0,890745;2,65245;0,3465378;0,1078112;2,772496;0,0716832;-0,1395381;2,503095;0,2870704;-0,4570455;2,56618;0,2634794;-0,569782;2,525744;0,5068709;0,07489678;2,74049;0,4442762;-0,4777682;2,705315;0,4213652;-0,8356856;2,694036;0,407069;-0,9044783;2,607655; 
0,4578447;0,735195;2,748319;0,4308784;0,172353;2,766737;0,4422593;0,2303266;2,818314;0,4487603;0,5581189;2,801288;0,2898857;0,4484076;2,855273;0,2273403;0,1925524;2,857618;0,3921903;0,2518907;2,729159;0,4471404;0,2716701;2,690934;0,6480834;0,4873014;2,797518;0,7991888;0,6528568;2,715255;0,6845249;0,8251687;2,669729;0,6095032;0,890963;2,652452;0,3471905;0,1074313;2,772171;0,07122692;-0,1386962;2,503055;0,2196262;-0,5294636;2,505581;0,2043037;-0,5676248;2,407724;0,5079151;0,07481528;2,740096;0,4444752;-0,4778869;2,705575;0,4226442;-0,8355143;2,695568;0,4072107;-0,9044449;2,60776; 
0,4581583;0,7353166;2,748542;0,4308266;0,1726608;2,766814;0,4422396;0,2305589;2,818212;0,4488761;0,5581644;2,801271;0,2897962;0,4485647;2,855354;0,2273851;0,1927051;2,857606;0,3924725;0,2516975;2,729307;0,4475017;0,2713616;2,691132;0,6482881;0,4874384;2,797497;0,7991347;0,6529745;2,715292;0,6852806;0,8259436;2,670394;0,6099389;0,8913228;2,652696;0,3470913;0,1078658;2,772237;0,07201183;-0,1395152;2,503677;0,2196415;-0,5307328;2,505838;0,2819134;-0,5900569;2,533037;0,5077112;0,07494015;2,740283;0,444539;-0,4776653;2,705789;0,4221124;-0,8345093;2,696201;0,4074253;-0,9037555;2,609204; 
0,4581966;0,735785;2,747174;0,4310816;0,1727956;2,766633;0,4423513;0,2306469;2,817967;0,4488417;0,558166;2,801237;0,289852;0,4487121;2,855059;0,227764;0,1930951;2,857689;0,3926413;0,252044;2,729064;0,4476005;0,2716936;2,690777;0,6483191;0,4874431;2,797452;0,7996523;0,6520053;2,715024;0,6859431;0,8251519;2,670557;0,610707;0,8906971;2,65279;0,3473144;0,1080082;2,77193;0,07221287;-0,1393774;2,503653;0,208263;-0,5355767;2,495305;0,2763392;-0,5820864;2,531776;0,508237;0,07515155;2,740188;0,4443638;-0,4778684;2,705966;0,422573;-0,8337915;2,696345;0,4073071;-0,9033109;2,608741; 
0,4582737;0,7354386;2,747291;0,4317427;0,1725951;2,766407;0,4431118;0,2303502;2,817746;0,4501865;0,5579501;2,801617;0,2896755;0,4483854;2,854858;0,2280088;0,1940741;2,857631;0,3943079;0,2520397;2,730571;0,4497409;0,2713615;2,692803;0,6482873;0,4874317;2,797382;0,7995718;0,6520394;2,714999;0,6854507;0,8249011;2,670449;0,6105989;0,890979;2,652783;0,3476216;0,1077426;2,771745;0,07255688;-0,1387186;2,502788;0,2106239;-0,5342692;2,496715;0,2774742;-0,5834888;2,531746;0,5089829;0,07505826;2,739829;0,4447657;-0,4781741;2,706263;0,42386;-0,8331169;2,696537;0,4080662;-0,9023078;2,610205; 
0,4583119;0,7354813;2,747203;0,4323362;0,1731721;2,766104;0,443819;0,2309675;2,81735;0,4519916;0,5586849;2,801099;0,2898438;0,4487764;2,854605;0,2283397;0,1948081;2,857088;0,3941131;0,2535644;2,72967;0,4493708;0,2731499;2,69178;0,6485025;0,4873669;2,797484;0,7996392;0,6526321;2,715074;0,6853185;0,8252477;2,669885;0,6103351;0,8913631;2,652663;0,3481397;0,1085527;2,771298;0,0740073;-0,1395382;2,503174;0,212664;-0,5350046;2,497791;0,2744287;-0,595257;2,523628;0,5092013;0,07532438;2,739751;0,4450082;-0,4778234;2,706444;0,4236358;-0,8329795;2,696328;0,4076717;-0,9025073;2,610518; 
0,4596419;0,7349207;2,748146;0,4327041;0,173327;2,765839;0,4438967;0,231059;2,817164;0,4521533;0,558683;2,80113;0,2913302;0,4481245;2,852607;0,2285838;0,1953479;2,857107;0,3944326;0,2528387;2,729162;0,4497155;0,2720023;2,691093;0,6492493;0,4875945;2,797713;0,7996258;0,6529837;2,714926;0,6852016;0,8255353;2,66977;0,6081194;0,8890849;2,651974;0,3483303;0,1088847;2,77063;0,07444075;-0,1398645;2,503134;0,2169722;-0,5338749;2,501559;0,2808756;-0,5904447;2,53025;0,5098729;0,07550769;2,739679;0,4450379;-0,4778407;2,706389;0,4238722;-0,8328818;2,69639;0,4077386;-0,9025372;2,610358; 
0,4593307;0,7346434;2,747872;0,4326912;0,1729817;2,765754;0,4439676;0,230841;2,816978;0,452899;0,5586572;2,800615;0,2910786;0,4481208;2,852671;0,2287028;0,194931;2,856754;0,3945571;0,2543465;2,729812;0,4498418;0,2741517;2,692076;0,6492753;0,4875026;2,797626;0,7999494;0,6523083;2,715075;0,6865882;0,8254361;2,669249;0,6094283;0,8878512;2,648218;0,3482768;0,107907;2,770853;0,07471865;-0,1399345;2,50245;0,2170191;-0,5341234;2,501612;0,2771932;-0,5959148;2,527369;0,5095584;0,07520939;2,739551;0,4451512;-0,4780375;2,706606;0,4238371;-0,8331037;2,696261;0,4076675;-0,9024606;2,610459; 
0,4593888;0,7346037;2,747186;0,4331945;0,1736348;2,765445;0,4445167;0,2314258;2,816625;0,4534201;0,5590214;2,800444;0,2909499;0,448518;2,852752;0,229098;0,1951496;2,856427;0,3924235;0,2500947;2,723707;0,4468654;0,2684097;2,684043;0,6496359;0,4876857;2,797476;0,8001226;0,6526449;2,714954;0,6864002;0,8255398;2,66916;0,6120846;0,8919671;2,650207;0,3485227;0,1082705;2,770596;0,07509503;-0,1398816;2,502615;0,2173015;-0,5341961;2,50263;0,202641;-0,5721815;2,404896;0,5100327;0,07581471;2,739262;0,4451582;-0,4780925;2,706662;0,4236414;-0,8331248;2,696238;0,4073925;-0,9025834;2,609189; 
0,4591388;0,7340435;2,746526;0,4334119;0,1736412;2,765255;0,4446094;0,2314094;2,816447;0,4531323;0,5588574;2,800352;0,290944;0,4485368;2,852712;0,2290547;0,1954181;2,856104;0,3919983;0,2492912;2,722386;0,4463128;0,2672489;2,682386;0,6498415;0,4881256;2,79761;0,8002021;0,6528091;2,71488;0,6864797;0,8256703;2,668922;0,6121785;0,8923832;2,650774;0,34864;0,1082238;2,770524;0,07545754;-0,1392311;2,501865;0,2175689;-0,5335544;2,50428;0,202949;-0,5715312;2,406553;0,5108199;0,07587866;2,738686;0,4454294;-0,4782967;2,706793;0,4235592;-0,8332707;2,696283;0,4073754;-0,9026685;2,609012; 
0,4591542;0,7345866;2,746737;0,4334953;0,1736267;2,76491;0,4446775;0,2313929;2,816082;0,4532824;0,5589023;2,800102;0,2909225;0,4487429;2,852242;0,2290793;0,1961193;2,855441;0,3913703;0,2475611;2,719798;0,4454673;0,2647083;2,679154;0,6499319;0,488367;2,797455;0,8008564;0,6525303;2,715259;0,6869394;0,825161;2,668781;0,6126192;0,8919274;2,6507;0,3489778;0,1082263;2,770085;0,07624531;-0,1392153;2,501255;0,2181103;-0,5337059;2,504549;0,2035743;-0,5716687;2,40682;0,5105938;0,07585482;2,738345;0,445558;-0,4782456;2,706782;0,4238341;-0,8333778;2,696333;0,4075199;-0,9026635;2,608313; 
0,4600787;0,7346994;2,74742;0,4338205;0,1733706;2,764343;0,4447379;0,2312417;2,815676;0,4535709;0,5593823;2,799942;0,2916792;0,449131;2,850215;0,2291343;0,1960235;2,855126;0,3913468;0,2473367;2,719335;0,4454176;0,2644411;2,678639;0,650308;0,4885348;2,79738;0,8010134;0,6525285;2,715211;0,6870583;0,8251675;2,668926;0,6126654;0,8923721;2,652592;0,3493234;0,1081215;2,768083;0,07583779;-0,1394349;2,500434;0,2180941;-0,5337957;2,505436;0,204043;-0,5717235;2,407636;0,5108556;0,07566133;2,738347;0,4456502;-0,47833;2,706769;0,4238693;-0,8335505;2,696501;0,4075819;-0,9026011;2,608677
