;0,2267366;0,7402894;2,753362;0,2170485;0,1156312;2,708618;0,2216924;0,176613;2,770321;0,2266584;0,5479771;2,785161;0,03995136;0,4397397;2,802508;-0,2031821;0,4526448;2,83691;-0,2347632;0,6728404;2,77094;-0,2262946;0,7565666;2,752767;0,4210908;0,4242445;2,776414;0,6339977;0,4389886;2,737908;0,6532872;0,6601573;2,755371;0,6336036;0,7762868;2,768772;0,1318018;0,03291836;2,69353;0,1283504;-0,4920692;2,742696;0,1419868;-0,8500386;2,711397;0,1291773;-0,9099823;2,637359;0,2987677;0,03078356;2,688801;0,3329095;-0,4772113;2,702374;0,3330108;-0,8451624;2,698042;0,3490176;-0,9040833;2,633413; 
0,4407908;0,7365953;2,693665;0,3891544;0,1306093;2,715408;0,4097542;0,1944026;2,762067;0,4423468;0,5509424;2,746007;0,2728229;0,4404355;2,788534;0,1956576;0,1807727;2,860219;0,163275;0,4026348;2,794058;0,1687477;0,4875742;2,774249;0,6195439;0,4210888;2,692849;0,8278669;0,4223318;2,618708;0,8154074;0,6582904;2,581105;0,7932869;0,7624199;2,577018;0,2978553;0,06554233;2,72753;-0,05854961;-0,1749454;2,650303;-0,1047082;-0,5868289;2,633507;-0,1743039;-0,6294131;2,620215;0,4609294;0,03727881;2,685242;0,3962146;-0,4668818;2,664448;0,3696828;-0,839383;2,683051;0,3547053;-0,9057453;2,621143; 
0,4418894;0,7379032;2,693266;0,3892282;0,1307732;2,714891;0,4097947;0,1945478;2,761509;0,4427659;0,5511125;2,74581;0,2730249;0,4405611;2,788409;0,1954311;0,1801874;2,857785;0,1628873;0,4015104;2,791824;0,1683581;0,4864214;2,772022;0,6201468;0,4211113;2,693226;0,8287435;0,4215457;2,620468;0,8160272;0,6583331;2,581988;0,7942506;0,7626635;2,579154;0,2977946;0,06573442;2,726711;-0,05789676;-0,1748982;2,646829;-0,1026227;-0,5870618;2,631272;-0,1738031;-0,6293552;2,619501;0,460931;0,0373707;2,68496;0,3958552;-0,4671797;2,664139;0,369616;-0,8394172;2,682981;0,3543324;-0,9068422;2,620469; 
0,4421694;0,7388006;2,692878;0,389248;0,1310692;2,714189;0,4098001;0,1947117;2,76094;0,4436136;0,5511886;2,745741;0,2734292;0,4405188;2,787734;0,195213;0,1803878;2,85715;0,1629783;0,4027507;2,790805;0,1684473;0,4876322;2,77101;0,6206766;0,4211278;2,69359;0,8294688;0,4216947;2,621918;0,8171585;0,6595973;2,583647;0,7949674;0,7631931;2,580034;0,2975632;0,06592491;2,725799;-0,05736762;-0,1751925;2,644358;-0,1023876;-0,5874672;2,629502;-0,1722694;-0,6296299;2,619696;0,4608085;0,03781019;2,684188;0,395657;-0,4639945;2,663147;0,3699491;-0,8388807;2,68295;0,3535449;-0,9038454;2,625363; 
0,4431798;0,7362832;2,694307;0,389983;0,1307414;2,713148;0,4103785;0,1943021;2,760265;0,4439361;0,5509486;2,745878;0,2736474;0,4404122;2,787206;0,1946911;0,1802514;2,855834;0,1622945;0,4020831;2,789692;0,1677615;0,4869354;2,769903;0,620648;0,4209274;2,693808;0,8296036;0,4213158;2,623085;0,8176197;0,6597937;2,585188;0,7957648;0,763173;2,581162;0,2984329;0,0653098;2,724131;-0,05670491;-0,1750671;2,641795;-0,1009568;-0,5875566;2,627794;-0,1713658;-0,6291984;2,619793;0,4615861;0,0378867;2,683207;0,3956604;-0,4636698;2,663015;0,3700573;-0,8387746;2,682962;0,3538433;-0,9037347;2,62507; 
0,4434794;0,7368416;2,694301;0,3900185;0,130799;2,712971;0,4104193;0,1943315;2,760235;0,4444079;0,55132;2,746066;0,2737789;0,4403858;2,786892;0,1936217;0,1802053;2,854363;0,1612606;0,4021642;2,788177;0,1667257;0,4869875;2,768396;0,6208545;0,4205733;2,693964;0,8298481;0,4213782;2,623593;0,818279;0,6602678;2,587114;0,7968717;0,7634676;2,58429;0,2983896;0,0653899;2,723867;-0,05609715;-0,1750666;2,639105;-0,1012719;-0,5875528;2,626808;-0,1714434;-0,6296623;2,619292;0,4616003;0,03793468;2,683074;0,3957439;-0,464489;2,663726;0,370024;-0,8390135;2,683069;0,3538261;-0,9046438;2,624183; 
0,4436004;0,7381049;2,694277;0,3898098;0,1307667;2,712681;0,4102744;0,1942771;2,760175;0,4444638;0,5513713;2,74609;0,273768;0,4401572;2,786788;0,1926164;0,1799419;2,853203;0,1602396;0,4018585;2,787035;0,1657027;0,4866494;2,767261;0,6211591;0,4204219;2,69433;0,83032;0,4210795;2,624961;0,8190696;0,6616677;2,588405;0,7971441;0,7635907;2,58457;0,2979726;0,06540558;2,723554;-0,05581924;-0,1754411;2,637338;-0,1016417;-0,5881062;2,622663;-0,1718871;-0,6304061;2,617668;0,4612791;0,0376886;2,682594;0,3959314;-0,4641447;2,663532;0,3700902;-0,838882;2,682922;0,3527496;-0,9025482;2,633988; 
0,4440348;0,7384241;2,694587;0,3899041;0,1310708;2,712269;0,4103198;0,1945555;2,759959;0,4450127;0,5517771;2,745965;0,2737343;0,440055;2,786652;0,1925035;0,1796165;2,852264;0,1600747;0,4013663;2,786159;0,1655356;0,4861243;2,766392;0,621907;0,4206892;2,695396;0,8309733;0,4214686;2,625721;0,8193571;0,6622303;2,590929;0,7970217;0,7634944;2,585246;0,2978778;0,0655771;2,722846;-0,05537581;-0,1753955;2,635093;-0,1019446;-0,588102;2,62163;-0,173164;-0,6286553;2,616478;0,4613533;0,03796518;2,682406;0,395856;-0,4631996;2,663381;0,3699749;-0,8381573;2,682565;0,3524604;-0,9022053;2,634249; 
0,4441482;0,7397647;2,694812;0,3896303;0,1310454;2,711975;0,410138;0,1944805;2,760003;0,4451793;0,5520837;2,746328;0,2739519;0,4397488;2,786137;0,1917029;0,1794906;2,851241;0,1592358;0,4011309;2,785179;0,1646948;0,485858;2,765419;0,6220307;0,4207819;2,695685;0,8312637;0,4218709;2,627036;0,8194473;0,6623619;2,592149;0,7970831;0,7639226;2,586471;0,2974596;0,06560344;2,722324;-0,05532357;-0,1755914;2,633728;-0,1021135;-0,5884607;2,619394;-0,1731998;-0,6292517;2,614504;0,4609161;0,03798347;2,682092;0,3956697;-0,4644798;2,664196;0,3692258;-0,8396739;2,682065;0,3528745;-0,9072148;2,618817; 
0,4443861;0,7404519;2,695116;0,3895981;0,1310698;2,7119;0,4100734;0,1944415;2,760179;0,4454585;0,5521579;2,746557;0,2737606;0,4395263;2,785512;0,1915997;0,1793733;2,850865;0,1591099;0,400941;2,784835;0,1645668;0,4856353;2,765083;0,6221031;0,4207326;2,695911;0,8316092;0,4216959;2,628871;0,8199579;0,6631822;2,59385;0,7975648;0,7635495;2,586609;0,2973132;0,06563771;2,722165;-0,05494785;-0,1757238;2,632241;-0,1022849;-0,5886788;2,618087;-0,1733079;-0,6295953;2,613576;0,4608802;0,03799251;2,682032;0,3955169;-0,465364;2,664921;0,3692204;-0,8399502;2,681942;0,3532662;-0,9073416;2,61825; 
0,4445769;0,7411902;2,695458;0,3892496;0,1307302;2,711815;0,4098671;0,1941474;2,760362;0,4455961;0,5520967;2,746797;0,2737698;0,4395325;2,785377;0,1905532;0,1792786;2,849384;0,1579795;0,4005968;2,783442;0,1634344;0,4852591;2,763697;0,6222845;0,4206336;2,696191;0,8320085;0,4218341;2,630527;0,8202689;0,6632813;2,594583;0,7974966;0,7638822;2,58722;0,2970254;0,06561288;2,721996;-0,05453095;-0,1760105;2,630362;-0,10254;-0,5890245;2,616652;-0,172727;-0,6309788;2,609565;0,4599629;0,03684467;2,682076;0,3952486;-0,463375;2,665355;0,3696968;-0,8399935;2,682018;0,3542432;-0,9073508;2,616229; 
