;-0,08800823;0,3489889;2,582928;-0,07069919;-0,1964668;2,49554;-0,07664509;-0,1457094;2,548035;-0,08882111;0,1638025;2,555418;-0,2699724;0,08033293;2,567891;-0,5400248;0,0625504;2,615239;-0,7566285;0,0977302;2,578165;-0,8257295;0,1052578;2,56849;0,09756464;0,09067841;2,593672;0,3708794;0,07158045;2,64822;0,5905683;0,09339254;2,631107;0,6597188;0,08916996;2,642315;-0,1477068;-0,280371;2,471674;-0,1546925;-0,6474419;2,384793;-0,1253881;-0,9134805;2,367908;-0,173222;-0,9777348;2,367613;0,01446417;-0,2754993;2,487388;0,03758957;-0,6553002;2,392305;0,008618591;-0,9153869;2,364157;0,05948459;-0,9727455;2,340932; 
-0,08771115;0,3487875;2,583491;-0,07070377;-0,1964584;2,495566;-0,07663493;-0,1457283;2,548055;-0,08900366;0,1633703;2,555428;-0,2700046;0,08041277;2,568122;-0,5400128;0,06243703;2,615225;-0,7563635;0,09740281;2,578066;-0,8253781;0,104921;2,568402;0,09755383;0,09075274;2,593729;0,3706563;0,07157055;2,648475;0,5900622;0,09345669;2,631292;0,6591262;0,08923966;2,642486;-0,1476938;-0,2803754;2,471666;-0,1547366;-0,6475071;2,384794;-0,1254082;-0,9134805;2,367896;-0,1723592;-0,9782821;2,368377;0,01445595;-0,2754655;2,487466;0,03753284;-0,6552598;2,392234;0,008516666;-0,9153722;2,364293;0,05763026;-0,9748511;2,342986; 
-0,08770814;0,3487508;2,583491;-0,07079527;-0,1963355;2,495704;-0,07665435;-0,1456207;2,548173;-0,08901694;0,1633653;2,555436;-0,2702186;0,08059565;2,56862;-0,5398327;0,06230588;2,615229;-0,7558615;0,09716266;2,577458;-0,8247895;0,1046714;2,567807;0,09753967;0,09077199;2,593746;0,3702406;0,0713705;2,64843;0,5893862;0,09323794;2,631375;0,6583635;0,08902646;2,642555;-0,1478012;-0,2802546;2,471771;-0,1545715;-0,6476138;2,38482;-0,1254468;-0,9136679;2,367884;-0,1733605;-0,9776656;2,367075;0,01438356;-0,275396;2,487589;0,03741915;-0,6554138;2,392356;0,008534668;-0,9152831;2,364372;0,05256977;-0,9792818;2,345474; 
-0,08767357;0,3486573;2,583565;-0,07071071;-0,1961017;2,495905;-0,07663062;-0,1454566;2,548337;-0,08909477;0,1633091;2,55551;-0,2702506;0,08064235;2,568751;-0,5397559;0,06224535;2,615178;-0,7555114;0,09698731;2,577222;-0,8243551;0,1044868;2,567583;0,09782568;0,09088815;2,594061;0,3701215;0,07131254;2,648444;0,5891594;0,09164603;2,631919;0,6580523;0,08744033;2,643086;-0,1477075;-0,2801059;2,471848;-0,1545018;-0,647527;2,384904;-0,1254497;-0,9136358;2,367996;-0,1729047;-0,9778826;2,367361;0,01454865;-0,2752516;2,487813;0,03755535;-0,6554123;2,392417;0,008622331;-0,9152107;2,364434;0,05963462;-0,9728071;2,342977; 
-0,08764412;0,3488341;2,583725;-0,07046304;-0,1960305;2,496118;-0,07645011;-0,1453581;2,548523;-0,08910114;0,1633878;2,555567;-0,270226;0,08065747;2,568812;-0,5396789;0,06219133;2,615096;-0,7550637;0,09682213;2,57607;-0,8238283;0,104313;2,566442;0,09787247;0,09087731;2,594174;0,3701157;0,07128632;2,648722;0,5889874;0,09062178;2,632115;0,6578011;0,08642128;2,643269;-0,1474935;-0,2800992;2,471939;-0,1546711;-0,6472737;2,385014;-0,125466;-0,9134127;2,367878;-0,1729168;-0,977578;2,367188;0,01507983;-0,2750863;2,488285;0,03786287;-0,6546283;2,392436;0,009072294;-0,9149922;2,364624;0,04597242;-0,9846839;2,352348; 
-0,08758296;0,3488696;2,583857;-0,07048553;-0,1959332;2,496311;-0,07652926;-0,1452846;2,548692;-0,08911952;0,1633234;2,555644;-0,2701919;0,08062425;2,568989;-0,5396721;0,06217892;2,615098;-0,754658;0,09718476;2,575494;-0,8233378;0,1046664;2,565878;0,09808952;0,09100904;2,59488;0,3695144;0,07112509;2,648784;0,5880909;0,09087535;2,632357;0,6568197;0,08668024;2,643497;-0,147508;-0,2800016;2,472066;-0,1547348;-0,6471975;2,385057;-0,1255637;-0,9129941;2,367765;-0,1745423;-0,9758205;2,364376;0,01505757;-0,2750527;2,488483;0,03780333;-0,6546971;2,392464;0,009114491;-0,9148596;2,364529;0,04485002;-0,9850114;2,35191; 
-0,08754087;0,3487362;2,583919;-0,07041536;-0,1959794;2,496495;-0,07644327;-0,1453203;2,5489;-0,08889762;0,1634266;2,555968;-0,2699493;0,0805937;2,569047;-0,5396791;0,06217602;2,615094;-0,7543532;0,09725963;2,575188;-0,8229533;0,1047326;2,565583;0,09807028;0,09098045;2,594989;0,3694981;0,07116687;2,649008;0,5878198;0,09089263;2,632544;0,6564688;0,08670247;2,643672;-0,1474457;-0,2799692;2,472151;-0,1547323;-0,6471896;2,385096;-0,1254407;-0,9128505;2,36778;-0,1712404;-0,9779733;2,364984;0,0150645;-0,2750992;2,488739;0,03773561;-0,6546593;2,392524;0,008933898;-0,9146646;2,364537;0,04732309;-0,9826171;2,348563; 
-0,08751731;0,3487023;2,583892;-0,07036394;-0,1958348;2,496734;-0,07643398;-0,1451782;2,549137;-0,08881336;0,1634827;2,556142;-0,2699032;0,08054619;2,569238;-0,5397289;0,06213427;2,615038;-0,7539693;0,09767069;2,574312;-0,8224893;0,1051349;2,564718;0,09848614;0,09122343;2,595694;0,3690507;0,07083815;2,649103;0,587031;0,09165825;2,633131;0,6556;0,08747318;2,644245;-0,1474678;-0,2798837;2,472324;-0,1546645;-0,647077;2,385172;-0,1254762;-0,9128997;2,367814;-0,1706817;-0,9781002;2,361367;0,01516525;-0,275009;2,48894;0,03774765;-0,6545892;2,392631;0,008767153;-0,9145555;2,364548;0,04640034;-0,9827071;2,347955; 
-0,08748177;0,3485364;2,584134;-0,07035469;-0,1956786;2,496923;-0,07651492;-0,1450399;2,549268;-0,08884408;0,1634892;2,556127;-0,2698726;0,08056346;2,569273;-0,5397303;0,06203733;2,614925;-0,7535549;0,09802496;2,573517;-0,821996;0,1054806;2,563934;0,09892799;0,09129375;2,596388;0,3691738;0,07094745;2,649231;0,58689;0,0919724;2,633258;0,65538;0,08779228;2,64436;-0,1474871;-0,279831;2,472406;-0,1547006;-0,6468865;2,385295;-0,125678;-0,9125856;2,367731;-0,1707757;-0,9777862;2,361292;0,01529163;-0,2748509;2,4893;0,03776028;-0,6544273;2,392652;0,008847622;-0,9145288;2,36456;0,04665464;-0,9826726;2,348641; 
-0,08711734;0,3477615;2,584352;-0,07034522;-0,1954987;2,497175;-0,0765789;-0,1448981;2,549545;-0,08912858;0,1635643;2,556588;-0,2699108;0,08067307;2,569519;-0,5398205;0,06197239;2,614864;-0,753298;0,09832107;2,573202;-0,8216599;0,105768;2,56363;0,0991803;0,09118113;2,596926;0,3690252;0,07085884;2,64972;0,5864687;0,09205289;2,633195;0,6548793;0,08787768;2,644284;-0,1474798;-0,2797193;2,472474;-0,154723;-0,6469837;2,385425;-0,1257249;-0,9127492;2,367682;-0,1706424;-0,9781117;2,36255;0,01540524;-0,2747713;2,489588;0,03776107;-0,6544254;2,392644;0,00894337;-0,9143299;2,36439;0,05839057;-0,9716453;2,340181; 
