;0,04272387;0,6786088;3,29684;0,04853604;0,1002489;3,219619;0,05202595;0,1552034;3,279234;0,04235083;0,4991152;3,305498;-0,1145115;0,402019;3,31316;-0,2195002;0,6539761;3,16381;-0,2433284;0,8703244;3,08087;-0,2512711;0,9424406;3,05772;0,2046111;0,4473738;3,293265;0,3655527;0,6358213;3,182367;0,3844635;0,9205882;3,078591;0,389271;1,014687;3,046736;-0,02438399;0,01969041;3,208627;-0,06544723;-0,5023596;3,241241;-0,0636376;-0,8869575;3,226555;-0,07477126;-0,9557016;3,165531;0,1245936;0,03256231;3,195351;0,1735748;-0,4846767;3,188478;0,1787387;-0,8475816;3,186641;0,2045834;-0,9421841;3,135938; 
0,06114694;0,6815771;3,276194;0,0643988;0,09563903;3,224596;0,07097441;0,1512277;3,282872;0,07548059;0,4937239;3,29785;-0,1051913;0,4046175;3,313796;-0,1299697;0,155483;3,267282;-0,1283507;-0,07645819;3,146688;-0,1156179;-0,1397665;3,117465;0,2305993;0,4398997;3,284611;0,3891692;0,6335409;3,170584;0,4074306;0,9142261;3,055147;0,4126773;0,9990519;3,03163;-0,01325434;0,01571126;3,214149;-0,05519816;-0,5041889;3,211396;-0,05959603;-0,8894293;3,220882;-0,07402168;-0,9572317;3,165876;0,1402643;0,02718616;3,202069;0,1844;-0,4831283;3,175498;0,1790345;-0,8508033;3,180169;0,2039772;-0,9437304;3,130759; 
0,06923878;0,6792735;3,269713;0,06878853;0,09662231;3,225803;0,07380237;0,1520242;3,28343;0,07612189;0,4926247;3,296372;-0,09862188;0,4058767;3,311345;-0,1273897;0,1584714;3,268678;-0,1257477;-0,07253288;3,14958;-0,1133233;-0,1353567;3,119488;0,2409263;0,440542;3,286212;0,3917964;0,6349958;3,169364;0,4133473;0,9151735;3,053325;0,4188497;0,9968656;3,029261;-0,009939271;0,01728625;3,214766;-0,04867801;-0,5038335;3,192288;-0,05723603;-0,8890747;3,216037;-0,07286657;-0,957297;3,161128;0,1479161;0,02621815;3,205979;0,1868201;-0,4825116;3,173759;0,1790342;-0,850894;3,179489;0,2020606;-0,942839;3,130108; 
0,07487473;0,6771439;3,26459;0,07850481;0,09625124;3,227822;0,08306845;0,1520595;3,284608;0,08173743;0,4909409;3,293597;-0,09301221;0,4037662;3,310057;-0,1164382;0,15226;3,272459;-0,1180751;-0,07071074;3,15202;-0,1069068;-0,1332961;3,121063;0,2496164;0,4385296;3,285455;0,4027518;0,6329293;3,163733;0,4291305;0,9076325;3,053701;0,4250371;0,9933423;3,026626;0,0008763168;0,01694054;3,21675;-0,04294128;-0,5051531;3,165534;-0,05410399;-0,8884327;3,197736;-0,074683;-0,9603005;3,157485;0,156425;0,02433838;3,209294;0,1908979;-0,4823783;3,172624;0,1801946;-0,8509532;3,179077;0,2012255;-0,9424111;3,129714; 
0,0825731;0,676012;3,265849;0,08646141;0,09730217;3,231072;0,09269802;0,1537788;3,287274;0,09493763;0,4923765;3,292012;-0,08208677;0,4026539;3,311623;-0,1077063;0,1472454;3,27698;-0,1131625;-0,06842206;3,156424;-0,1022604;-0,130736;3,125075;0,2594111;0,439615;3,282513;0,4184577;0,6446865;3,157039;0,4365357;0,917883;3,048033;0,4302486;0,991872;3,025542;0,01153206;0,01747183;3,2262;-0,04125426;-0,4948642;3,11409;-0,05549838;-0,8881627;3,191639;-0,0763657;-0,9588141;3,149514;0,1605033;0,02475654;3,209557;0,1947003;-0,4824769;3,173502;0,1812559;-0,8510054;3,177963;0,2011377;-0,942803;3,129767; 
0,09893453;0,6743673;3,257068;0,09494928;0,09348482;3,234456;0,1009319;0,151019;3,289856;0,09938998;0,4908737;3,291605;-0,0652681;0,3972984;3,310761;-0,0968943;0,1424288;3,284775;-0,1072792;-0,07010646;3,162099;-0,09670132;-0,132136;3,130353;0,2673357;0,4371205;3,280204;0,4220742;0,6452865;3,157742;0,4417769;0,9240595;3,044028;0,4383593;0,9938941;3,022471;0,01909502;0,0151835;3,228668;-0,03923152;-0,4778198;3,091838;-0,06131259;-0,8805431;3,161574;-0,07895658;-0,9509262;3,117657;0,1693955;0,02099562;3,214757;0,2007572;-0,4820075;3,175222;0,1826196;-0,8507847;3,178513;0,2008034;-0,9429504;3,129601; 
0,1077734;0,6710945;3,251693;0,09975277;0,09280257;3,237412;0,1072821;0,1507313;3,292355;0,1140325;0,4899357;3,289782;-0,058517;0,3972419;3,312708;-0,0900462;0,1419527;3,292864;-0,1019984;-0,0717129;3,163966;-0,1001127;-0,1529957;3,113645;0,274005;0,4361894;3,279435;0,4267104;0,6454986;3,154978;0,4441119;0,9249439;3,040664;0,4447803;0,993759;3,019552;0,02152718;0,01539852;3,23217;-0,03769853;-0,4565038;3,057946;-0,06106461;-0,8624451;3,153463;-0,08086272;-0,9412375;3,112035;0,1748512;0,01971333;3,218043;0,205956;-0,4799266;3,178475;0,1841326;-0,8502713;3,178684;0,2005254;-0,9427619;3,129285; 
0,1123094;0,6696556;3,250253;0,1057578;0,09501854;3,241586;0,1137311;0,1528009;3,296121;0,1179423;0,4901464;3,292023;-0,05205108;0,3963607;3,316747;-0,07931336;0,1345789;3,301692;-0,0985634;-0,07113861;3,170238;-0,09997985;-0,1491884;3,114535;0,2795578;0,4354678;3,280377;0,431382;0,6391803;3,155701;0,4467035;0,9198394;3,039051;0,4491644;0,9893415;3,015115;0,0288757;0,01882937;3,241642;-0,03367537;-0,4389208;3,03888;-0,06665333;-0,838723;3,115843;-0,08984865;-0,9179461;3,067817;0,1793056;0,02093561;3,218933;0,2103716;-0,4813332;3,180174;0,1858284;-0,8515255;3,180302;0,1998913;-0,9425024;3,130211; 
0,1208241;0,6696678;3,253681;0,1086664;0,09574945;3,244293;0,1175344;0,1535445;3,298176;0,1197266;0,4897211;3,292476;-0,03842362;0,3974376;3,322185;-0,07669467;0,1338033;3,303619;-0,09730653;-0,07189628;3,170175;-0,09837402;-0,1498984;3,114079;0,2842058;0,4363162;3,279825;0,4361655;0,640559;3,153498;0,4506431;0,9215001;3,037218;0,4504191;0,9891923;3,015738;0,03306754;0,02168999;3,248695;-0,02783177;-0,3883585;3,006246;-0,06618333;-0,7938016;3,101545;-0,08683558;-0,8661763;3,062658;0,1812304;0,02117189;3,219595;0,2136156;-0,4818869;3,182367;0,1864689;-0,850509;3,180933;0,1998372;-0,9422046;3,130327; 
0,1284238;0,6692476;3,256605;0,1144275;0,09560354;3,247164;0,124529;0,1535915;3,30057;0,1327311;0,4883463;3,291437;-0,03334562;0,397684;3,323135;-0,07157101;0,1322186;3,308044;-0,09810219;-0,06896159;3,179695;-0,1000507;-0,1454502;3,121356;0,2874188;0,4362918;3,279458;0,4434243;0,6401857;3,151346;0,4538073;0,9208099;3,033391;0,4520722;0,9882035;3,010748;0,03693693;0,02386621;3,250401;-0,02147918;-0,3382353;2,993016;-0,06013174;-0,7344546;3,116333;-0,07757719;-0,8036836;3,070879;0,1870967;0,01991133;3,2242;0,2148711;-0,4818792;3,182772;0,1873962;-0,8497925;3,181358;0,1995764;-0,9420679;3,130408; 
0,1329869;0,6717971;3,2586;0,1197258;0,09785087;3,249865;0,1301873;0,1554846;3,302628;0,1398355;0,4866885;3,290789;-0,02921746;0,3973867;3,325012;-0,065935;0,1267358;3,309999;-0,09709628;-0,06842888;3,192699;-0,1032928;-0,1486458;3,139652;0,3004162;0,4374352;3,279533;0,4487962;0,6350088;3,155966;0,4589257;0,9133162;3,031731;0,4556389;0,9887916;3,005529;0,04040501;0,0270993;3,25261;-0,01685906;-0,3173286;2,980464;-0,0626797;-0,6636586;3,138008;-0,07050241;-0,735715;3,093807;0,19246;0,01995088;3,227406;0,2161857;-0,4801438;3,184695;0,1883381;-0,8492645;3,181681;0,1988792;-0,9416537;3,130865; 
