;0,2009896;0,7575466;2,790836;0,1883184;0,1710581;2,729622;0,1892848;0,2252947;2,792035;0,1939778;0,5724201;2,814426;0,02176743;0,5316928;2,807373;-0,09681331;0,7196645;2,71367;-0,1659034;0,928634;2,620471;-0,198219;1,016791;2,594926;0,3801166;0,51631;2,808187;0,5007383;0,7160504;2,74929;0,5998875;0,9565068;2,702802;0,6319016;1,050277;2,684123;0,1081965;0,09460925;2,70949;0,1018179;-0,4794974;2,740687;0,1207044;-0,8431223;2,705684;0,1018073;-0,9038495;2,623603;0,2648878;0,09078791;2,711513;0,2950819;-0,4735515;2,711485;0,2901785;-0,846811;2,697526;0,301337;-0,9050061;2,636201; 
0,2002006;0,7571366;2,790286;0,1883165;0,1711867;2,729621;0,1892027;0,2254012;2,79202;0,1939767;0,5724344;2,814358;0,02134466;0,5311588;2,807658;-0,09740485;0,718494;2,714293;-0,1677453;0,9279644;2,62001;-0,1999449;1,015922;2,59492;0,3794893;0,5173823;2,809212;0,4997924;0,7169228;2,750057;0,5983356;0,9554081;2,704891;0,6322166;1,051266;2,684382;0,1082893;0,0946916;2,709526;0,1017111;-0,4795645;2,740597;0,1207175;-0,8431284;2,705673;0,1014376;-0,9041441;2,622791;0,2648492;0,09103759;2,711474;0,294862;-0,4732528;2,711188;0,2902283;-0,8466845;2,697437;0,3007244;-0,904106;2,639975; 
0,2000497;0,7571942;2,789793;0,1882714;0,1711085;2,729531;0,1890554;0,2254145;2,79187;0,1931023;0,5722189;2,813217;0,02133518;0,5310841;2,807639;-0,09827517;0,7181583;2,713887;-0,1688013;0,9279068;2,619282;-0,2007056;1,015552;2,594581;0,3792886;0,5174971;2,809165;0,4991146;0,7166665;2,750537;0,5977392;0,956615;2,706047;0,6321555;1,052854;2,685825;0,1083765;0,09466031;2,709508;0,1014029;-0,479979;2,740455;0,1206933;-0,8434335;2,705813;0,1014168;-0,9041759;2,622764;0,2648067;0,09096294;2,711404;0,2947653;-0,4735624;2,711096;0,290095;-0,8475563;2,697135;0,3021433;-0,9059972;2,626606; 
0,1992011;0,7567326;2,78896;0,1881179;0,171296;2,729529;0,1887839;0,2256676;2,791829;0,1925558;0,5723331;2,812741;0,02090395;0,5313261;2,807857;-0,1049929;0,7275066;2,707767;-0,1695515;0,9278333;2,618922;-0,2013942;1,015387;2,594445;0,3791909;0,5176116;2,809407;0,4985646;0,716619;2,750935;0,5975828;0,9567581;2,706745;0,6293882;1,050726;2,688801;0,1083759;0,09471221;2,709494;0,1014226;-0,4797488;2,740349;0,1206762;-0,8438336;2,705896;0,1012674;-0,904108;2,622825;0,2646763;0,09110199;2,711474;0,2945821;-0,4725895;2,710727;0,2883199;-0,8470752;2,697989;0,2963993;-0,9068434;2,642577; 
0,1989819;0,7545518;2,789001;0,1880466;0,1713842;2,729514;0,1885803;0,2257005;2,791797;0,1921438;0,5716653;2,812562;0,02086783;0,5313705;2,807903;-0,1037157;0,7223549;2,709067;-0,1699942;0,9276017;2,618671;-0,2018691;1,014921;2,594164;0,3789894;0,5179481;2,810097;0,4979924;0,7162361;2,751111;0,5971991;0,9580472;2,707321;0,6294971;1,05161;2,68887;0,1083577;0,09483962;2,709284;0,1014221;-0,4797689;2,740257;0,1207138;-0,8442816;2,705827;0,100876;-0,9043871;2,622805;0,2646347;0,09124026;2,711646;0,2947803;-0,472374;2,710675;0,2893465;-0,8477797;2,698342;0,2973436;-0,9069579;2,642313; 
0,1989379;0,7539281;2,788935;0,1878337;0,1716615;2,729243;0,1883143;0,2259139;2,791493;0,1918635;0,5713966;2,811976;0,02067535;0,5313231;2,807908;-0,1037328;0,7209915;2,709646;-0,1703987;0,9269908;2,617981;-0,2022983;1,014656;2,593829;0,3788772;0,5180066;2,810071;0,4977098;0,716367;2,75108;0,5970248;0,9579759;2,707576;0,6301681;1,052569;2,688887;0,1080511;0,09512632;2,708853;0,1013388;-0,4797724;2,74015;0,1206762;-0,8439473;2,705572;0,1011796;-0,9044017;2,623442;0,2646186;0,09141921;2,711537;0,294693;-0,4722134;2,710535;0,2892651;-0,8477914;2,698315;0,2975629;-0,9069995;2,642385; 
0,1985732;0,7538715;2,787704;0,1876513;0,1718594;2,729219;0,1880245;0,2260983;2,791452;0,1915879;0,5714452;2,811901;0,02044767;0,5313889;2,807875;-0,1036734;0,720919;2,709702;-0,1705102;0,9269957;2,617904;-0,2025327;1,014393;2,593215;0,3787489;0,5184299;2,810341;0,4975101;0,7162927;2,751329;0,5969521;0,9580293;2,707839;0,6291368;1,051493;2,688709;0,1079856;0,09530052;2,708718;0,1012126;-0,4794105;2,739464;0,1215502;-0,8436041;2,705072;0,1012049;-0,9041564;2,622466;0,2644844;0,09153239;2,711614;0,2945414;-0,4722912;2,710583;0,2894797;-0,8476573;2,698233;0,2977887;-0,9072836;2,642776; 
0,1980551;0,7540363;2,787846;0,1876003;0,1718643;2,7292;0,1878069;0,2260482;2,791437;0,1911865;0,5712836;2,812181;0,0204652;0,531303;2,807814;-0,1033728;0,7189684;2,710416;-0,1706918;0,9268585;2,617779;-0,202687;1,014376;2,593294;0,3785349;0,5182665;2,810886;0,4971129;0,7155015;2,751783;0,597591;0,959753;2,707877;0,6288406;1,05103;2,688777;0,1080705;0,09531751;2,708564;0,1008999;-0,4796245;2,739379;0,1215441;-0,8445185;2,705115;0,1009921;-0,9039848;2,622153;0,2643428;0,09160823;2,711661;0,2945818;-0,4722411;2,710589;0,2893835;-0,8482488;2,69785;0,2982;-0,9077991;2,642417; 
0,1981418;0,7538257;2,787179;0,1875446;0,1718348;2,729093;0,1876354;0,2260137;2,791302;0,1911847;0,571157;2,811948;0,02054667;0,5311697;2,807551;-0,1035357;0,71872;2,710474;-0,1708417;0,926827;2,617738;-0,2029923;1,014218;2,592682;0,378793;0,5186672;2,811389;0,4971724;0,7155562;2,751863;0,5976989;0,9597911;2,708151;0,6287115;1,050546;2,689118;0,1080614;0,09524944;2,708541;0,1007251;-0,4796624;2,739312;0,1215808;-0,8444155;2,70516;0,1007494;-0,903891;2,622527;0,2642581;0,09162576;2,711401;0,2945623;-0,4722457;2,71062;0,2894228;-0,8481151;2,69774;0,2984647;-0,9075936;2,642293; 
0,1980829;0,7539889;2,787326;0,1874625;0,1718417;2,729061;0,1875364;0,2260238;2,791279;0,1912435;0,5714556;2,81214;0,02041457;0,531288;2,807871;-0,1032245;0,7178844;2,711283;-0,1709108;0,9267414;2,617787;-0,202961;1,014011;2,592291;0,3784596;0,5184965;2,81173;0,5010058;0,7216784;2,752171;0,5978492;0,9598932;2,70849;0,6287837;1,050348;2,689759;0,1080524;0,0952888;2,708483;0,1007138;-0,4796983;2,739228;0,1215558;-0,8444651;2,705182;0,1015837;-0,9044136;2,622556;0,2640261;0,09163428;2,711379;0,2942333;-0,4718388;2,710223;0,2895092;-0,8481435;2,697693;0,2986204;-0,907761;2,642436; 
0,1974473;0,7504038;2,788339;0,1873858;0,1716774;2,729012;0,1873935;0,2257226;2,791212;0,190634;0,5704237;2,812056;0,02064811;0,5300545;2,807854;-0,1031976;0,7173716;2,711357;-0,1710861;0,9263365;2,61772;-0,2030419;1,01361;2,591989;0,3784686;0,5184829;2,811774;0,5009794;0,7212548;2,752526;0,5983855;0,9601976;2,708828;0,6313318;1,052172;2,691853;0,1081133;0,09515464;2,708345;0,1006524;-0,4796508;2,739202;0,1214572;-0,8441815;2,705489;0,1018141;-0,9043753;2,622629;0,2639647;0,09148973;2,711401;0,2944227;-0,471312;2,709983;0,2896213;-0,8480688;2,69777;0,2984391;-0,9076954;2,642504; 
