;0,1829087;0,7190144;2,331349;0,2037767;0,1447786;2,273301;0,2079627;0,1962479;2,333147;0,2037546;0,5250817;2,34717;-0,00446295;0,4334418;2,370386;-0,2028933;0,5090106;2,36509;-0,04741763;0,6536506;2,32906;0,001623999;0,6946435;2,328655;0,4123772;0,4621201;2,342856;0,6107945;0,5371014;2,339576;0,4370778;0,6611984;2,326395;0,3636332;0,6971632;2,35452;0,1106246;0,0484359;2,261105;0,1061531;-0,4672254;2,277179;0,09561878;-0,8170792;2,285113;0,06416272;-0,8836568;2,239167;0,2966385;0,05671304;2,242834;0,3274864;-0,4619536;2,266166;0,341219;-0,8101918;2,26676;0,3673567;-0,8664125;2,213098; 
0,3161225;0,7266664;2,274371;0,3022607;0,131378;2,222385;0,3158109;0,1878946;2,279744;0,3376937;0,5294363;2,28139;0,1537472;0,419533;2,311569;0,07849871;0,2653711;2,417829;0,1437391;0,4521519;2,301986;0,1927466;0,4931353;2,301573;0,5214202;0,4473979;2,26032;0,7000248;0,5604635;2,224088;0,5399719;0,6972201;2,231124;0,4665643;0,7331668;2,259235;0,220747;0,06000086;2,226983;0,02647451;-0,3133235;2,162158;0,298363;-0,3994186;2,136554;0,2548934;-0,4887397;2,132042;0,3696437;0,03592873;2,187487;0,3038691;-0,469069;2,225334;0,2942433;-0,8015171;2,223205;0,3019583;-0,8545971;2,172955; 
0,3160645;0,7267458;2,274425;0,3026616;0,1309735;2,221868;0,3156423;0,1875931;2,279406;0,3375503;0,5294337;2,281326;0,1561076;0,4181259;2,308011;0,100869;0,2543274;2,418878;0,1566439;0,4468871;2,3013;0,205649;0,4878686;2,300887;0,5214624;0,4476793;2,260526;0,700108;0,5605111;2,225374;0,5374023;0,6920976;2,241678;0,4639982;0,7280425;2,269788;0,2216377;0,05963369;2,225505;0,0269327;-0,3133351;2,161677;0,29854;-0,3995625;2,136765;0,2548204;-0,488777;2,132055;0,369962;0,03595748;2,187412;0,3041604;-0,4713587;2,225337;0,2951283;-0,800475;2,22304;0,3019684;-0,8543985;2,173542; 
0,3160066;0,7266527;2,274489;0,3034143;0,1298418;2,220758;0,3159546;0,1868274;2,27864;0,3374164;0,5296996;2,281312;0,1572731;0,4170781;2,306525;0,1086879;0,2492815;2,420482;0,1661651;0,4413673;2,302547;0,2151682;0,4823472;2,302134;0,5215034;0,4476199;2,260725;0,7000632;0,5603909;2,226082;0,5412689;0,6976837;2,236361;0,4678678;0,7336272;2,26447;0,2230264;0,0585183;2,223058;0,02662425;-0,313579;2,161418;0,1671581;-0,5588388;2,168652;0,1487214;-0,6558988;2,156939;0,3704962;0,0356515;2,187125;0,3041773;-0,4714499;2,225231;0,2952347;-0,8004084;2,222961;0,3023355;-0,8542916;2,173429; 
0,3156208;0,7266888;2,274472;0,3036984;0,1293181;2,220035;0,3160616;0,1864219;2,278064;0,3363284;0,5299693;2,281212;0,1577439;0,4173285;2,306682;0,1232844;0,2374151;2,423334;0,1811403;0,4296833;2,304986;0,2301415;0,4706616;2,304573;0,5215892;0,4476166;2,260806;0,700008;0,5604408;2,226601;0,540952;0,697516;2,23544;0,4675537;0,733458;2,263547;0,2234482;0,05809125;2,221879;0,02680871;-0,3137283;2,161034;0,1314499;-0,5763567;2,16552;0,09384207;-0,6656849;2,142943;0,371134;0,03543857;2,186661;0,304487;-0,4725532;2,225202;0,2958183;-0,7998326;2,222904;0,3024781;-0,8541831;2,173791; 
0,3149054;0,7255653;2,274266;0,3043002;0,1282729;2,219045;0,3166909;0,1854966;2,277202;0,3366261;0,530021;2,281158;0,159072;0,416941;2,30669;0,1298782;0,23429;2,417235;0,1878722;0,4266025;2,298706;0,2368715;0,4675791;2,298293;0,5215538;0,4474874;2,260935;0,6998091;0,5603696;2,226717;0,5414423;0,698164;2,235028;0,4680468;0,7341047;2,263134;0,22393;0,05757827;2,221261;-0,102192;-0,1961713;2,117164;0,1100411;-0,4070494;2,157902;0,1002444;-0,4368476;2,077259;0,3716321;0,03493961;2,185589;0,3052876;-0,4776933;2,225758;0,2959397;-0,7998722;2,223018;0,3032356;-0,854367;2,174166; 
0,3144878;0,7262202;2,274402;0,304275;0,1282374;2,218918;0,3167144;0,1854908;2,277071;0,3367684;0,5305448;2,281126;0,160714;0,4162078;2,306575;0,1326406;0,2324815;2,413496;0,1906459;0,4248316;2,294933;0,2396429;0,4658064;2,29452;0,5216839;0,4474391;2,260991;0,6997347;0,5605256;2,226759;0,5386002;0,6937324;2,241275;0,4652082;0,7296714;2,26938;0,2238733;0,05767518;2,221223;-0,1018696;-0,1961809;2,117386;0,005787857;-0,4551633;2,136342;0,1032959;-0,4556519;2,156157;0,3716092;0,03491694;2,185299;0,305609;-0,4834422;2,226811;0,2974745;-0,7991675;2,222799;0,3033368;-0,8541434;2,1743; 
0,3138726;0,7263309;2,274324;0,3044959;0,1280537;2,218685;0,3169893;0,1853403;2,276843;0,3367984;0,5306699;2,281126;0,1615434;0,4159422;2,306974;0,1341971;0,2312878;2,412436;0,1922013;0,4236594;2,293866;0,2411961;0,4646323;2,293453;0,521693;0,4473766;2,260932;0,6997681;0,5607079;2,226135;0,5368197;0,6914564;2,240947;0,4634311;0,7273937;2,26905;0,2242464;0,05754703;2,221108;-0,1016811;-0,1958571;2,117976;0,10246;-0,4073584;2,161052;0,09249358;-0,4371493;2,080438;0,3717952;0,03495417;2,184942;0,3056362;-0,4834061;2,226799;0,2977857;-0,7993217;2,222878;0,3038751;-0,8543758;2,174503; 
0,3125156;0,7278532;2,274741;0,304796;0,1279208;2,218515;0,3174257;0,1852451;2,276636;0,3370011;0,5309457;2,281072;0,1623737;0,4153433;2,307723;0,1345827;0,2314251;2,411378;0,192591;0,4238084;2,292796;0,2415834;0,4647793;2,292383;0,5216966;0,4472663;2,260864;0,6997807;0,560647;2,224778;0,5360151;0,6901456;2,239837;0,4626301;0,7260813;2,26794;0,2246863;0,05738073;2,221136;-0,1014937;-0,1955899;2,118963;0,08985662;-0,5219728;2,160518;0,1836249;-0,5476812;2,181615;0,3720998;0,03508463;2,184593;0,3054098;-0,4838087;2,227006;0,2980902;-0,7991356;2,223005;0,3039145;-0,854269;2,174693; 
0,3124266;0,7279205;2,274787;0,3049248;0,1277757;2,21845;0,3176004;0,185184;2,276536;0,3369081;0,5312394;2,280908;0,1631935;0,4148034;2,307857;0,1342931;0,2308841;2,411298;0,1923045;0,4232789;2,292716;0,2412947;0,4642479;2,292303;0,5215316;0,4473694;2,260639;0,6999515;0,5605981;2,222872;0,5364188;0,6898654;2,239471;0,4630371;0,7257994;2,267572;0,2251013;0,05708063;2,221487;-0,10135;-0,1955543;2,12063;0,08860549;-0,5230871;2,161003;0,1824062;-0,5488475;2,181871;0,3722361;0,03517515;2,184336;0,3053852;-0,483702;2,227049;0,2986383;-0,7983059;2,223056;0,3040394;-0,8538098;2,175125; 
0,3123206;0,7279673;2,274771;0,3050195;0,1275945;2,218439;0,3177916;0,1850474;2,276485;0,3369219;0,5312729;2,280903;0,1637076;0,4145686;2,308385;0,1342365;0,2306933;2,411068;0,1922482;0,4230923;2,292487;0,2412362;0,4640594;2,292074;0,5216344;0,4472129;2,260475;0,7000192;0,5603644;2,219954;0,5361199;0,6885193;2,238478;0,4627416;0,7244517;2,266578;0,2252818;0,05692874;2,221669;-0,1012266;-0,1956565;2,122248;0,08841363;-0,5235824;2,162021;0,1823167;-0,5491475;2,182648;0,3722841;0,03506809;2,184228;0,304622;-0,4832013;2,227001;0,2998854;-0,7977133;2,222802;0,3047352;-0,8536724;2,175349; 
