;0,2328876;0,7885584;2,446412;0,2074127;0,2709973;2,399612;0,2059767;0,3185807;2,459814;0,1894386;0,6294845;2,475487;0,05868702;0,5995711;2,470356;0,04145298;0,8003209;2,354284;0,1090141;1,006639;2,303909;0,1303232;1,076955;2,289738;0,406023;0,6106591;2,467109;0,4706695;0,8153013;2,390706;0,2986512;0,9513548;2,357861;0,2852514;1,024681;2,351304;0,1348777;0,1934662;2,380489;0,1177916;-0,4024776;2,396933;0,1280226;-0,8213451;2,359402;0,1032851;-0,8780833;2,287043;0,284182;0,1969229;2,380093;0,3411568;-0,3972135;2,355102;0,3608367;-0,8125524;2,346504;0,3708479;-0,8747266;2,271732; 
0,2330292;0,7879406;2,44463;0,2086307;0,277549;2,401925;0,2032677;0,3226154;2,461473;0,2002639;0,6284003;2,478142;0,04181883;0,6575931;2,452642;0,04480815;0,8537992;2,325614;0,1685213;1,03214;2,347967;0,1837354;1,103925;2,333481;0,4058273;0,6103392;2,467439;0,4712236;0,8147263;2,391257;0,2988393;0,9501125;2,357709;0,2850191;1,023336;2,351249;0,1353738;0,2001708;2,379697;0,1180434;-0,3956194;2,396638;0,1280248;-0,8213757;2,35934;0,102931;-0,8780716;2,286463;0,2842157;0,1993209;2,383172;0,3409528;-0,3946621;2,355544;0,3610183;-0,8121784;2,34645;0,3708803;-0,8747595;2,271738; 
0,2288464;0,7770704;2,450762;0,211119;0,2751327;2,401694;0,2147648;0,3180994;2,461376;0,2574224;0,6149579;2,480259;0,05878723;0,6007734;2,470961;0,04098169;0,8009067;2,354054;0,1157604;1,004506;2,303539;0,1296757;1,076472;2,288828;0,4083479;0,6104915;2,468545;0,4696623;0,8156049;2,390644;0,2982787;0,9523019;2,358731;0,2836373;1,025329;2,352257;0,1346455;0,1969484;2,381438;0,11789;-0,3987778;2,397126;0,1279001;-0,821449;2,359234;0,1028343;-0,8782418;2,286057;0,2845603;0,1980514;2,381291;0,3411896;-0,3958462;2,355995;0,3610783;-0,8130766;2,34663;0,3707937;-0,8749281;2,271548
